MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",70.765422,235.998912,70.434585,17.562861,0.000000,11.671717,0.330837,80.041624,87.997446,-nan,0.000000,70.434585,1.621443,6.849633,8.009494,70.434585,0.026336,14.568928,2.967597,7,13
"1003",65.673600,202.957319,65.469096,29.256005,0.000000,5.070395,0.204504,67.486907,41.150113,70.365219,53.574988,65.469096,5.233987,11.971789,10.344834,65.469096,0.482715,15.401841,13.371449,9,13
"1006",85.906557,164.048980,85.637626,8.485454,0.000000,5.607989,0.268931,90.984726,94.123080,-nan,0.000000,85.637626,5.192645,2.471861,0.000000,85.637626,2.022086,2.427421,4.035947,3,9
"1007",92.593536,218.331429,92.415396,4.155209,0.000000,3.251255,0.178139,96.181069,74.059308,94.105472,22.511297,92.415396,1.657212,1.590192,0.503668,92.415396,1.065691,1.929804,1.159714,7,8
"1009",71.550326,180.178299,68.769332,25.627883,0.000000,2.821791,2.780994,77.397607,71.568851,58.597074,22.828363,68.769332,7.874256,13.642272,2.326854,68.769332,6.063190,11.021893,8.542801,8,14
"1011",91.692925,252.813061,91.502344,6.984487,0.027554,1.295033,0.190581,92.348837,81.857149,95.503353,16.657237,91.502344,2.237888,3.314501,1.432099,91.502344,1.419604,4.252023,1.312860,5,6
"1012",56.653072,282.229535,56.018539,42.977713,0.000000,0.369216,0.634533,52.435953,77.826865,71.845635,21.169386,56.018539,15.742920,23.019684,4.215108,56.018539,1.689560,23.803733,17.484420,8,10
"1013",49.187759,218.207052,48.998877,47.499991,0.000000,3.312250,0.188882,73.303493,41.463406,33.805025,55.035462,48.998877,14.010398,13.222480,4.515445,48.998877,1.348090,7.170371,38.981530,12,20
"1014",63.848947,189.708345,63.622510,24.339630,9.571537,2.239887,0.226437,65.231325,97.533677,-nan,0.000000,63.622510,10.526243,5.769072,3.295266,63.622510,11.897102,8.109632,4.332895,4,16
"1016",65.958567,217.372200,65.515906,30.779631,0.000000,3.261801,0.442661,52.327482,35.139429,77.062339,61.156109,65.515906,9.883139,12.681747,7.509726,65.515906,1.704755,9.668941,19.405934,5,13
"1018",79.004922,159.085714,78.665568,12.494808,0.000000,8.500270,0.339354,86.293597,91.160376,-nan,0.000000,78.665568,0.668282,10.273277,1.553249,78.665568,0.668282,11.677439,0.149087,5,7
"1019",75.738893,255.039780,75.572737,22.299053,0.000000,1.962054,0.166156,78.922592,71.725682,72.534580,26.146107,75.572737,7.147983,11.245962,3.905109,75.572737,1.449856,10.856318,9.992879,7,11
"1020",34.844037,208.173386,34.513595,63.829666,0.178466,1.147831,0.330441,40.848905,71.992968,19.244231,26.528759,34.513595,20.444186,28.358651,12.974467,34.513595,0.000000,27.980067,35.849600,5,10
"1021",92.791186,160.208980,91.695112,2.523914,0.000000,4.684900,1.096074,97.321226,94.219026,-nan,0.000000,91.695112,0.898600,1.425593,0.199721,91.695112,0.898600,0.987599,0.637716,4,7
"1022",85.971327,234.679070,85.466716,13.092584,0.000000,0.936088,0.504612,85.528205,88.573482,97.251986,9.985819,85.466716,2.228788,8.253593,2.016542,85.466716,1.501955,9.904397,1.686233,9,17
"1024",60.228404,170.499478,59.345909,23.112447,0.000000,16.659149,0.882495,71.970764,82.458356,-nan,0.000000,59.345909,5.393736,10.664174,3.105089,59.345909,5.693350,9.003387,8.415710,3,14
"1025",74.821076,246.306420,72.321672,22.273894,0.000000,2.905030,2.499403,76.453554,94.595566,-nan,0.000000,72.321672,4.118230,12.805539,4.991888,72.321672,2.480326,16.680710,3.112858,7,16
