MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",74.921358,235.998912,72.963392,14.955356,0.078699,10.038441,1.964112,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.915351,87.997446,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.503886,0.000000,4.881873,8.532989,72.963392,1.540494,13.381111,0.033750,7,6
"1003",68.675235,202.957319,66.682334,27.886235,0.156532,3.281998,1.992901,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.830064,41.150113,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.742796,53.574988,68.663852,4.204506,6.407736,15.292474,66.682334,2.630508,17.066759,8.188968,9,18
"1006",93.334872,164.048980,91.296639,2.826441,0.000000,3.824558,2.052362,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.997080,94.123080,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.296639,0.000000,2.826441,0.000000,91.296639,0.000000,2.826441,0.000000,3,3
"1007",92.844855,218.331429,90.901283,5.669322,0.000000,1.485823,1.943572,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.317974,74.059308,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.929054,22.511297,92.517816,1.470671,1.488392,1.093726,90.901283,2.444522,2.352739,0.872062,7,7
"1009",79.263364,180.178299,73.889414,19.492356,1.015445,0.228835,5.373950,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.563669,71.568851,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.829635,22.828363,74.584426,4.258530,12.463416,2.075398,73.889414,1.449118,11.739441,6.303797,8,8
"1011",93.803539,252.813061,92.363848,6.122994,0.027543,0.045923,1.439691,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.431483,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.354950,16.657237,92.363848,0.973650,3.562220,1.587124,92.363848,0.000000,4.810584,1.312411,5,5
"1012",55.587005,282.229535,54.834438,42.091372,2.070442,0.251181,0.752567,-nan,0.000000,6.540364,15.829716,0.000000,1.340541,69.554700,60.656608,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.841434,21.169386,62.852960,14.219940,17.059839,2.793071,54.834438,8.018522,7.216027,26.856824,11,11
"1013",59.064191,218.207052,55.799987,40.475411,0.223470,0.236928,3.264204,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.346171,41.463406,-nan,0.000000,17.237932,19.891234,-nan,0.000000,61.303652,35.144227,65.800905,5.156881,19.967162,5.350450,55.799987,10.000918,5.149984,25.324509,12,19
"1014",66.273542,189.708345,63.929617,27.790145,5.813914,0.122398,2.343925,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.546199,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.929617,24.528599,1.352141,1.909405,63.929617,20.835128,2.135554,4.819463,4,11
"1016",76.097862,217.372200,74.149060,20.463352,1.683125,1.740295,1.964167,-nan,0.000000,-nan,0.000000,0.000000,0.639400,65.471199,34.500029,-nan,0.000000,-nan,0.000000,0.000000,0.639400,85.202052,60.516709,76.474345,8.635986,7.957970,1.544111,74.149060,3.094427,3.934616,13.434310,7,11
"1018",73.810696,159.085714,70.668922,20.491454,0.000000,5.697850,3.141774,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.521534,91.160376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.295693,0.000000,19.208451,0.656232,70.668922,0.626771,19.849285,0.015398,5,6
"1019",81.229833,255.039780,79.955202,17.661654,0.254934,0.851312,1.276898,-nan,0.000000,-nan,0.000000,77.119678,4.376339,82.192057,67.349343,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.176033,26.146107,84.943111,3.241852,6.055790,3.376103,79.955202,5.306878,3.731844,8.622931,9,11
"1020",66.505328,208.173386,65.027055,32.389377,1.105295,0.000000,1.478272,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.151720,71.992968,-nan,0.000000,-nan,0.000000,0.000000,20.632788,87.579520,5.895972,68.475555,21.959579,4.449383,2.531916,65.027055,3.448500,3.035714,25.905164,6,7
"1021",97.549092,160.208980,93.496336,0.722690,0.000000,1.728218,4.052756,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.232968,94.219026,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.496336,0.000000,0.526986,0.195704,93.496336,0.000000,0.722690,0.000000,4,4
"1022",93.741807,234.679070,92.368743,4.476596,1.713961,0.057751,1.382949,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.350580,88.573482,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.986385,9.985819,92.368743,0.374945,2.037331,2.064319,92.368743,0.000000,2.694720,1.781876,9,11
"1024",84.094647,170.499478,66.839752,14.678782,0.939823,0.248638,17.293006,-nan,0.000000,0.000000,5.934195,-nan,0.000000,87.344639,76.524161,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.642170,0.980531,7.284906,5.610926,66.839752,1.782949,7.695689,5.200144,4,9
"1025",66.836507,246.306420,63.932888,30.662678,0.000000,2.490226,2.914208,-nan,0.000000,0.000000,2.107403,89.455077,1.036568,68.895053,91.451595,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.966431,1.307182,13.497742,5.824211,63.932888,10.925916,16.027850,3.708912,10,12
"1032",64.786118,280.971190,62.132146,33.831264,0.883116,0.488145,2.665329,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.251718,42.446098,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.223296,54.400428,70.481583,3.469537,18.015740,3.996550,62.132146,10.688761,1.406334,21.736169,6,11
"1033",82.919989,174.711933,81.431470,16.785941,0.106334,0.186066,1.490189,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.821700,70.770707,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.677652,27.553039,86.091048,0.866509,2.473062,8.786791,81.431470,4.659578,9.929676,2.196687,5,7
"1034",74.913796,199.131429,73.844663,23.424800,1.261503,0.399902,1.069133,-nan,0.000000,0.000000,4.294732,-nan,0.000000,78.002192,91.106727,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.813319,3.129507,74.158891,1.916564,17.076104,4.117903,73.844663,0.314228,16.916830,6.193742,10,10
"1037",66.522820,157.178793,62.445425,28.980009,2.422782,2.065153,4.086630,-nan,0.000000,9.257085,5.676981,46.157880,1.024254,80.979827,36.405891,-nan,0.000000,-nan,0.000000,14.706681,5.781910,69.208053,44.959181,75.048194,7.669512,6.320985,2.386743,62.445425,16.209450,2.723973,10.046586,20,25
"1039",92.021034,237.871020,89.287788,5.853389,0.000000,2.123130,2.735693,-nan,0.000000,0.000000,0.665007,72.295664,3.713965,97.782822,85.523761,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.795596,5.238444,89.943029,0.512935,2.096035,2.589177,89.287788,0.655241,1.525275,3.672873,7,6
"1040",97.549482,230.844082,95.064992,1.649597,0.090538,0.694016,2.500857,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.202435,96.805127,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.064992,0.000000,1.177072,0.472526,95.064992,0.000000,1.649597,0.000000,3,3
"1041",92.052692,169.613061,89.574829,6.411035,0.150590,1.377098,2.486448,-nan,0.000000,-nan,0.000000,0.000000,0.362840,93.883348,95.410774,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.362840,89.815263,0.000000,5.060850,1.109751,89.574829,0.240434,5.685355,0.485246,5,3
"1042",73.580569,180.146840,71.854000,25.503564,0.748189,0.141784,1.752463,-nan,0.000000,-nan,0.000000,48.061577,4.815005,80.456496,71.160924,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.518952,22.129824,81.961977,5.965297,5.764714,3.665575,71.854000,10.107978,6.613282,8.782304,8,11
"1043",85.788064,200.846519,84.285124,13.573204,0.635846,0.000000,1.505826,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.065258,93.693392,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.980633,4.800782,84.285124,2.946192,6.175176,4.451836,84.285124,2.114029,8.248254,3.210921,6,9
"1044",74.443507,169.195102,72.403833,23.902744,1.619417,0.034332,2.039673,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.077393,47.491449,-nan,0.000000,-nan,0.000000,63.295688,12.043004,70.917006,38.391541,79.557343,9.017482,4.382304,3.349448,72.403833,7.419792,5.167482,11.315469,18,19
"1045",83.128896,197.877551,81.016680,16.230310,0.000000,0.618785,2.134224,-nan,0.000000,-nan,0.000000,0.000000,0.266761,82.450939,84.837539,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.143993,12.142690,81.202118,8.287408,5.764532,1.992932,81.016680,7.371786,6.100830,2.757694,8,7
"1046",68.142775,145.240816,66.071182,29.212639,2.644586,0.000000,2.071593,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.484700,87.266595,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.709163,10.661812,78.318599,8.102433,8.190030,0.672760,66.071182,12.247417,6.225290,10.739932,7,12
"1048",74.052202,164.548146,71.485717,25.792558,0.000000,0.155240,2.566485,-nan,0.000000,95.040662,2.318822,93.355582,5.815574,72.203990,71.206899,-nan,0.000000,-nan,0.000000,89.063869,2.318822,66.418046,15.618159,79.066003,8.426410,7.658440,2.127422,71.485717,8.227116,7.415322,10.150120,10,17
"1051",92.200306,211.173878,91.117234,7.579804,0.087943,0.131948,1.083072,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.462996,69.807630,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.695783,28.977350,92.451539,1.639413,1.247473,3.358612,91.117234,2.389881,3.357328,1.832594,4,6
"1052",88.359886,228.308594,70.314898,8.882770,1.015748,1.741596,18.044988,-nan,0.000000,70.011076,4.067534,46.154261,2.041251,78.221470,20.358882,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.147043,53.745748,70.314898,2.164973,2.379401,4.338395,70.314898,0.609135,0.166675,8.106960,6,7
"1053",70.226158,162.535499,63.571481,24.459014,0.363561,4.951267,6.654677,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.219724,62.003888,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.365445,26.390169,63.571481,17.053957,1.530478,5.874579,63.571481,15.389622,5.563962,3.505430,10,11
"1054",83.879548,200.228571,81.465961,13.312324,1.148028,1.660100,2.413587,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.925562,95.926313,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.168104,1.612463,6.162772,0.834946,81.465961,6.314606,4.489005,2.508713,4,6
