MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",76.461852,235.998912,74.503886,13.414862,0.078699,10.038441,1.964112,84.665964,87.997446,87.918748,74.503886,0.000000,13.414862,-0.000000,7,4
"1003",72.776754,217.521633,70.917289,24.014946,0.146051,3.062249,1.859465,74.588312,95.078286,94.932234,70.917289,0.000000,24.014946,0.000000,7,9
"1006",93.334872,164.048980,91.296639,2.826441,0.000000,3.824558,2.052362,96.997080,94.123080,94.123080,91.296639,0.000000,2.826441,0.000000,3,3
"1007",95.289377,218.331429,93.345805,3.224800,0.000000,1.485823,1.943572,96.660681,96.570605,96.570605,93.345805,0.000000,3.224800,0.000000,6,6
"1009",80.695469,181.482404,75.360136,18.069192,1.008148,0.227191,5.335334,79.798973,94.437475,93.429327,75.360136,0.000000,18.069192,-0.000000,7,7
"1011",93.803539,252.813061,92.363848,6.122994,0.027543,0.045923,1.439691,93.756711,98.514385,98.486842,92.363848,0.000000,6.122994,0.000000,5,5
"1012",64.107463,295.523265,63.388749,33.675349,1.977305,0.239882,0.718714,64.002273,99.041404,97.064098,63.388749,0.000000,33.675349,0.000000,7,7
"1013",69.456785,247.797551,66.582372,30.137795,0.196785,0.208635,2.874413,68.700440,96.916952,96.720168,66.582372,0.000000,30.137795,-0.000000,10,10
"1014",87.688013,198.635102,85.449425,6.642455,5.552634,0.116898,2.238588,87.510728,97.644515,92.091880,85.449425,0.000000,6.642455,0.000000,4,7
"1016",79.192289,217.372200,77.243487,17.368925,1.683125,1.740295,1.964167,80.215022,96.295537,94.612412,77.243487,0.000000,17.368925,0.000000,4,7
"1018",74.437468,159.085714,71.295693,19.864683,0.000000,5.697850,3.141774,78.209082,91.160376,91.160376,71.295693,0.000000,19.864683,-0.000000,5,5
"1019",86.716261,267.964082,85.503107,12.228691,0.242638,0.810252,1.215312,87.270833,97.974436,97.731798,85.503107,0.000000,12.228691,0.000000,7,7
"1020",70.378481,211.200000,68.921393,28.532063,1.089456,0.000000,1.457088,69.940488,98.542912,97.453456,68.921393,0.000000,28.532063,-0.000000,5,5
"1021",97.549092,160.208980,93.496336,0.722690,0.000000,1.728218,4.052756,99.232968,94.219026,94.219026,93.496336,0.000000,0.722690,0.000000,4,4
"1022",89.538865,256.000000,88.280157,8.827917,1.571214,0.052941,1.267770,89.461688,98.679289,97.108075,88.280157,0.000000,8.827917,-0.000000,9,9
"1024",85.877596,170.499478,68.622701,12.895832,0.939823,0.248638,17.293006,83.221039,82.458356,81.518533,68.622701,0.000000,12.895832,0.000000,3,5
"1025",80.960171,307.644082,78.635472,17.037623,0.000000,1.993728,2.333177,82.191834,95.673095,95.673095,78.635472,0.000000,17.037623,-0.000000,7,8
"1032",75.735410,286.380408,73.131567,22.908087,0.866436,0.478925,2.614985,75.466430,96.906090,96.039654,73.131567,0.000000,22.908087,-0.000000,4,6
"1033",84.260675,207.960816,83.010141,15.492271,0.089334,0.156318,1.251937,84.195832,98.591746,98.502412,83.010141,0.000000,15.492271,0.000000,6,5
"1034",75.228024,199.131429,74.158891,23.110572,1.261503,0.399902,1.069133,75.264553,98.530966,97.269462,74.158891,0.000000,23.110572,-0.000000,7,7
"1037",80.099575,172.120816,76.376144,15.793659,2.212458,1.885874,3.731865,80.922139,94.382261,92.169803,76.376144,0.000000,15.793659,0.000000,10,12
"1039",92.676275,237.871020,89.943029,5.198148,0.000000,2.123130,2.735693,94.536385,95.141177,95.141177,89.943029,0.000000,5.198148,-0.000000,5,5
"1040",97.549482,230.844082,95.064992,1.649597,0.090538,0.694016,2.500857,98.202435,96.805127,96.714589,95.064992,0.000000,1.649597,-0.000000,3,3
"1041",92.293126,169.613061,89.815263,6.170601,0.150590,1.377098,2.486448,93.424772,96.136454,95.985864,89.815263,0.000000,6.170601,-0.000000,4,3
"1042",80.626808,221.657846,79.223582,18.628844,0.608072,0.115231,1.424270,80.462301,98.460498,97.852426,79.223582,0.000000,18.628844,-0.000000,7,7
"1043",88.395120,234.886939,87.109990,11.058715,0.543698,0.000000,1.287598,88.246246,98.712402,98.168705,87.109990,0.000000,11.058715,-0.000000,7,7
"1044",81.863299,169.195102,79.823625,16.482952,1.619417,0.034332,2.039673,81.514235,97.925995,96.306577,79.823625,0.000000,16.482952,0.000000,11,10
"1045",90.500682,197.877551,88.388466,8.858524,0.000000,0.618785,2.134224,90.890696,97.246990,97.246990,88.388466,0.000000,8.858524,0.000000,6,6
"1046",80.390192,145.240816,78.318599,16.965222,2.644586,0.000000,2.071593,79.975363,97.928407,95.283821,78.318599,0.000000,16.965222,0.000000,6,6
"1048",81.653953,191.190204,79.445103,18.212440,0.000000,0.133608,2.208850,81.350709,97.657543,97.657543,79.445103,0.000000,18.212440,-0.000000,5,7
"1051",94.590187,211.173878,93.507115,5.189922,0.087943,0.131948,1.083072,94.657219,98.784980,98.697037,93.507115,0.000000,5.189922,0.000000,4,4
"1052",86.219691,239.960816,69.050947,10.846091,1.277191,1.657026,17.168744,85.065109,81.174229,79.897038,69.050947,0.000000,10.846091,0.000000,5,5
"1053",82.033378,207.275261,76.815094,8.608479,5.475593,3.882550,5.218284,84.505829,90.899166,85.423573,76.815094,0.000000,8.608479,0.000000,9,7
"1054",90.194154,200.228571,87.780567,6.997718,1.148028,1.660100,2.413587,91.508329,95.926313,94.778285,87.780567,0.000000,6.997718,-0.000000,4,4
"1055",80.770823,155.491633,79.125944,15.828813,1.162539,2.230858,1.651846,82.322274,96.117297,94.954758,79.125944,0.000000,15.828813,-0.000000,7,7
"1056",68.870195,280.894694,66.588664,29.097115,0.000000,2.023400,2.290821,69.590972,95.685779,95.685779,66.588664,0.000000,29.097115,0.000000,12,12
"1058",70.617457,126.380408,66.743720,14.052206,0.365850,14.964486,3.873737,82.235410,81.161777,80.795927,66.743720,0.000000,14.052206,0.000000,4,4
"1059",92.779921,166.767120,91.276147,3.743148,0.000000,3.448256,1.532448,96.060644,95.019295,95.019295,91.276147,0.000000,3.743148,-0.000000,10,11
