MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",72.214899,233.439688,69.965419,16.391868,1.508575,9.871720,2.262419,88.475072,79.079244,0.000000,3.288931,0.000000,5.497686,-nan,0.000000,-nan,0.000000,69.965419,4.401376,5.560827,6.429665,0.000000,69.965419,4.401376,8.579951,3.410541,8,4
"1003",16.280531,202.957319,13.179826,80.650065,0.895210,2.163536,3.111363,6.849059,17.842664,0.000000,21.071947,0.000000,2.235502,62.180409,19.230770,0.000000,34.344218,13.179826,54.393799,9.425873,16.508118,0.322275,13.179826,51.931093,17.070505,11.648467,10,11
"1006",67.569682,164.048980,65.392784,28.712728,0.017568,3.670165,2.206755,99.292749,65.858569,-nan,0.000000,0.000000,28.264511,-nan,0.000000,-nan,0.000000,65.392784,27.022338,0.448217,1.242173,0.000000,65.392784,27.022338,0.448217,1.242173,4,3
"1007",90.894645,218.331429,88.997749,7.523170,0.049686,1.518104,1.911290,94.432712,72.428629,-nan,0.000000,0.000000,1.630678,91.515962,22.511297,-nan,0.000000,88.997749,3.312435,2.176420,2.034314,0.000000,88.997749,2.458667,3.734696,1.329807,8,6
"1009",82.750554,180.178299,77.733528,16.290272,0.373414,0.585759,5.017026,88.227409,68.514164,0.000000,1.517403,0.000000,1.537284,75.718332,22.828363,-nan,0.000000,77.733528,9.287727,6.259912,0.742633,0.000000,77.733528,4.787491,6.165233,5.337548,11,9
"1011",89.841051,252.813061,88.406526,9.370820,0.737040,0.045923,1.439691,91.780044,81.857149,-nan,0.000000,-nan,0.000000,79.713092,16.657237,-nan,0.000000,88.406526,3.182681,3.735371,2.452768,0.000000,88.406526,1.394939,5.500513,2.475368,5,6
"1012",67.833576,264.945170,66.962074,30.790944,1.177752,0.188947,0.880283,72.988754,72.791721,-nan,0.000000,0.000000,3.588624,64.420490,21.471901,0.000000,1.078523,66.962074,12.351416,16.350819,2.088709,0.000000,66.962074,4.174770,17.201587,9.414587,10,9
"1013",13.350781,185.823600,9.358003,84.498166,2.032557,0.118496,3.992778,84.020677,9.406075,0.000000,23.403968,0.000000,15.879185,24.532649,5.930691,0.000000,41.268807,9.358003,68.948303,11.213084,3.366342,0.970437,9.358003,58.839545,0.928223,24.730397,15,14
"1014",2.441389,189.708345,0.000000,87.972431,9.561246,0.006431,2.459892,-nan,0.000000,-nan,0.000000,0.000000,97.533677,-nan,0.000000,-nan,0.000000,0.000000,83.253731,2.371814,1.187211,1.159675,0.000000,85.546724,0.000000,2.425707,4,5
"1016",26.626025,217.372200,24.433217,69.950555,1.911765,1.511655,2.192807,78.722049,31.037324,0.000000,4.102105,-nan,0.000000,0.000000,6.613246,0.000000,54.542863,24.433217,48.466117,15.119020,6.342387,0.023031,24.433217,53.197773,4.209896,12.542885,7,8
"1018",79.284583,159.085714,75.012852,16.147524,0.000000,4.567893,4.271731,93.292843,80.405795,-nan,0.000000,0.000000,10.754581,-nan,0.000000,-nan,0.000000,75.012852,11.212500,4.668548,0.237933,0.028543,75.012852,11.212500,4.714064,0.220961,7,6
"1019",44.801840,239.662816,43.355391,53.175040,1.204811,0.818310,1.446448,88.050260,45.669505,0.000000,14.333546,0.000000,9.908528,97.775512,3.214786,0.000000,24.608877,43.355391,41.906360,7.273196,2.964546,1.030938,43.355391,34.975876,4.606951,13.592212,10,7
"1020",2.940511,208.173386,1.462238,96.159936,0.899553,0.000000,1.478272,99.237826,1.473469,0.000000,14.685936,0.000000,55.833564,0.000000,20.632788,0.000000,5.895972,1.462238,94.476246,0.628021,0.784950,0.270719,1.462238,71.860053,0.011230,24.288653,7,6
"1021",14.284701,160.208980,9.984904,83.315736,0.918387,1.475571,4.305403,92.990286,10.737577,-nan,0.000000,0.000000,83.481449,-nan,0.000000,-nan,0.000000,9.984904,82.440816,0.710371,0.164549,0.000000,9.984904,82.440816,0.752673,0.122247,5,4
"1022",86.923104,234.679070,85.504319,12.253714,0.801268,0.021914,1.418785,96.534896,88.573482,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,9.985819,85.504319,9.934030,1.131236,1.188448,0.000000,85.504319,9.221044,2.093129,0.939541,9,10
