MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",52.363277,233.439688,52.028813,35.837048,0.000000,11.799675,0.334464,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.466223,79.079244,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.288931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.589923,1.096310,0.000000,4.401376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.834392,16.507859,3.546462,6.540820,2.257989,52.028813,19.204579,3.952982,12.679488,8,23
"1003",41.245676,202.957319,41.041172,53.683929,0.000000,5.070395,0.204504,-nan,0.000000,-nan,0.000000,-nan,0.000000,31.124870,17.842664,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.965497,21.071947,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.359628,2.235502,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.097195,19.230770,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.729384,34.344218,41.041172,18.221093,7.815412,9.390501,1.613466,41.041172,24.910639,3.487631,25.285660,10,25
"1006",54.150794,164.048980,53.881863,40.241217,0.000000,5.607989,0.268931,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.723151,65.858569,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.474621,28.264511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.646902,28.249627,2.794095,1.106539,0.000000,53.881863,33.777849,0.408214,6.055154,4,17
"1007",85.275349,218.331429,85.097209,11.473396,0.000000,3.251255,0.178139,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.509844,72.428629,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.958891,1.630678,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.105472,22.511297,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.735028,3.334765,0.788141,0.495759,0.005671,85.097209,8.383879,1.034202,2.055316,8,13
"1009",62.839548,180.178299,60.058553,34.338661,0.000000,2.821791,2.780994,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.123770,68.514164,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.517403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.777018,0.000000,0.760267,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.625532,22.828363,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.816586,12.727197,12.254585,4.752392,0.000000,60.058553,14.773968,8.079122,11.485571,12,23
"1011",87.204064,252.813061,87.013483,11.473349,0.027554,1.295033,0.190581,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.367004,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.208289,16.657237,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.013483,5.563036,3.359958,1.412278,0.017552,87.013483,5.908466,4.249754,1.315129,5,10
"1012",29.736290,264.945170,29.060362,69.870407,0.000000,0.393302,0.675928,-nan,0.000000,14.750353,16.862408,16.884230,1.427994,36.775992,54.501319,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.568766,3.588624,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.339295,21.471901,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.099541,1.078523,32.380135,30.563235,18.019542,6.077572,0.537822,29.060362,29.834828,6.662701,33.372879,13,30
"1013",47.084072,185.823600,46.862274,49.026452,0.000000,3.889475,0.221799,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.539072,9.406075,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.090452,23.403968,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.752630,15.879185,-nan,0.000000,0.000000,5.930691,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.519795,41.268807,46.862274,24.885004,8.529434,8.490864,0.175656,46.862274,11.850769,1.943038,35.232646,15,36
"1014",60.980299,189.708345,60.753863,27.208277,9.571537,2.239887,0.226437,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.290139,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.753863,12.631491,0.867401,5.359740,1.984939,60.753863,14.765750,1.810656,10.631871,4,22
"1016",61.391991,217.372200,60.949329,35.346208,0.000000,3.261801,0.442661,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.953686,31.037324,-nan,0.000000,-nan,0.000000,0.000000,0.639400,-nan,0.000000,94.801210,3.462704,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.639400,38.253305,5.973846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.216320,54.542863,61.291157,8.122410,13.005699,7.302631,1.980329,60.949329,6.271332,3.597592,25.477284,8,27
"1018",58.935982,159.085714,58.596628,32.563748,0.000000,8.500270,0.339354,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.876126,80.405795,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,10.754581,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.596628,20.211770,7.824451,3.716580,0.285494,58.596628,20.737222,8.001467,3.825059,7,13
"1019",51.817257,239.662816,51.640440,46.094802,0.000000,2.087941,0.176817,-nan,0.000000,-nan,0.000000,40.697467,4.657129,73.856833,41.012377,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.152302,14.333546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,3.621143,9.908528,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.024069,3.214786,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.051088,24.608877,54.813949,17.673940,7.145810,6.507338,0.130270,51.640440,24.735997,2.990654,18.368150,12,20
"1020",26.819118,208.173386,26.488677,71.854585,0.178466,1.147831,0.330441,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,1.473469,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.949856,14.685936,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,9.895659,55.833564,-nan,0.000000,-nan,0.000000,0.000000,20.632788,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.588878,5.895972,26.488677,10.996354,12.085423,28.322909,0.516402,26.488677,8.024918,0.396555,63.433111,7,20
"1021",83.354461,160.208980,82.258387,11.960639,0.000000,4.684900,1.096074,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.196443,10.737577,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.705388,83.481449,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.258387,5.320559,1.280658,0.605541,0.000000,82.258387,10.335324,0.435825,1.189489,5,9
"1022",85.141765,234.679070,84.637154,13.922146,0.000000,0.936088,0.504612,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.591624,88.573482,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.251986,9.985819,84.637154,2.337385,8.134861,2.025115,0.000000,84.637154,2.331517,3.655213,7.935417,9,19
