MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1002",72.214899,233.439688,69.965419,16.391868,1.508575,9.871720,2.262419,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.475072,79.079244,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.288931,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.096310,0.000000,4.401376,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.965419,4.401376,5.560827,6.429665,0.000000,69.965419,4.401376,8.579951,3.410541,8,4
"1003",16.280531,202.957319,13.179826,80.650065,0.895210,2.163536,3.111363,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.849059,17.842664,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,21.071947,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.235502,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.180409,19.230770,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,34.344218,13.179826,54.393799,9.425873,16.508118,0.322275,13.179826,51.931093,17.070505,11.648467,10,11
"1006",67.569682,164.048980,65.392784,28.712728,0.017568,3.670165,2.206755,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.292749,65.858569,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,28.264511,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.392784,27.022338,0.448217,1.242173,0.000000,65.392784,27.022338,0.448217,1.242173,4,3
"1007",90.894645,218.331429,88.997749,7.523170,0.049686,1.518104,1.911290,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.432712,72.428629,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.630678,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.515962,22.511297,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.997749,3.312435,2.176420,2.034314,0.000000,88.997749,2.458667,3.734696,1.329807,8,6
"1009",82.750554,180.178299,77.733528,16.290272,0.373414,0.585759,5.017026,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.227409,68.514164,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.517403,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.777018,0.000000,0.760267,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.718332,22.828363,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.733528,9.287727,6.259912,0.742633,0.000000,77.733528,4.787491,6.165233,5.337548,12,9
"1011",89.841051,252.813061,88.406526,9.370820,0.737040,0.045923,1.439691,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.780044,81.857149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.713092,16.657237,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.406526,3.182681,3.735371,2.452768,0.000000,88.406526,1.394939,5.500513,2.475368,5,6
"1012",58.459651,264.945170,57.588150,40.164868,1.177752,0.188947,0.880283,-nan,0.000000,0.000000,16.862408,0.000000,1.427994,80.284012,54.501319,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.588624,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.420490,21.471901,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.078523,66.962074,12.351416,16.350819,2.088709,0.000000,57.588150,13.548694,8.655225,17.960949,13,9
"1013",11.895826,185.823600,7.903048,85.953122,2.032557,0.118496,3.992778,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.020677,9.406075,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,23.403968,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,15.879185,-nan,0.000000,0.000000,5.930691,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,41.268807,9.358003,68.948303,11.213084,3.366342,0.970437,7.903048,60.294501,0.928223,24.730397,15,14
"1014",2.441389,189.708345,0.000000,87.972431,9.561246,0.006431,2.459892,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,97.533677,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,83.253731,2.371814,1.187211,1.159675,0.000000,85.546724,0.000000,2.425707,4,5
"1016",26.626025,217.372200,24.433217,69.950555,1.911765,1.511655,2.192807,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.722049,31.037324,-nan,0.000000,-nan,0.000000,0.000000,0.639400,-nan,0.000000,0.000000,3.462704,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.639400,0.000000,5.973846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,54.542863,24.433217,48.466117,15.119020,6.342387,0.023031,24.433217,53.197773,4.209896,12.542885,8,8
