Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1002",239.830204,164,131,0.790473,0.839484,0.790473,0.894974
"1003",217.521633,96,127,0.759684,0.801103,0.847299,0.759684
"1006",164.048980,50,75,0.741575,0.809876,0.892036,0.741575
"1007",218.331429,62,68,0.941350,0.949217,0.957217,0.941350
"1009",181.482404,127,126,0.847585,0.851372,0.847585,0.855193
"1011",252.813061,97,100,0.956439,0.960705,0.965009,0.956439
"1012",295.523265,269,217,0.650411,0.716570,0.650411,0.797713
"1013",247.797551,197,198,0.814524,0.834844,0.814524,0.856204
"1014",198.635102,15,47,0.595457,0.721257,0.914448,0.595457
"1016",217.372200,57,138,0.410055,0.568001,0.923855,0.410055
"1018",159.085714,120,131,0.843927,0.868617,0.894794,0.843927
"1019",267.964082,156,141,0.790649,0.842829,0.790649,0.902383
"1020",211.200000,58,84,0.792986,0.858107,0.934882,0.792986
"1021",160.208980,15,20,0.799155,0.800346,0.801540,0.799155
"1022",256.000000,109,118,0.945429,0.950239,0.955097,0.945429
"1024",170.499478,41,78,0.666994,0.778829,0.935721,0.666994
"1025",307.644082,163,185,0.709960,0.778325,0.861258,0.709960
"1032",286.380408,148,152,0.790302,0.804511,0.819240,0.790302
"1033",207.960816,56,78,0.850723,0.881095,0.913717,0.850723
"1034",199.131429,155,119,0.671254,0.757280,0.671254,0.868597
"1037",172.120816,81,96,0.844078,0.844758,0.845438,0.844078
"1039",237.871020,77,80,0.933112,0.935418,0.933112,0.937734
"1040",230.844082,50,79,0.716809,0.805526,0.919307,0.716809
"1041",169.613061,56,67,0.868458,0.885143,0.902482,0.868458
"1042",221.657846,104,126,0.841028,0.874946,0.911716,0.841028
"1043",250.409796,181,173,0.748142,0.763419,0.748142,0.779333
"1044",169.195102,113,91,0.796664,0.840139,0.796664,0.888633
"1045",197.877551,107,115,0.897618,0.913839,0.930658,0.897618
"1046",145.240816,90,86,0.867122,0.891814,0.867122,0.917954
"1048",191.190204,108,98,0.867555,0.903352,0.867555,0.942231
"1051",211.173878,71,81,0.913086,0.929124,0.945735,0.913086
"1052",239.960816,33,97,0.576616,0.717051,0.947917,0.576616
"1053",207.275261,173,168,0.823805,0.833119,0.823805,0.842647
"1054",200.228571,39,55,0.834342,0.869501,0.907753,0.834342
"1055",155.491633,64,67,0.857514,0.862990,0.857514,0.868536
"1056",280.894694,161,171,0.812110,0.814392,0.812110,0.816687
"1058",126.380408,56,65,0.822613,0.847889,0.874767,0.822613
"1059",166.767120,52,56,0.926251,0.941643,0.957556,0.926251
"1061",274.808163,127,108,0.748438,0.793155,0.748438,0.843556
"1062",202.579592,63,78,0.796136,0.855329,0.924032,0.796136
"1063",158.432653,79,80,0.874004,0.883155,0.874004,0.892500
"1066",274.233469,115,97,0.861391,0.905847,0.861391,0.955141
"1067",222.693878,84,105,0.842043,0.873122,0.906584,0.842043
"1068",178.050612,59,61,0.913193,0.927568,0.913193,0.942402
"1069",180.580159,114,83,0.789492,0.857080,0.789492,0.937324
"1070",243.304626,118,132,0.901845,0.916596,0.931838,0.901845
"1071",215.693991,93,87,0.884945,0.896392,0.884945,0.908140
"1072",135.915102,78,75,0.893990,0.909236,0.893990,0.925011
"1073",215.353469,110,125,0.763345,0.770556,0.777905,0.763345
"1076",216.482562,95,134,0.719967,0.793741,0.884361,0.719967
"1078",216.973061,93,104,0.744379,0.768227,0.793654,0.744379
"1082",223.973878,90,93,0.837712,0.844006,0.837712,0.850396
"1084",269.844898,106,129,0.879626,0.904676,0.931196,0.879626
"1086",221.701224,140,142,0.879850,0.896886,0.879850,0.914595
"1087",195.134694,79,80,0.857875,0.884738,0.857875,0.913338
"1089",245.420408,91,104,0.867809,0.908367,0.952901,0.867809
"1091",156.780249,72,73,0.930944,0.931628,0.930944,0.932314
"1094",143.177143,67,79,0.897302,0.903312,0.909404,0.897302
"1096",195.787755,14,55,0.569698,0.700887,0.910571,0.569698
"1097",280.894694,161,171,0.812110,0.814392,0.812110,0.816687
"1098",433.606531,265,239,0.810904,0.841684,0.810904,0.874892
"1099",136.097959,56,78,0.744385,0.806771,0.880570,0.744385
"1100",146.233469,111,112,0.728860,0.744954,0.728860,0.761775
"1101",146.677551,45,53,0.891911,0.913260,0.935656,0.891911
"1102",204.564898,74,123,0.634770,0.741622,0.891727,0.634770
"1103",156.299456,46,55,0.942083,0.959123,0.976790,0.942083
"1106",265.236032,160,131,0.604156,0.714563,0.604156,0.874346
"1107",189.011270,89,91,0.904353,0.906813,0.909285,0.904353
"1110",197.250612,72,73,0.776933,0.783710,0.776933,0.790605
"1111",149.133061,4,36,0.201942,0.334849,0.979499,0.201942
"1112",324.497324,179,166,0.877823,0.892209,0.877823,0.907074
"1113",129.541224,148,82,0.516403,0.660176,0.516403,0.914892
"1114",187.428571,66,73,0.873513,0.882524,0.873513,0.891722
"1116",186.266213,68,70,0.810103,0.850269,0.810103,0.894626
"1117",146.233469,111,112,0.728860,0.744954,0.728860,0.761775
"1118",164.963265,63,77,0.769573,0.812138,0.859687,0.769573
"1119",222.774830,71,75,0.910732,0.911317,0.910732,0.911903
"1120",236.930612,76,108,0.811721,0.869832,0.936905,0.811721
"1121",137.521814,58,77,0.766575,0.817222,0.875035,0.766575
"1123",129.541224,148,82,0.516403,0.660176,0.516403,0.914892
"1124",214.778776,92,106,0.822490,0.834127,0.846098,0.822490
"1125",126.432653,38,65,0.749026,0.826359,0.921498,0.749026
