Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1002",239.830204,164,104,0.779933,0.855064,0.779933,0.946212
"1003",217.521633,96,110,0.841520,0.857499,0.874098,0.841520
"1006",164.048980,50,43,0.868632,0.907243,0.868632,0.949447
"1007",218.331429,62,60,0.935083,0.943904,0.935083,0.952894
"1009",181.482404,127,99,0.782897,0.847198,0.782897,0.923008
"1011",252.813061,97,96,0.964855,0.965084,0.964855,0.965314
"1012",295.523265,269,158,0.562379,0.688311,0.562379,0.886915
"1013",247.797551,197,156,0.707361,0.785599,0.707361,0.883296
"1014",198.635102,15,25,0.601852,0.705673,0.852781,0.601852
"1016",217.372200,57,66,0.709243,0.787160,0.884310,0.709243
"1018",159.085714,120,77,0.646396,0.752730,0.646396,0.900937
"1019",267.964082,156,137,0.813014,0.854979,0.813014,0.901512
"1020",211.200000,58,41,0.597866,0.719862,0.597866,0.904411
"1021",160.208980,15,11,0.829433,0.902103,0.829433,0.988729
"1022",256.000000,109,105,0.887246,0.917208,0.887246,0.949265
"1024",170.499478,41,36,0.904229,0.921622,0.904229,0.939699
"1025",307.644082,163,150,0.767692,0.788693,0.810876,0.767692
"1032",286.380408,148,128,0.758390,0.789402,0.758390,0.823059
"1033",207.960816,56,48,0.794125,0.863117,0.794125,0.945236
"1034",199.131429,155,68,0.468711,0.626112,0.468711,0.942680
"1037",172.120816,81,67,0.739883,0.816289,0.739883,0.910293
"1039",237.871020,77,60,0.893346,0.933590,0.893346,0.977630
"1040",230.844082,50,42,0.901035,0.936863,0.901035,0.975658
"1041",169.613061,56,40,0.817969,0.881199,0.817969,0.955023
"1042",221.657846,104,94,0.844648,0.874179,0.844648,0.905851
"1043",250.409796,181,104,0.604712,0.712654,0.604712,0.867506
"1044",169.195102,113,88,0.803593,0.847471,0.803593,0.896419
"1045",197.877551,107,105,0.912810,0.915462,0.912810,0.918129
"1046",145.240816,90,77,0.842636,0.885948,0.842636,0.933953
"1048",191.190204,108,92,0.838999,0.883505,0.838999,0.932998
"1051",211.173878,71,68,0.926862,0.942717,0.926862,0.959124
"1052",239.960816,33,32,0.868350,0.899465,0.868350,0.932892
"1053",207.275261,173,138,0.769740,0.840447,0.769740,0.925459
"1054",200.228571,39,37,0.853665,0.884372,0.853665,0.917371
"1055",155.491633,64,40,0.742308,0.826270,0.742308,0.931649
"1056",280.894694,161,148,0.790441,0.823166,0.790441,0.858717
"1058",126.380408,56,34,0.754971,0.836901,0.754971,0.938778
"1059",166.767120,52,49,0.913850,0.931793,0.913850,0.950455
"1061",274.808163,127,87,0.756498,0.816678,0.756498,0.887259
"1062",202.579592,63,24,0.632666,0.752661,0.632666,0.928827
"1063",158.432653,79,70,0.874567,0.906680,0.874567,0.941242
"1066",274.233469,115,90,0.837187,0.887459,0.837187,0.944155
"1067",222.693878,84,95,0.832344,0.838237,0.844213,0.832344
"1068",178.050612,59,45,0.685510,0.777486,0.685510,0.897967
"1069",180.580159,114,71,0.795172,0.857884,0.795172,0.931335
"1070",243.304626,118,121,0.914518,0.917805,0.921116,0.914518
"1071",215.693991,93,80,0.867037,0.896786,0.867037,0.928648
"1072",135.915102,78,67,0.899675,0.926199,0.899675,0.954335
"1073",215.353469,110,92,0.788065,0.838413,0.788065,0.895632
"1076",216.482562,95,91,0.857262,0.863536,0.869902,0.857262
"1078",216.973061,93,79,0.783244,0.801430,0.783244,0.820481
"1082",223.973878,90,59,0.631989,0.742836,0.631989,0.900837
"1084",269.844898,106,94,0.873470,0.898442,0.873470,0.924883
"1086",221.701224,140,126,0.824645,0.865671,0.824645,0.910994
"1087",195.134694,79,53,0.615960,0.736373,0.615960,0.915303
"1089",245.420408,91,89,0.958721,0.961034,0.958721,0.963358
"1091",156.780249,72,52,0.730597,0.820136,0.730597,0.934688
"1094",143.177143,67,69,0.879748,0.884235,0.888769,0.879748
"1096",195.787755,14,41,0.618130,0.743386,0.932306,0.618130
"1097",280.894694,161,148,0.790441,0.823166,0.790441,0.858717
"1098",433.606531,265,213,0.781021,0.835447,0.781021,0.898026
"1099",136.097959,56,58,0.816440,0.830844,0.845765,0.816440
"1100",146.233469,111,90,0.657123,0.733037,0.657123,0.828781
"1101",146.677551,45,42,0.856863,0.879972,0.856863,0.904361
"1102",204.564898,74,70,0.701901,0.724960,0.749586,0.701901
"1103",156.299456,46,38,0.903482,0.934444,0.903482,0.967603
"1106",265.236032,160,90,0.529235,0.667312,0.529235,0.902873
"1107",189.011270,89,75,0.852581,0.889842,0.852581,0.930509
"1110",197.250612,72,43,0.646935,0.757577,0.646935,0.913872
"1111",149.133061,4,15,0.378084,0.544679,0.973738,0.378084
"1112",324.497324,179,176,0.891216,0.899049,0.891216,0.907022
"1113",129.541224,148,21,0.272911,0.425958,0.272911,0.969833
"1114",187.428571,66,63,0.891379,0.907791,0.891379,0.924820
"1116",186.266213,68,46,0.774378,0.855837,0.774378,0.956449
"1117",146.233469,111,90,0.657123,0.733037,0.657123,0.828781
"1118",164.963265,63,63,0.786866,0.804654,0.823266,0.786866
"1119",222.774830,71,69,0.922584,0.938422,0.922584,0.954812
"1120",236.930612,76,87,0.898638,0.909481,0.920588,0.898638
"1121",137.521814,58,54,0.787258,0.828574,0.787258,0.874468
