MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",95.472636,172.863864,93.081649,2.319523,0.000000,2.186013,2.412814,97.568664,95.401172,-nan,0.000000,93.081649,0.297253,1.886725,0.135545,93.081649,0.000000,1.003137,1.316386,3,5
"1302",75.251371,152.328747,72.553303,24.524222,0.000000,0.192015,2.730459,54.497826,53.418009,99.500987,43.659517,72.553303,14.246040,9.351288,0.926895,72.553303,7.741082,0.988505,15.794636,6,9
"1305",81.958732,280.118277,81.805631,16.829251,1.198060,0.000000,0.167058,81.752126,96.310005,87.147573,3.522937,81.805631,0.194411,1.390889,15.243951,81.805631,0.000000,15.159482,1.669770,3,7
"1306",75.677028,144.247435,74.530283,21.570144,2.732707,0.000000,1.166866,74.692170,96.028979,100.000000,2.804154,74.530283,6.280422,7.550086,7.739636,74.530283,0.000000,14.220795,7.349349,9,12
"1309",54.292654,211.202647,51.599085,43.381293,1.033451,1.274736,2.711434,-nan,0.000000,53.741305,96.013829,51.599085,9.703918,23.075472,10.601903,51.599085,0.505731,28.652322,14.223239,3,10
"1310",67.117866,126.102248,63.228629,26.383785,6.459203,0.000000,3.928383,67.387886,74.664637,60.324758,21.406980,63.228629,14.780114,9.851457,1.752215,63.228629,0.077691,3.070315,23.235779,9,10
"1311",83.085548,323.683265,82.420919,16.855438,0.052738,0.000000,0.670906,-nan,0.000000,82.977620,99.329094,82.420919,11.352382,4.154407,1.348649,82.420919,9.874607,4.158050,2.822781,2,9
"1312",63.461128,147.644082,52.011887,31.278029,0.000000,5.237253,11.472832,60.451577,78.768999,97.210045,4.520916,52.011887,7.176494,22.359320,1.742215,52.011887,0.071678,23.672981,7.533370,6,8
"1313",72.677457,167.444898,70.306256,8.750159,2.107911,16.447139,2.388536,86.870515,57.710728,86.010896,23.453598,70.306256,1.549802,0.000000,7.200357,70.306256,1.026174,4.991238,2.732746,4,5
"1318",67.103522,189.092744,66.857928,23.318718,0.171915,9.384883,0.266555,72.485916,82.011155,88.893246,8.337407,66.857928,12.276956,4.696980,6.344782,66.857928,9.085249,7.238627,6.994842,6,11
"1319",49.579326,84.627163,48.391884,50.386377,0.000000,0.000000,1.221739,4.707637,23.723798,62.987665,75.054463,48.391884,42.158594,7.071045,1.156738,48.391884,0.641972,4.153908,45.590497,4,6
"1321",84.752944,138.830927,82.273705,13.466010,0.000000,1.755958,2.504327,88.034151,68.673118,80.608245,27.066598,82.273705,2.663537,8.259147,2.543327,82.273705,1.085139,7.993756,4.387115,9,10
"1322",75.560041,190.856372,74.027101,23.817962,0.596143,0.000000,1.558793,-nan,0.000000,75.199303,98.441207,74.027101,1.737043,0.604093,21.476825,74.027101,0.000000,21.464160,2.353802,2,4
"1324",91.432196,237.533605,89.728253,7.647292,0.651938,0.251772,1.720745,96.960315,88.746991,39.641111,9.280491,89.728253,2.210236,1.535713,3.901343,89.728253,0.000000,3.666443,3.980850,5,5
"1327",33.758637,171.937959,28.627779,60.931156,4.565620,0.734458,5.140987,49.086091,34.724893,19.499582,59.399662,28.627779,2.942546,57.212939,0.775671,28.627779,2.937587,17.353818,40.639751,5,10
"1329",82.794253,216.737959,78.551756,16.749680,0.000000,0.444015,4.254550,82.424525,95.301436,-nan,0.000000,78.551756,1.681488,6.649770,8.418422,78.551756,1.681488,15.056966,0.011226,6,7
"1330",73.593019,198.542154,71.300754,23.105650,1.333256,1.938871,2.321468,73.201370,77.060028,79.721901,18.679632,71.300754,9.685740,10.991397,2.428513,71.300754,3.919934,9.833644,9.352072,4,8
"1331",78.389776,128.040249,76.280338,20.070317,1.517539,0.000000,2.131806,77.941908,97.868194,-nan,0.000000,76.280338,12.817042,6.298139,0.955137,76.280338,11.112362,5.018361,3.939594,4,10
"1332",87.722708,253.866667,86.966092,11.480143,0.789146,0.000000,0.764618,87.636175,99.235382,-nan,0.000000,86.966092,2.193909,8.408778,0.877456,86.966092,1.650263,7.922149,1.907732,6,8
"1333",97.171918,142.106122,94.818977,2.354226,0.457516,0.000000,2.369281,96.094185,65.924216,99.252947,31.706503,94.818977,0.197219,1.788928,0.368078,94.818977,0.000000,2.018373,0.335853,7,7
"1334",82.207218,160.792092,79.564519,16.285042,0.303261,1.182817,2.664361,81.316413,88.447038,99.179534,7.705783,79.564519,11.785864,2.486009,2.013169,79.564519,9.945280,4.418851,1.920910,8,10
"1335",71.137496,189.717936,67.269909,27.336666,1.223350,0.282599,3.887475,70.836892,52.054131,69.436503,43.775795,67.269909,13.004516,10.159371,4.172780,67.269909,0.171220,8.085160,19.080286,8,11
"1336",79.557512,182.229116,77.353116,18.767775,0.000000,1.666749,2.212360,77.661261,82.930754,98.164610,13.190137,77.353116,12.295578,6.108476,0.363721,77.353116,2.506143,5.263075,10.998557,3,6
"1337",69.489658,163.023596,63.560554,27.698672,2.303528,0.495678,5.941567,81.958934,28.483128,61.795201,65.079627,63.560554,14.545851,11.035442,2.117380,63.560554,0.484273,8.649136,18.565263,9,15
"1339",84.106598,243.304626,82.934463,14.848081,0.927451,0.105884,1.184121,84.804559,60.083804,82.795267,38.626191,82.934463,6.073246,2.989048,5.785788,82.934463,3.276216,4.266836,7.305030,13,16
"1340",69.622247,215.652019,68.125588,29.454634,0.193812,0.710654,1.515312,63.068132,71.556262,87.712985,26.217772,68.125588,7.337190,10.169741,11.947702,68.125588,1.249760,18.046784,10.158090,5,9
"1342",71.969361,188.081633,68.574299,26.076339,0.012346,1.929609,3.407407,76.408558,89.746883,0.000000,4.916101,68.574299,14.334255,8.029464,3.712620,68.574299,4.910428,9.666411,11.499501,5,7
"1344",86.605086,156.792477,83.658024,11.912127,1.451317,0.000000,2.978532,86.962692,51.720286,85.385566,45.301183,83.658024,2.192349,5.468873,4.250906,83.658024,1.289672,5.332669,5.289786,9,11
"1345",88.014398,113.343336,84.306362,10.384740,0.042228,1.522782,3.743887,88.061039,73.922022,92.304920,20.811308,84.306362,6.896573,2.936290,0.551877,84.306362,6.108517,2.572552,1.703671,5,10
"1346",82.946439,210.827269,81.911148,14.587427,0.264330,2.183907,1.053188,81.997852,38.248939,86.385941,58.513965,81.911148,7.060000,5.075261,2.452166,81.911148,2.144417,4.499666,7.943344,9,12
"1347",77.690653,121.736372,74.581596,22.012360,0.209814,0.034758,3.161473,83.638525,73.750146,55.948091,23.053623,74.581596,6.715764,6.992972,8.303624,74.581596,1.269187,9.321353,11.421819,13,14
"1350",80.229289,239.194764,78.530468,15.609212,0.000000,4.145724,1.714596,83.419094,94.139680,-nan,0.000000,78.530468,0.747481,7.307571,7.554160,78.530468,0.747481,14.861730,-0.000000,3,4
"1353",2.438242,120.945113,0.000000,96.843108,0.403174,0.301077,2.452641,0.000000,97.246282,-nan,0.000000,0.000000,0.000000,2.755296,94.087812,0.000000,0.000000,96.843108,0.000000,8,9
"1354",83.747955,193.558651,82.855305,14.881545,1.326673,0.011996,0.924480,80.586235,25.175518,84.678565,73.888006,82.855305,5.819266,7.028744,2.033535,82.855305,1.357789,7.015944,6.507813,6,7
"1355",88.490513,112.550771,87.706548,8.355577,3.135859,0.000000,0.802016,90.489738,82.652203,78.054863,16.545781,87.706548,5.888675,0.631829,1.835073,87.706548,5.888675,1.919096,0.547805,4,6
