MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",94.338823,172.863864,91.157128,4.244044,0.000000,1.416189,3.182639,95.551371,95.401172,-nan,0.000000,91.157128,0.000000,4.217057,0.026986,91.157128,0.000000,3.914304,0.329739,3,4
"1302",81.594937,152.328747,78.724311,17.193085,1.160130,0.018622,2.903852,68.535761,53.418009,96.459776,43.659517,78.724311,3.943728,11.015104,2.234253,78.724311,2.535266,10.531069,4.126750,6,7
"1305",78.850847,280.118277,78.683790,16.862139,4.287013,0.000000,0.167058,78.626304,96.310005,83.986526,3.522937,78.683790,0.597852,4.581993,11.682294,78.683790,0.000000,15.211160,1.650979,3,6
"1306",82.062100,144.247435,80.895234,13.990538,3.947362,0.000000,1.166866,81.320327,96.028979,100.000000,2.804154,80.895234,1.221745,8.170598,4.598195,80.895234,0.000000,12.766891,1.223647,9,10
"1309",55.141979,211.202647,51.173975,28.197459,16.642396,0.000000,3.986171,-nan,0.000000,53.298546,96.013829,51.173975,18.822540,5.325015,4.049905,51.173975,4.551314,5.803630,17.842515,3,9
"1310",59.682789,126.102248,55.797868,33.076060,7.197689,0.000000,3.928383,61.036663,74.664637,47.765097,21.406980,55.797868,17.753889,13.235133,2.087039,55.797868,0.007148,6.822952,26.245960,9,9
"1311",69.802819,323.683265,69.131914,29.804310,0.392870,0.000000,0.670906,-nan,0.000000,69.598856,99.329094,69.131914,24.316309,2.967018,2.520983,69.131914,22.858093,2.573987,4.372230,2,9
"1312",57.399629,147.644082,46.136055,37.153860,0.000000,5.416654,11.293430,53.489124,78.768999,88.548588,4.520916,46.136055,13.733249,18.865122,4.555490,46.136055,2.583970,22.863848,11.706042,6,7
"1313",64.224915,167.444898,58.322563,14.554373,8.287390,12.906508,5.929166,77.023892,57.710728,59.144504,23.453598,58.322563,1.583603,6.168317,6.802453,58.322563,1.039148,5.012374,8.502851,4,6
"1318",67.614829,189.092744,64.400987,25.733260,0.214316,6.437596,3.213842,77.456671,82.011155,10.529366,8.337407,64.400987,12.458485,7.992148,5.282627,64.400987,5.618365,12.091355,8.023539,6,9
"1319",51.510214,84.627163,50.288475,48.489786,0.000000,0.000000,1.221739,9.695617,23.723798,63.937979,75.054463,50.288475,43.540894,4.644756,0.304135,50.288475,0.000000,3.699594,44.790192,4,6
"1321",78.635188,138.830927,75.536426,20.203290,0.000000,1.161522,3.098763,86.349566,68.673118,59.990867,27.066598,75.536426,6.198913,9.987296,4.017081,75.536426,0.490360,8.645515,11.067415,9,10
"1322",2.150862,190.856372,0.592068,65.204118,32.645021,0.000000,1.558793,-nan,0.000000,0.601444,98.441207,0.592068,40.909938,11.080420,13.213760,0.592068,39.052658,0.000000,26.151459,2,6
"1324",89.035195,237.533605,87.346507,10.108931,0.572045,0.269681,1.702836,98.421936,88.746991,0.000000,9.280491,87.346507,4.804358,1.059991,4.244583,87.346507,0.000000,1.115951,8.992980,5,4
"1327",27.347271,171.937959,21.471826,32.128903,40.523826,0.000000,5.875445,55.536503,34.724893,3.681562,59.399662,21.471826,3.658296,24.670364,3.800242,21.471826,3.035979,7.423913,21.669012,5,8
"1329",83.832863,216.737959,80.123315,15.178121,0.000000,0.971502,3.727062,84.073565,95.301436,-nan,0.000000,80.123315,0.000000,7.436607,7.741514,80.123315,0.000000,15.178121,0.000000,6,5
"1330",83.948168,198.542154,80.202304,12.413144,3.124213,0.493243,3.767096,85.283487,77.060028,77.532708,18.679632,80.202304,5.191233,5.273822,1.948089,80.202304,3.011421,5.619665,3.782058,4,7
"1331",87.438879,128.040249,85.338508,3.211772,9.317914,0.000000,2.131806,87.197387,97.868194,-nan,0.000000,85.338508,1.128423,2.059769,0.023581,85.338508,1.128423,2.063696,0.019654,4,6
"1332",88.438107,253.866667,87.673810,6.572514,4.989058,0.000000,0.764618,88.349345,99.235382,-nan,0.000000,87.673810,0.495426,5.655245,0.421843,87.673810,0.495426,6.036799,0.040288,5,5
"1333",92.633344,142.106122,90.268371,7.046226,0.316122,0.000000,2.369281,92.942172,65.924216,91.454340,31.706503,90.268371,2.801386,2.642671,1.602169,90.268371,0.295554,3.148185,3.602486,7,7
"1334",90.244228,160.792092,86.420150,9.438889,0.293784,0.021831,3.825347,91.757143,88.447038,68.308096,7.705783,86.420150,2.300286,5.726685,1.411917,86.420150,0.000000,5.139456,4.299433,8,9
"1335",66.198603,189.717936,62.322470,31.382051,2.125405,0.293942,3.876133,71.101498,52.054131,57.820089,43.775795,62.322470,16.051859,13.764270,1.565921,62.322470,0.023761,7.467316,23.890973,8,9
