MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",95.980269,172.863864,92.541552,2.859620,0.000000,1.138282,3.460545,97.002531,95.401172,-nan,0.000000,92.541552,0.256941,2.530951,0.071728,92.541552,0.000000,1.677534,1.182086,3,5
"1302",78.700599,152.328747,76.004267,20.294082,0.779177,0.209000,2.713474,61.406100,53.418009,98.952884,43.659517,76.004267,11.422423,7.557165,1.314494,76.004267,7.300676,1.814099,11.179307,6,5
"1305",47.222113,280.118277,47.118745,49.103955,3.610242,0.058025,0.109032,46.297964,96.310005,71.791627,3.522937,47.118745,0.372842,46.554638,2.176475,47.118745,0.000000,2.720690,46.383265,3,7
"1306",75.432962,144.247435,74.266096,20.675344,3.891694,0.000000,1.166866,74.603210,96.028979,93.625184,2.804154,74.266096,2.342690,8.612106,9.720547,74.266096,0.000000,17.909346,2.765998,9,11
"1309",61.585245,211.202647,57.599075,29.926665,8.488089,0.000000,3.986171,-nan,0.000000,59.990394,96.013829,57.599075,6.242467,16.759510,6.924689,57.599075,1.385282,16.395069,12.146314,3,8
"1310",71.284366,126.102248,68.358277,27.267397,0.445942,1.002294,2.926089,76.588386,74.664637,52.197167,21.406980,68.358277,11.138810,11.687337,4.441251,68.358277,0.961583,7.777652,18.528161,9,11
"1311",87.928624,323.683265,87.336629,9.629793,2.362672,0.078910,0.591996,-nan,0.000000,87.926533,99.329094,87.336629,4.673639,3.980540,0.975614,87.336629,1.624893,2.506385,5.498515,2,6
"1312",64.878256,147.644082,52.508995,30.780920,0.000000,4.340824,12.369261,61.122538,78.768999,96.515464,4.520916,52.508995,11.877025,15.237147,3.666748,52.508995,0.103101,18.740816,11.937003,6,6
"1313",66.822531,167.444898,64.337815,14.828679,1.997832,16.350958,2.484716,84.630180,57.710728,66.075671,23.453598,64.337815,3.037239,4.128324,7.663116,64.337815,2.555192,4.995140,7.278347,4,6
"1318",62.530903,189.092744,60.418765,26.646268,3.283528,7.518364,2.133075,64.852716,82.011155,86.745240,8.337407,60.418765,5.032898,6.682050,14.931321,60.418765,0.000000,20.826315,5.819954,6,9
"1319",56.167272,84.627163,54.979809,43.798452,0.000000,0.000023,1.221716,0.000000,23.723798,73.253217,75.054463,54.979809,32.525966,9.832961,1.439526,54.979809,0.000000,6.540022,37.258430,4,5
"1321",84.746426,138.830927,81.744198,13.995517,0.000000,1.258057,3.002228,88.098822,68.673118,78.487850,27.066598,81.744198,1.634989,9.150626,3.209902,81.744198,0.915460,7.052805,6.027253,9,9
"1322",1.557256,190.856372,0.000000,95.734625,2.706581,0.000000,1.558793,-nan,0.000000,0.000000,98.441207,0.000000,65.593764,9.111319,21.029542,0.000000,65.593764,3.867732,26.273129,2,5
"1324",90.695247,237.533605,89.059730,8.765467,0.202286,0.320201,1.652317,98.322839,88.746991,19.408113,9.280491,89.059730,3.267011,1.158024,4.340431,89.059730,0.000000,2.267949,6.497517,5,5
"1327",19.785220,171.937959,15.015269,70.860589,8.248698,1.095339,4.780106,43.240648,34.724893,0.000000,59.399662,15.015269,46.157547,24.621059,0.081982,15.015269,46.157547,12.527804,12.175238,5,5
"1329",80.683639,216.737959,79.975198,15.326237,0.000000,3.990124,0.708440,83.918147,95.301436,-nan,0.000000,79.975198,0.000000,6.998418,8.327819,79.975198,0.000000,15.326237,-0.000000,6,5
"1330",75.237899,198.542154,72.933945,18.139311,4.666404,1.927196,2.333144,77.205529,77.060028,71.946505,18.679632,72.933945,5.941101,10.697079,1.501131,72.933945,1.923510,11.667872,4.547929,4,7
"1331",80.182810,128.040249,78.051005,10.447183,9.370007,0.000000,2.131806,79.751144,97.868194,-nan,0.000000,78.051005,2.768931,5.806581,1.871671,78.051005,2.768931,7.545595,0.132657,4,5
"1332",86.641071,253.866667,85.967918,11.792318,1.475146,0.091465,0.673153,86.630309,99.235382,-nan,0.000000,85.967918,1.910709,9.274281,0.607327,85.967918,1.910709,9.670338,0.211271,6,5
"1333",87.170018,142.106122,84.980491,12.029319,0.620908,0.179739,2.189542,92.902298,65.924216,74.859659,31.706503,84.980491,7.964662,2.774550,1.290107,84.980491,0.000000,3.463533,8.565786,7,7
"1334",83.915625,160.792092,80.212983,15.607683,0.332156,0.144536,3.702642,82.331197,88.447038,95.947118,7.705783,80.212983,10.392097,3.222764,1.992821,80.212983,8.162790,4.721464,2.723429,8,9
"1335",73.008198,189.717936,69.341021,26.488905,0.000000,0.502896,3.667178,77.021237,52.054131,66.813830,43.775795,69.341021,9.314549,11.198819,5.975536,69.341021,0.071304,9.112536,17.305065,8,9
"1336",82.625393,182.229116,80.688601,15.432290,0.000000,1.934329,1.944780,82.007322,82.930754,96.127208,13.190137,80.688601,1.958241,12.108470,1.365579,80.688601,0.000000,12.921671,2.510619,3,5
