MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",94.169698,172.863864,91.778711,3.622461,0.000000,2.186013,2.412814,-nan,0.000000,0.000000,0.975147,0.000000,1.633335,98.907264,92.792690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.081649,0.297253,1.886725,0.135545,91.778711,1.302938,0.988852,1.330671,5,5
"1302",75.251371,152.328747,72.553303,24.524222,0.000000,0.192015,2.730459,-nan,0.000000,0.000000,0.432032,-nan,0.000000,54.942185,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.500987,43.659517,72.553303,14.246040,9.351288,0.926895,72.553303,7.741082,0.988505,15.794636,7,9
"1305",81.958732,280.118277,81.805631,16.829251,1.198060,0.000000,0.167058,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.752126,96.310005,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.147573,3.522937,81.805631,0.194411,1.390889,15.243951,81.805631,0.000000,15.159482,1.669770,3,7
"1306",74.984843,144.247435,73.838099,22.262328,2.732707,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,74.291633,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,2.804154,74.530283,6.280422,7.550086,7.739636,73.838099,0.692184,14.220795,7.349349,10,13
"1309",54.292654,211.202647,51.599085,43.381293,1.033451,1.274736,2.711434,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.741305,96.013829,51.599085,9.703918,23.075472,10.601903,51.599085,0.505731,28.652322,14.223239,3,10
"1310",63.150967,126.102248,59.261730,30.350683,6.459203,0.000000,3.928383,-nan,0.000000,0.000000,0.791179,0.000000,3.984211,66.316384,69.889247,-nan,0.000000,-nan,0.000000,0.000000,0.788343,62.631245,20.618636,63.228629,14.780114,9.851457,1.752215,59.261730,4.044590,1.473481,24.832613,12,10
"1311",83.085548,323.683265,82.420919,16.855438,0.052738,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.977620,99.329094,82.420919,11.352382,4.154407,1.348649,82.420919,9.874607,4.158050,2.822781,2,9
"1312",63.461128,147.644082,52.011887,31.278029,0.000000,5.237253,11.472832,-nan,0.000000,46.597567,4.476663,-nan,0.000000,61.286383,74.292336,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.210045,4.520916,52.011887,7.176494,22.359320,1.742215,52.011887,0.071678,19.326516,11.879835,7,10
"1313",72.677457,167.444898,70.306256,8.750159,2.107911,16.447139,2.388536,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.870515,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.010896,23.453598,70.306256,1.549802,0.000000,7.200357,70.306256,1.026174,4.991238,2.732746,4,5
"1318",67.103522,189.092744,66.857928,23.318718,0.171915,9.384883,0.266555,-nan,0.000000,0.000000,1.316442,-nan,0.000000,73.668441,80.694713,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.893246,8.337407,66.857928,12.276956,4.696980,6.344782,66.857928,9.085249,6.347534,7.885935,8,11
"1319",49.579326,84.627163,48.391884,50.386377,0.000000,0.000000,1.221739,-nan,0.000000,-nan,0.000000,-nan,0.000000,4.707637,23.723798,-nan,0.000000,-nan,0.000000,-nan,0.000000,62.987665,75.054463,48.391884,42.158594,7.071045,1.156738,48.391884,0.641972,4.153908,45.590497,4,6
"1321",84.752944,138.830927,82.273705,13.466010,0.000000,1.755958,2.504327,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.034151,68.673118,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.608245,27.066598,82.273705,2.663537,8.259147,2.543327,82.273705,1.085139,7.993756,4.387115,9,10
"1322",75.560041,190.856372,74.027101,23.817962,0.596143,0.000000,1.558793,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.199303,98.441207,74.027101,1.737043,0.604093,21.476825,74.027101,0.000000,21.464160,2.353802,2,4
"1324",91.432196,237.533605,89.728253,7.647292,0.651938,0.251772,1.720745,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.960315,88.746991,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.641111,9.280491,89.728253,2.210236,1.535713,3.901343,89.728253,0.000000,3.666443,3.980850,5,5
"1327",33.758637,171.937959,28.627779,60.931156,4.565620,0.734458,5.140987,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.086091,34.724893,-nan,0.000000,-nan,0.000000,-nan,0.000000,19.499582,59.399662,28.627779,2.942546,57.212939,0.775671,28.627779,2.937587,17.353818,40.639751,5,10
"1329",82.794253,216.737959,78.551756,16.749680,0.000000,0.444015,4.254550,-nan,0.000000,0.000000,5.956539,-nan,0.000000,87.919690,89.344896,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.551756,1.681488,6.649770,8.418422,78.551756,1.681488,9.100427,5.967765,7,7
"1330",73.593019,198.542154,71.300754,23.105650,1.333256,1.938871,2.321468,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.201370,77.060028,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.721901,18.679632,71.300754,9.685740,10.991397,2.428513,71.300754,3.919934,9.833644,9.352072,4,8
"1331",78.389776,128.040249,76.280338,20.070317,1.517539,0.000000,2.131806,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.941908,97.868194,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.280338,12.817042,6.298139,0.955137,76.280338,11.112362,5.018361,3.939594,4,11
"1332",83.697097,253.866667,82.940482,15.505753,0.789146,0.000000,0.764618,-nan,0.000000,0.000000,4.577259,24.228214,1.887575,88.910930,92.770547,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.966092,2.193909,8.408778,0.877456,82.940482,5.675873,6.580506,3.249375,9,9
"1333",97.171918,142.106122,94.818977,2.354226,0.457516,0.000000,2.369281,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.094185,65.924216,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.252947,31.706503,94.818977,0.197219,1.788928,0.368078,94.818977,0.000000,2.018373,0.335853,7,7
"1334",82.207218,160.792092,79.564519,16.285042,0.303261,1.182817,2.664361,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.316413,88.447038,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.179534,7.705783,79.564519,11.785864,2.486009,2.013169,79.564519,9.945280,4.418851,1.920910,8,10
"1335",65.040382,189.717936,61.172796,33.433780,1.223350,0.282599,3.887475,-nan,0.000000,0.000000,1.135363,31.524450,9.622232,77.375671,41.296536,-nan,0.000000,0.000000,1.466681,-nan,0.000000,61.892028,42.309114,67.269909,13.004516,10.159371,4.172780,61.172796,6.268334,4.567861,22.597586,11,13
"1336",79.321135,182.229116,77.116739,19.004152,0.000000,1.666749,2.212360,-nan,0.000000,0.000000,0.849870,0.000000,6.723269,85.152233,75.357615,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.164610,13.190137,77.353116,12.295578,6.108476,0.363721,77.116739,2.742520,1.799615,14.462018,5,7
"1337",69.489658,163.023596,63.560554,27.698672,2.303528,0.495678,5.941567,-nan,0.000000,-nan,0.000000,0.000000,1.970708,88.051064,26.512420,-nan,0.000000,-nan,0.000000,68.454539,7.874043,60.878578,57.205584,63.560554,14.545851,11.035442,2.117380,63.560554,0.484273,8.101583,19.112817,11,19
"1339",83.514897,243.304626,82.342761,15.439783,0.927451,0.105884,1.184121,-nan,0.000000,-nan,0.000000,0.000000,2.567883,88.590783,57.515921,-nan,0.000000,-nan,0.000000,-nan,0.000000,81.263401,38.626191,82.934463,6.073246,2.989048,5.785788,82.342761,3.867917,3.597710,7.974155,14,18
"1340",69.622247,215.652019,68.125588,29.454634,0.193812,0.710654,1.515312,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.068132,71.556262,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.712985,26.217772,68.125588,7.337190,10.169741,11.947702,68.125588,1.249760,18.046784,10.158090,5,9
