MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",92.609439,172.863864,89.427745,5.973427,0.000000,1.416189,3.182639,-nan,0.000000,0.000000,0.975147,0.000000,1.633335,96.373696,92.792690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.157128,0.000000,4.217057,0.026986,89.427745,1.729384,3.364945,0.879098,5,4
"1302",81.594937,152.328747,78.724311,17.193085,1.160130,0.018622,2.903852,-nan,0.000000,0.000000,0.432032,-nan,0.000000,69.094582,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.459776,43.659517,78.724311,3.943728,11.015104,2.234253,78.724311,2.535266,10.099037,4.558783,7,7
"1305",78.850847,280.118277,78.683790,16.862139,4.287013,0.000000,0.167058,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.626304,96.310005,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.986526,3.522937,78.683790,0.597852,4.581993,11.682294,78.683790,0.000000,15.211160,1.650979,3,6
"1306",81.698267,144.247435,80.531401,14.354371,3.947362,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,81.291897,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,2.804154,80.895234,1.221745,8.170598,4.598195,80.531401,0.363833,12.766891,1.223647,10,10
"1309",55.141979,211.202647,51.173975,28.197459,16.642396,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.298546,96.013829,51.173975,18.822540,5.325015,4.049905,51.173975,4.551314,5.803630,17.842515,3,9
"1310",56.959673,126.102248,53.074752,35.799176,7.197689,0.000000,3.928383,-nan,0.000000,0.000000,0.791179,0.000000,3.984211,61.310844,69.889247,-nan,0.000000,-nan,0.000000,0.000000,0.788343,49.591371,20.618636,55.797868,17.753889,13.235133,2.087039,53.074752,2.730264,4.055971,29.012941,12,9
"1311",69.802819,323.683265,69.131914,29.804310,0.392870,0.000000,0.670906,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.598856,99.329094,69.131914,24.316309,2.967018,2.520983,69.131914,22.858093,2.573987,4.372230,2,9
"1312",56.011590,147.644082,44.748016,38.541899,0.000000,5.416654,11.293430,-nan,0.000000,0.000000,4.476663,-nan,0.000000,54.843892,74.292336,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.548588,4.520916,46.136055,13.733249,18.865122,4.555490,44.748016,3.972009,19.775224,14.794665,7,7
"1313",64.224915,167.444898,58.322563,14.554373,8.287390,12.906508,5.929166,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.023892,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.144504,23.453598,58.322563,1.583603,6.168317,6.802453,58.322563,1.039148,5.012374,8.502851,4,6
"1318",67.176073,189.092744,63.962231,26.172015,0.214316,6.437596,3.213842,-nan,0.000000,0.000000,1.316442,-nan,0.000000,78.176565,80.694713,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.529366,8.337407,64.400987,12.458485,7.992148,5.282627,63.962231,6.057121,11.213669,8.901225,8,9
