MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",95.502239,174.001633,93.126887,2.304356,0.000000,2.171719,2.397037,97.585323,95.431243,95.431243,93.126887,0.000000,2.304356,-0.000000,3,5
"1302",80.306511,158.850612,77.719217,19.478296,0.000000,0.184132,2.618356,79.960088,97.197512,97.197512,77.719217,0.000000,19.478296,0.000000,6,8
"1305",79.682100,289.986667,79.534208,19.147129,1.157290,0.000000,0.161373,79.662762,99.838627,98.681337,79.534208,0.000000,19.147129,0.000000,4,7
"1306",75.576591,154.697143,74.507308,21.856533,2.548114,0.000000,1.088045,75.326899,98.911955,96.363841,74.507308,0.000000,21.856533,0.000000,9,10
"1309",50.171097,258.638367,47.971544,47.929461,0.843910,1.040943,2.214142,49.585597,96.744915,95.901005,47.971544,0.000000,47.929461,0.000000,4,7
"1310",65.640907,132.054807,61.926983,26.694229,7.627482,0.000000,3.751306,64.340596,96.248694,88.621213,61.926983,0.000000,26.694229,-0.000000,7,7
"1311",92.960154,323.683265,92.295525,6.980831,0.052738,0.000000,0.670906,92.918924,99.329094,99.276356,92.295525,0.000000,6.980831,0.000000,2,5
"1312",63.532805,147.644082,52.083564,31.206351,0.000000,5.237253,11.472832,62.532858,83.289915,83.289915,52.083564,0.000000,31.206351,0.000000,5,7
"1313",73.703632,167.444898,71.332430,7.723984,2.107911,16.447139,2.388536,87.886433,81.164326,79.056415,71.332430,0.000000,7.723984,0.000000,4,4
"1318",71.763792,228.988390,71.560988,20.327139,0.141963,7.749796,0.220114,77.758251,92.030090,91.888126,71.560988,0.000000,20.327139,-0.000000,7,8
"1319",43.004179,223.869388,42.555302,56.093732,0.889124,0.000000,0.461842,42.752752,99.538158,98.649034,42.555302,0.000000,56.093732,0.000000,5,7
"1321",72.707917,168.751020,70.668256,25.692421,0.134401,1.444621,2.060302,73.235089,96.495077,96.360676,70.668256,0.000000,25.692421,0.000000,7,8
"1322",72.304976,208.796735,70.903749,22.844947,4.826445,0.000000,1.424858,71.928630,98.575142,93.748697,70.903749,0.000000,22.844947,-0.000000,2,5
"1324",91.432196,237.533605,89.728253,7.647292,0.651938,0.251772,1.720745,91.533772,98.027483,97.375545,89.728253,0.000000,7.647292,0.000000,5,5
"1327",36.696224,171.937959,31.565366,57.993569,4.565620,0.734458,5.140987,33.535740,94.124555,89.558935,31.565366,0.000000,57.993569,0.000000,4,6
"1329",84.475740,216.737959,80.233243,15.068193,0.000000,0.444015,4.254550,84.188913,95.301436,95.301436,80.233243,0.000000,15.068193,-0.000000,6,6
"1330",77.512953,198.542154,75.220688,19.185716,1.333256,1.938871,2.321468,78.567950,95.739660,94.406405,75.220688,0.000000,19.185716,-0.000000,4,5
"1331",89.502138,128.040249,87.392700,8.957955,1.517539,0.000000,2.131806,89.296324,97.868194,96.350655,87.392700,0.000000,8.957955,0.000000,4,6
"1332",89.219823,256.600816,88.471269,9.991522,0.780737,0.000000,0.756471,89.145630,99.243529,98.462791,88.471269,0.000000,9.991522,-0.000000,6,6
"1333",97.171918,142.106122,94.818977,2.354226,0.457516,0.000000,2.369281,97.120023,97.630719,97.173203,94.818977,0.000000,2.354226,0.000000,6,6
"1334",93.336250,260.702041,91.706324,4.816438,1.104431,0.729521,1.643287,93.935226,97.627192,96.522761,91.706324,0.000000,4.816438,-0.000000,7,7
"1335",69.209278,224.574694,65.941988,29.284102,1.251082,0.238736,3.284091,68.349835,96.477173,95.226090,65.941988,0.000000,29.284102,0.000000,6,8
"1336",81.723432,182.987755,79.528174,16.608799,0.000000,1.659839,2.203188,82.723818,96.136973,96.136973,79.528174,0.000000,16.608799,0.000000,4,5
"1337",66.416856,186.174694,61.225045,31.121109,2.017081,0.434040,5.202725,64.882308,94.363236,92.346154,61.225045,0.000000,31.121109,0.000000,8,11
"1339",87.382814,243.304626,86.210679,11.571865,0.927451,0.105884,1.184121,87.337335,98.709995,97.782544,86.210679,0.000000,11.571865,-0.000000,10,10
"1340",71.875018,261.520136,70.640859,27.257223,0.266365,0.586012,1.249541,71.961755,98.164447,97.898082,70.640859,0.000000,27.257223,0.000000,5,6
"1342",76.879788,188.081633,73.484727,21.165912,0.012346,1.929609,3.407407,77.627731,94.662984,94.650638,73.484727,0.000000,21.165912,-0.000000,5,6
"1344",78.029127,177.449796,75.425140,20.660700,1.282366,0.000000,2.631794,77.463828,97.368206,96.085840,75.425140,0.000000,20.660700,0.000000,8,8
"1345",80.825930,150.204082,78.027863,17.039478,0.958454,1.149085,2.825121,81.257190,96.025794,95.067340,78.027863,0.000000,17.039478,0.000000,5,8
"1346",73.581234,261.982041,72.748095,24.434171,0.212716,1.757476,0.847542,74.693884,97.394982,97.182265,72.748095,0.000000,24.434171,0.000000,7,8
"1347",78.959840,121.736372,75.850783,20.743172,0.209814,0.034758,3.161473,78.355196,96.803769,96.593956,75.850783,0.000000,20.743172,0.000000,9,10
"1350",80.756080,240.039184,79.063235,15.097061,0.000000,4.131140,1.708565,83.966638,94.160295,94.160295,79.063235,0.000000,15.097061,0.000000,3,3
"1353",1.807379,163.160816,0.000000,97.659912,0.298858,0.223178,1.818052,0.000000,97.958770,97.659912,0.000000,0.000000,97.659912,-0.000000,9,9
"1354",83.629567,200.635578,82.768404,15.048274,1.279878,0.011573,0.891871,83.522987,99.096556,97.816678,82.768404,0.000000,15.048274,0.000000,6,6
"1355",93.484105,241.136327,93.118188,3.811241,2.696229,0.000000,0.374342,93.468078,99.625658,96.929429,93.118188,0.000000,3.811241,-0.000000,4,4
"1357",88.742070,147.382857,85.165718,6.700118,0.015755,4.522364,3.596046,92.690730,91.881591,91.865836,85.165718,0.000000,6.700118,-0.000000,4,4
"1358",50.599506,154.321610,47.242644,20.698784,0.088780,28.581677,3.388115,69.443627,68.030208,67.941428,47.242644,0.000000,20.698784,-0.000000,4,4
"1359",72.135043,166.373878,68.783209,25.925536,1.923720,0.000000,3.367535,71.180228,96.632465,94.708745,68.783209,0.000000,25.925536,-0.000000,5,6
"1360",76.308638,209.240816,73.234703,21.913029,1.764461,0.000000,3.087807,75.568100,96.912193,95.147732,73.234703,0.000000,21.913029,0.000000,8,7
"1361",84.109897,179.435102,79.917147,13.219335,0.000000,2.662680,4.200838,85.806491,93.136482,93.136482,79.917147,0.000000,13.219335,-0.000000,4,5
"1362",75.644752,190.145306,71.822494,23.260632,0.012212,1.071719,3.832944,75.526830,95.095337,95.083125,71.822494,0.000000,23.260632,-0.000000,7,7
"1364",90.282857,342.360816,89.719925,8.867660,0.847788,0.000000,0.564627,90.229385,99.435373,98.587585,89.719925,0.000000,8.867660,-0.000000,9,10
"1366",64.933739,255.764898,62.001340,34.018601,0.853391,0.186325,2.940342,64.002485,96.873333,96.019942,62.001340,0.000000,34.018601,0.000000,4,4
"1367",6.282085,266.866939,0.000000,85.273653,0.000000,8.435561,6.290786,0.000000,85.273653,85.273653,0.000000,0.000000,85.273653,-0.000000,6,8
"1368",54.155627,246.364354,52.903775,43.016959,0.293855,2.523876,1.261535,54.985190,96.214589,95.920734,52.903775,0.000000,43.016959,-0.000000,8,7
"1369",91.628852,129.697959,87.188883,7.214161,1.145798,0.000000,4.451158,91.250591,95.548842,94.403044,87.188883,0.000000,7.214161,0.000000,7,8
"1370",88.464034,224.966531,88.040237,10.401215,1.114109,0.015482,0.428958,88.433269,99.555560,98.441451,88.040237,0.000000,10.401215,0.000000,6,8
"1371",3.380383,178.594806,0.702080,92.594568,0.147270,3.863153,2.692930,0.751338,93.443917,93.296647,0.702080,0.000000,92.594568,-0.000000,4,6
"1372",75.756622,207.229388,74.042264,20.729225,0.145664,3.361486,1.721361,78.007253,94.917153,94.771489,74.042264,0.000000,20.729225,-0.000000,4,5
"1373",46.964787,206.080000,42.898538,48.185595,1.195648,3.641294,4.078926,46.487472,92.279780,91.084133,42.898538,0.000000,48.185595,0.000000,8,9
"1376",95.209461,231.209796,91.997792,2.807659,0.022116,1.946956,3.225477,97.015873,94.827567,94.805452,91.997792,0.000000,2.807659,-0.000000,3,3
"1377",91.606424,141.440612,90.440337,6.369250,2.002347,0.000000,1.188066,91.527748,98.811934,96.809587,90.440337,0.000000,6.369250,-0.000000,3,3
"1378",83.261826,126.380408,74.508155,5.026511,1.627111,10.052399,8.785824,91.802025,81.161777,79.534666,74.508155,0.000000,5.026511,0.000000,4,4
"1380",95.048126,245.420408,93.874925,4.065993,0.662291,0.210581,1.186210,95.204737,98.603208,97.940918,93.874925,0.000000,4.065993,-0.000000,5,5
"1382",89.640366,221.648980,87.681353,9.244871,0.859032,0.238708,1.976036,89.667253,97.785256,96.926224,87.681353,0.000000,9.244871,-0.000000,4,6
"1383",55.817124,220.499592,54.269124,42.829912,1.326857,0.014260,1.559847,55.137040,98.425893,97.099036,54.269124,0.000000,42.829912,-0.000000,7,7
"1384",81.647564,175.438367,79.701961,12.653615,0.000000,5.678969,1.965456,86.299025,92.355576,92.355576,79.701961,0.000000,12.653615,0.000000,4,5
"1385",93.271525,164.989388,91.435002,5.264738,1.456701,0.000000,1.843560,93.152321,98.156440,96.699740,91.435002,0.000000,5.264738,0.000000,5,6
"1386",82.042537,196.675918,80.944561,16.789611,0.000000,1.154569,1.111259,82.821145,97.734172,97.734172,80.944561,0.000000,16.789611,0.000000,7,8
"1390",85.022108,235.075918,83.718259,14.234384,0.325962,0.408903,1.312492,85.184622,98.278606,97.952644,83.718259,0.000000,14.234384,-0.000000,5,5
"1391",81.871306,295.706122,79.020894,17.037781,0.000000,1.083060,2.858265,82.263152,96.058675,96.058675,79.020894,0.000000,17.037781,-0.000000,5,7
"1392",80.786219,239.777959,78.636384,18.893574,0.009684,0.297208,2.163150,80.619923,97.539642,97.529958,78.636384,0.000000,18.893574,-0.000000,6,6
"1394",87.546272,141.852177,82.766488,9.923995,0.000000,2.479587,4.829930,89.293405,92.690483,92.690483,82.766488,0.000000,9.923995,0.000000,4,8
"1396",0.878181,301.426939,0.000000,96.348299,0.400574,2.370057,0.881070,0.000000,96.748873,96.348299,0.000000,0.000000,96.348299,0.000000,3,5
"1397",69.479456,236.173061,66.972359,28.297338,2.202313,0.009832,2.518158,68.709324,97.472010,95.269697,66.972359,0.000000,28.297338,0.000000,8,10
"1398",84.760726,152.534308,80.481993,12.623199,1.810377,0.788885,4.295547,84.793248,94.915568,93.105191,80.481993,0.000000,12.623199,-0.000000,7,7
"1399",80.156873,169.038367,77.931560,16.498753,0.000000,3.332354,2.237332,82.528118,94.430313,94.430313,77.931560,0.000000,16.498753,0.000000,2,2
"1400",81.515866,190.275918,78.523017,12.029383,0.741363,5.695083,3.011154,86.011371,91.293763,90.552400,78.523017,0.000000,12.029383,0.000000,8,8
"1401",49.734401,306.580839,48.939147,39.359974,2.203989,8.691526,0.805364,54.074547,90.503110,88.299121,48.939147,0.000000,39.359974,-0.000000,3,5
"1402",80.294351,247.879728,69.773022,15.270687,2.714846,1.689305,10.552140,79.505664,87.758555,85.043709,69.773022,0.000000,15.270687,0.000000,7,8
"1403",83.186246,137.247347,79.870254,16.006467,0.304530,0.473150,3.345599,83.041396,96.181251,95.876721,79.870254,0.000000,16.006467,0.000000,5,6
"1404",68.242193,346.827755,67.258035,27.336278,2.490522,1.926822,0.988342,69.277591,97.084835,94.594313,67.258035,0.000000,27.336278,0.000000,5,5
"1406",94.499381,184.398367,92.257955,4.186392,0.000000,1.296913,2.258740,95.659267,96.444347,96.444347,92.257955,0.000000,4.186392,-0.000000,5,6
"1407",87.788732,152.476735,84.286172,11.272810,0.913711,0.000000,3.527307,87.367906,96.472693,95.558982,84.286172,0.000000,11.272810,-0.000000,7,7
"1408",76.308638,209.240816,73.234703,21.913029,1.764461,0.000000,3.087807,75.568100,96.912193,95.147732,73.234703,0.000000,21.913029,0.000000,8,7
"1411",90.359136,231.314286,88.582362,5.554263,0.000000,4.067779,1.795596,94.099786,94.136625,94.136625,88.582362,0.000000,5.554263,-0.000000,6,6
"1414",79.656285,119.405578,77.486618,18.830854,1.447343,0.019446,2.215738,79.258185,97.764816,96.317473,77.486618,0.000000,18.830854,-0.000000,7,10
"1415",97.184340,250.253061,95.746159,2.282141,0.528880,0.000000,1.442821,97.147828,98.557179,98.028300,95.746159,0.000000,2.282141,-0.000000,7,7
"1416",81.823295,570.801633,80.415783,15.965506,0.000000,2.205605,1.413106,83.435057,96.381289,96.381289,80.415783,0.000000,15.965506,0.000000,10,11
"1417",86.857428,210.496916,85.405169,12.351721,0.787037,0.000000,1.456073,86.667105,98.543927,97.756890,85.405169,0.000000,12.351721,-0.000000,9,11
"1420",74.614498,109.626825,74.127337,25.094264,0.000000,0.275352,0.503047,74.708870,99.221602,99.221602,74.127337,0.000000,25.094264,-0.000000,5,6
"1423",69.162328,245.733878,68.689866,30.441986,0.387418,0.000000,0.480729,69.021674,99.519271,99.131852,68.689866,0.000000,30.441986,-0.000000,8,8
"1425",73.317617,191.033469,72.308759,24.929625,0.656365,1.082718,1.022532,73.863777,97.894750,97.238384,72.308759,0.000000,24.929625,0.000000,12,11
"1426",80.675356,236.408163,79.035086,19.017707,0.294659,0.000000,1.652548,80.363125,98.347452,98.052793,79.035086,0.000000,19.017707,0.000000,8,8
"1428",79.824962,392.594286,79.434606,18.395180,0.000000,1.776161,0.394053,81.196749,97.829786,97.829786,79.434606,0.000000,18.395180,-0.000000,10,11
"1429",85.448986,194.168163,83.487762,12.456747,0.215256,1.865558,1.974677,86.821928,96.159765,95.944508,83.487762,0.000000,12.456747,0.000000,5,5
"1431",92.956597,155.689705,92.296292,5.898401,0.890777,0.209541,0.704990,93.148160,99.085470,98.194693,92.296292,0.000000,5.898401,-0.000000,8,9
"1433",55.387508,174.654694,53.792134,44.178451,0.292485,0.131585,1.605345,54.742981,98.263071,97.970586,53.792134,0.000000,44.178451,0.000000,2,4
"1434",95.450452,234.031020,93.267669,2.586283,1.954583,0.000000,2.191465,95.357393,97.808535,95.853952,93.267669,0.000000,2.586283,0.000000,3,4
"1435",65.677853,180.741224,62.710179,28.523591,0.000000,5.787316,2.978915,68.735710,91.233770,91.233770,62.710179,0.000000,28.523591,-0.000000,12,12
"1437",96.825759,228.780408,95.069904,2.628708,0.527771,0.000000,1.773617,96.786526,98.226383,97.698612,95.069904,0.000000,2.628708,-0.000000,1,4
"1438",78.093196,171.363265,76.042388,20.867305,0.794721,0.231228,2.064358,77.829020,97.704414,96.909694,76.042388,0.000000,20.867305,0.000000,6,6
"1439",98.038031,170.762449,95.604022,1.529672,0.000000,0.417000,2.449306,98.425189,97.133695,97.133695,95.604022,0.000000,1.529672,0.000000,4,4
"1440",79.920156,249.391020,77.936223,14.495035,0.595120,4.986197,1.987425,83.778627,93.026378,92.431258,77.936223,0.000000,14.495035,-0.000000,6,6
"1441",94.130119,153.208163,90.038047,4.382792,0.000000,1.470039,4.109122,95.358237,94.420839,94.420839,90.038047,0.000000,4.382792,-0.000000,4,4
"1443",89.812061,240.457143,88.355548,8.835036,0.049915,1.287297,1.472205,90.862911,97.240499,97.190584,88.355548,0.000000,8.835036,-0.000000,4,5
"1445",87.309415,248.568730,86.289088,11.773078,0.455624,0.443555,1.038654,87.587316,98.517791,98.062167,86.289088,0.000000,11.773078,0.000000,3,5
"1447",1.988453,184.502857,0.000000,94.545272,0.264288,3.190975,1.999465,0.000000,94.809560,94.545272,0.000000,0.000000,94.545272,0.000000,4,4
"1448",65.645073,196.503288,63.565356,30.971541,0.000000,3.375228,2.087875,67.238674,94.536897,94.536897,63.565356,0.000000,30.971541,0.000000,6,6
"1449",72.273606,210.834286,69.839652,27.048613,0.253307,0.414837,2.443591,71.894710,97.141572,96.888265,69.839652,0.000000,27.048613,0.000000,5,6
"1450",57.871474,219.102608,56.536157,37.104406,1.759227,3.244101,1.356109,59.262349,95.399791,93.640563,56.536157,0.000000,37.104406,0.000000,10,12
"1452",71.545940,255.895510,59.704372,12.800779,0.889252,14.759492,11.846105,81.347310,73.394403,72.505151,59.704372,0.000000,12.800779,-0.000000,4,4
"1453",70.560654,227.552653,67.927968,23.743846,0.030613,5.645754,2.651820,74.074341,91.702426,91.671813,67.927968,0.000000,23.743846,-0.000000,5,5
"1455",82.709096,272.998685,80.523178,14.693254,0.000000,2.580024,2.203544,84.568573,95.216432,95.216432,80.523178,0.000000,14.693254,0.000000,12,12
"1456",89.844185,143.203265,87.006616,9.063936,0.745875,0.325735,2.857838,89.867617,96.816428,96.070552,87.006616,0.000000,9.063936,-0.000000,4,4
"1457",80.153461,271.621224,76.947716,19.279541,0.000000,0.552038,3.220705,79.964574,96.227257,96.227257,76.947716,0.000000,19.279541,-0.000000,6,8
"1459",81.778563,203.781224,80.848605,17.383815,0.824803,0.000000,0.942777,81.618081,99.057223,98.232420,80.848605,0.000000,17.383815,-0.000000,5,7
"1460",88.437417,158.380408,86.839382,10.466479,0.366522,0.702093,1.625525,88.908840,97.672382,97.305860,86.839382,0.000000,10.466479,0.000000,3,3
"1461",65.633256,196.503288,63.553540,30.983358,0.000000,3.375228,2.087875,67.226175,94.536897,94.536897,63.553540,0.000000,30.983358,0.000000,6,6
"1462",93.435551,211.173878,92.237024,5.690295,0.857661,0.000000,1.215020,93.371506,98.784980,97.927319,92.237024,0.000000,5.690295,-0.000000,4,4
"1464",86.849135,143.301328,84.613040,12.249373,0.534718,0.346519,2.256349,86.874263,97.397132,96.862413,84.613040,0.000000,12.249373,-0.000000,3,3
"1465",70.459591,221.100408,68.558730,27.364404,0.000000,2.165503,1.911363,71.472571,95.923134,95.923134,68.558730,0.000000,27.364404,0.000000,12,12
"1466",75.641171,215.693061,74.069440,23.329482,0.010765,1.006471,1.583841,76.039090,97.409688,97.398922,74.069440,0.000000,23.329482,0.000000,6,6
"1467",77.763483,406.413061,77.287431,20.794969,0.758039,0.679224,0.480337,78.194140,98.840439,98.082400,77.287431,0.000000,20.794969,-0.000000,7,7
"1468",38.861019,240.640000,37.703109,59.908702,1.215805,0.000000,1.172384,38.150378,98.827616,97.611811,37.703109,0.000000,59.908702,0.000000,7,8
"1469",91.660273,231.575510,90.567336,7.164360,0.902425,0.261661,1.104218,91.821506,98.634121,97.731696,90.567336,0.000000,7.164360,0.000000,6,6
"1470",3.273193,178.782041,0.000000,96.642639,0.064686,0.000000,3.292675,0.000000,96.707325,96.642639,0.000000,0.000000,96.642639,0.000000,5,4
"1471",88.360868,221.701224,86.674629,10.261682,0.000000,1.368286,1.695403,89.413996,96.936310,96.936310,86.674629,0.000000,10.261682,0.000000,6,8
"1472",62.366977,130.533878,58.773710,37.372866,0.231250,0.000000,3.622173,60.982606,96.377827,96.146577,58.773710,0.000000,37.372866,0.000000,3,5
"1473",60.532909,388.466939,56.784179,22.255768,12.934001,4.272092,3.753960,61.739417,91.973948,79.039948,56.784179,0.000000,22.255768,0.000000,8,9
"1475",68.703946,174.132245,66.708219,30.514837,0.764548,0.000000,2.012396,68.078222,97.987604,97.223056,66.708219,0.000000,30.514837,-0.000000,6,7
"1476",77.413253,257.384490,73.534006,13.375337,9.156828,0.039922,3.893907,76.545162,96.066171,86.909343,73.534006,0.000000,13.375337,0.000000,5,7
"1477",89.481740,263.888980,87.088375,9.366943,0.985503,0.150415,2.408764,89.375658,97.440821,96.455318,87.088375,0.000000,9.366943,0.000000,5,5
"1478",90.435448,173.871020,90.288547,8.683141,0.881410,0.000000,0.146902,90.421377,99.853098,98.971688,90.288547,0.000000,8.683141,0.000000,8,8
"1480",86.845238,170.277710,84.963399,8.376195,3.027308,1.734227,1.898872,88.166577,96.366901,93.339594,84.963399,0.000000,8.376195,-0.000000,6,6
"1482",86.409111,254.667755,85.202668,13.000859,0.352691,0.231640,1.212142,86.450829,98.556218,98.203527,85.202668,0.000000,13.000859,0.000000,5,5
"1483",85.504878,168.150204,83.281620,13.202249,1.270433,0.000000,2.245698,85.194839,97.754302,96.483869,83.281620,0.000000,13.202249,-0.000000,6,6
"1484",88.515304,174.106122,81.118717,4.169271,7.300421,0.000000,7.411590,87.612172,92.588410,85.287989,81.118717,0.000000,4.169271,-0.000000,8,9
"1488",87.052569,155.324082,84.152394,12.420466,0.508278,0.000000,2.918862,86.682538,97.081138,96.572859,84.152394,0.000000,12.420466,-0.000000,5,8
"1489",81.696401,192.976395,79.682173,15.856165,2.413746,0.000000,2.047917,81.348115,97.952083,95.538338,79.682173,0.000000,15.856165,-0.000000,6,9
"1490",93.159070,105.038367,90.550543,6.230247,0.000000,0.574760,2.644450,93.562517,96.780790,96.780790,90.550543,0.000000,6.230247,-0.000000,4,4
