MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",89.352066,172.863864,86.974512,8.426660,0.000000,2.199446,2.399382,91.510808,92.562201,-nan,0.000000,79.961848,2.838971,-nan,0.000000,-nan,0.000000,86.974512,5.227181,1.908067,0.700382,0.000000,86.974512,4.970225,1.860610,1.595825,4,8
"1302",19.214066,152.328747,16.576972,80.500554,0.000000,0.252988,2.669486,-nan,0.000000,-nan,0.000000,31.032553,53.418009,-nan,0.000000,0.000000,43.659517,16.576972,52.878842,16.951792,8.111834,0.673326,16.576972,61.549766,0.348866,18.601922,6,15
"1305",77.841090,280.118277,77.737724,20.922025,1.173192,0.049736,0.117322,11.276273,4.221087,-nan,0.000000,83.899067,92.088918,-nan,0.000000,0.000000,3.522937,77.737724,4.517801,2.339035,13.244689,0.820501,77.737724,5.130397,0.721173,15.070456,3,12
"1306",71.723079,144.247435,70.576335,25.475801,2.780999,0.000000,1.166866,70.643553,96.028979,-nan,0.000000,-nan,0.000000,97.642686,2.804154,-nan,0.000000,70.576335,11.849179,6.057119,6.281283,1.288219,70.576335,4.288852,10.934792,10.252156,9,17
"1309",40.836206,211.202647,38.681351,56.112127,1.220352,1.813450,2.172721,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,40.287270,96.013829,38.681351,25.787275,18.476581,8.101121,3.747149,38.681351,17.526864,10.835863,27.749400,3,15
"1310",59.566572,113.025541,55.259173,37.248960,3.108981,0.031810,4.351075,58.200992,51.256845,-nan,0.000000,65.924494,24.056760,83.351368,11.478976,0.000000,8.824533,55.259173,23.338929,5.785345,8.089431,0.000000,55.259173,7.853311,2.095850,27.299799,10,12
"1311",40.992931,323.683265,40.364170,58.912186,0.052738,0.035868,0.635038,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.830856,49.936586,0.000000,49.392508,40.364170,51.696376,4.733723,1.205176,0.000000,40.364170,52.019191,2.972644,3.920352,3,11
"1312",51.832627,147.644082,41.216916,42.072999,0.000000,6.070783,10.639302,57.766569,71.350811,-nan,0.000000,0.000000,7.418188,-nan,0.000000,0.000000,4.520916,41.216916,16.846133,19.277833,3.920253,0.000000,41.216916,12.060367,20.501243,9.511389,7,9
"1313",71.411393,167.444898,69.071836,9.897465,2.195025,16.478784,2.356891,85.219224,57.710728,-nan,0.000000,-nan,0.000000,84.810876,23.453598,-nan,0.000000,69.071836,2.380992,0.053207,7.389183,0.074083,69.071836,1.829630,5.000928,3.066907,4,6
"1318",43.672581,189.092744,43.205953,46.982973,0.159636,9.163849,0.487589,62.277633,67.982159,-nan,0.000000,6.189136,14.028995,-nan,0.000000,0.000000,8.337407,43.205953,29.040724,11.538864,6.395531,0.007855,43.205953,33.480006,5.236001,8.266965,7,15
