MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",89.755662,172.863864,86.316945,9.084228,0.000000,1.138282,3.460545,90.712694,92.562201,-nan,0.000000,82.821509,2.838971,-nan,0.000000,-nan,0.000000,86.316945,6.481548,2.177329,0.425350,0.000000,86.316945,6.224607,1.323912,1.535709,4,6
"1302",14.035637,152.328747,11.339305,84.959044,0.779177,0.209000,2.713474,-nan,0.000000,-nan,0.000000,21.227494,53.418009,-nan,0.000000,0.000000,43.659517,11.339305,66.754276,10.242953,6.924934,1.036880,11.339305,71.965638,0.497474,12.495932,6,10
"1305",10.861996,280.118277,10.758628,85.464073,3.610242,0.058025,0.109032,67.074045,4.221087,-nan,0.000000,8.608391,92.088918,-nan,0.000000,0.000000,3.522937,10.758628,36.360118,46.514761,2.302706,0.286488,10.758628,36.360118,0.331574,48.772381,3,9
"1306",73.375308,144.247435,72.208442,22.732998,3.891694,0.000000,1.166866,72.460467,96.028979,-nan,0.000000,-nan,0.000000,93.625184,2.804154,-nan,0.000000,72.208442,3.756451,8.301519,10.486131,0.188897,72.208442,2.057654,15.914741,4.760603,9,15
"1309",53.444658,211.202647,49.458488,38.067252,8.488089,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.511837,96.013829,49.458488,10.297838,16.082109,9.888009,1.799296,49.458488,9.525869,9.991841,18.549542,3,14
"1310",60.244982,113.025541,56.980353,38.139225,0.497536,1.118257,3.264628,69.739399,51.256845,-nan,0.000000,47.375893,24.056760,71.378406,11.478976,18.624467,8.824533,56.980353,20.487961,3.362521,14.288743,0.000000,56.980353,9.947137,3.600015,24.592073,10,15
"1311",70.399559,323.683265,69.807564,27.158858,2.362672,0.078910,0.591996,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.196123,49.936586,82.495116,49.392508,69.807564,22.202704,3.980540,0.975614,0.000000,69.807564,19.153958,1.872413,6.132487,3,8
"1312",54.061674,147.644082,41.692413,41.597502,0.000000,4.340824,12.369261,58.432991,71.350811,-nan,0.000000,0.000000,7.418188,-nan,0.000000,0.000000,4.520916,41.692413,22.693607,14.114625,4.789270,0.000000,41.692413,10.919683,17.775828,12.901992,7,6
"1313",61.366395,167.444898,58.881679,20.284815,1.997832,16.350958,2.484716,79.134820,57.710728,-nan,0.000000,-nan,0.000000,56.334208,23.453598,-nan,0.000000,58.881679,6.208651,4.008940,7.498812,0.283688,58.881679,8.011328,4.711452,7.562035,4,8
"1318",45.171120,189.092744,43.058982,44.006051,3.283528,7.518364,2.133075,57.196034,67.982159,-nan,0.000000,0.000000,14.028995,-nan,0.000000,50.086110,8.337407,43.058982,22.392681,6.276581,15.336790,0.000000,43.058982,17.359783,19.627119,7.019149,7,11
