MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1301",77.145929,172.863864,73.707212,21.693960,0.000000,1.138282,3.460545,-nan,0.000000,0.000000,0.658188,0.000000,1.633335,79.046635,90.270678,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.316959,-nan,0.000000,-nan,0.000000,93.230282,2.522012,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.316945,6.481548,2.177329,0.425350,0.000000,73.707212,18.834340,1.075036,1.784584,7,9
"1302",9.855900,152.328747,7.159568,89.138781,0.779177,0.209000,2.713474,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.432032,-nan,0.000000,-nan,0.000000,13.512193,52.985976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,43.659517,11.339305,66.754276,10.242953,6.924934,1.036880,7.159568,76.145375,0.323372,12.670034,7,12
"1305",10.861996,280.118277,10.758628,85.464073,3.610242,0.058025,0.109032,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.074045,4.221087,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,8.608391,92.088918,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.522937,10.758628,36.360118,46.514761,2.302706,0.286488,10.758628,36.360118,0.331574,48.772381,3,11
"1306",60.192286,144.247435,59.025420,35.916021,3.891694,0.000000,1.166866,-nan,0.000000,0.000000,0.413980,-nan,0.000000,58.986587,95.614999,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.625184,2.804154,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.208442,3.756451,8.301519,10.486131,0.188897,59.025420,15.240676,13.116183,7.559161,10,18
"1309",52.967756,211.202647,48.981586,38.544154,8.488089,0.000000,3.986171,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,51.015136,96.013829,49.458488,10.297838,16.082109,9.888009,1.799296,48.981586,10.002771,9.984990,18.556393,3,20
"1310",45.986936,113.025541,42.722308,52.397270,0.497536,1.118257,3.264628,-nan,0.000000,0.000000,0.882716,0.000000,0.882716,51.842200,49.491413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.608899,3.562456,-nan,0.000000,43.900569,20.494304,-nan,0.000000,-nan,0.000000,0.000000,0.879552,44.944048,10.599424,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.624467,8.824533,56.980353,20.487961,3.362521,14.288743,0.000000,42.722308,24.205183,2.052934,26.139154,13,21
"1311",70.399559,323.683265,69.807564,27.158858,2.362672,0.078910,0.591996,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.196123,49.936586,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.495116,49.392508,69.807564,22.202704,3.980540,0.975614,0.000000,69.807564,19.153958,1.872413,6.132487,3,9
"1312",53.739392,147.644082,41.370131,41.919784,0.000000,4.340824,12.369261,-nan,0.000000,44.489578,4.476663,-nan,0.000000,58.884463,66.874149,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,7.418188,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,4.520916,41.692413,22.693607,14.114625,4.789270,0.000000,41.370131,11.241965,15.172779,15.505040,8,8
"1313",59.719047,167.444898,57.234331,21.932163,1.997832,16.350958,2.484716,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.280328,57.710728,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.334208,23.453598,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.881679,6.208651,4.008940,7.498812,0.283688,57.234331,9.658676,4.639249,7.634238,4,9
"1318",43.776807,189.092744,41.664669,45.400365,3.283528,7.518364,2.133075,-nan,0.000000,0.000000,1.316442,-nan,0.000000,56.233980,66.665718,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,14.028995,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.086110,8.337407,43.058982,22.392681,6.276581,15.336790,0.000000,41.664669,18.754096,18.749433,7.896835,9,14
