Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1301",174.001633,49,49,0.938862,0.945783,0.938862,0.952807
"1302",158.850612,68,42,0.732976,0.820203,0.732976,0.930994
"1305",289.986667,20,81,0.285376,0.442513,0.984751,0.285376
"1306",154.697143,66,75,0.859661,0.865946,0.872324,0.859661
"1309",258.638367,186,185,0.755752,0.763944,0.755752,0.772315
"1310",132.054807,97,74,0.768627,0.832863,0.768627,0.908815
"1311",323.683265,11,29,0.610720,0.733974,0.919558,0.610720
"1312",147.644082,102,38,0.530192,0.652999,0.530192,0.849847
"1313",167.444898,58,50,0.828166,0.865927,0.828166,0.907297
"1318",228.988390,149,129,0.758693,0.819152,0.758693,0.890081
"1319",223.869388,126,98,0.712279,0.772867,0.712279,0.844719
"1321",168.751020,88,84,0.867561,0.885881,0.867561,0.904992
"1322",208.796735,90,22,0.271588,0.425020,0.271588,0.976930
"1324",237.533605,85,55,0.892003,0.926004,0.892003,0.962700
"1327",171.937959,34,73,0.491966,0.629685,0.874485,0.491966
"1329",216.737959,88,44,0.747156,0.830216,0.747156,0.934054
"1330",198.542154,53,59,0.842785,0.849553,0.856431,0.842785
"1331",128.040249,41,56,0.856265,0.898345,0.944774,0.856265
"1332",256.600816,74,64,0.860958,0.867199,0.860958,0.873532
"1333",142.106122,50,49,0.954266,0.955265,0.956266,0.954266
"1334",260.702041,71,84,0.720376,0.810786,0.927146,0.720376
"1335",224.574694,173,140,0.737587,0.801148,0.737587,0.876697
"1336",182.987755,103,100,0.891405,0.896420,0.891405,0.901492
"1337",186.174694,108,114,0.825114,0.825395,0.825114,0.825676
"1339",243.304626,118,124,0.922653,0.927445,0.932287,0.922653
"1340",261.520136,168,158,0.827724,0.865738,0.827724,0.907412
"1342",188.081633,75,75,0.885196,0.889057,0.885196,0.892952
"1344",177.449796,74,83,0.843114,0.852547,0.862193,0.843114
"1345",150.204082,74,49,0.749407,0.826903,0.749407,0.922276
"1346",261.982041,128,119,0.835650,0.852754,0.835650,0.870573
"1347",121.736372,77,59,0.823108,0.875572,0.823108,0.935180
"1350",240.039184,117,89,0.802197,0.852044,0.802197,0.908496
"1353",163.160816,74,65,0.819416,0.870399,0.819416,0.928149
"1354",200.635578,130,120,0.867863,0.889349,0.867863,0.911926
"1355",241.136327,105,103,0.931713,0.932392,0.933072,0.931713
"1357",147.382857,103,56,0.709384,0.802338,0.709384,0.923326
"1358",154.321610,165,33,0.439039,0.591747,0.439039,0.907343
"1359",166.373878,55,61,0.816294,0.852636,0.892364,0.816294
"1360",209.240816,132,124,0.847071,0.861343,0.847071,0.876104
"1361",179.435102,65,74,0.825683,0.862865,0.903553,0.825683
"1362",190.145306,132,125,0.859086,0.874516,0.859086,0.890510
"1364",342.360816,123,104,0.821947,0.872767,0.821947,0.930285
"1366",255.764898,202,61,0.375240,0.540130,0.375240,0.963530
"1367",266.866939,92,105,0.828527,0.862713,0.899841,0.828527
"1368",246.364354,86,116,0.607504,0.717005,0.874660,0.607504
"1369",129.697959,28,30,0.924795,0.927503,0.930226,0.924795
"1370",224.966531,126,107,0.843648,0.871050,0.843648,0.900292
"1371",246.831020,42,53,0.751882,0.800483,0.855802,0.751882
"1372",207.229388,142,127,0.750045,0.790794,0.750045,0.836224
"1373",206.080000,194,82,0.597853,0.698938,0.597853,0.841159
"1376",231.209796,67,71,0.915197,0.920871,0.926615,0.915197
"1377",141.440612,48,40,0.729208,0.808391,0.729208,0.906864
"1378",126.380408,56,58,0.873308,0.884772,0.896541,0.873308
"1380",245.420408,91,86,0.941027,0.947615,0.941027,0.954297
"1382",221.648980,54,63,0.896086,0.907668,0.919552,0.896086
"1383",220.499592,249,131,0.576117,0.686879,0.576117,0.850366
"1384",175.438367,76,75,0.890912,0.903381,0.916204,0.890912
"1385",164.989388,41,44,0.926302,0.934150,0.942133,0.926302
"1386",196.675918,114,112,0.847751,0.855645,0.847751,0.863689
"1390",235.075918,104,30,0.555131,0.688499,0.555131,0.906213
"1391",295.706122,79,112,0.770755,0.841113,0.925607,0.770755
"1392",239.777959,67,104,0.800681,0.859339,0.927271,0.800681
"1394",141.852177,38,51,0.864527,0.901218,0.941161,0.864527
"1396",301.426939,72,70,0.802468,0.849677,0.802468,0.902789
"1397",236.173061,105,108,0.865722,0.865794,0.865722,0.865865
"1398",152.534308,97,95,0.868775,0.879493,0.868775,0.890478
"1399",169.038367,115,11,0.317066,0.479532,0.317066,0.983461
"1400",190.275918,81,88,0.882151,0.905857,0.930872,0.882151
"1401",306.580839,250,167,0.651640,0.751921,0.651640,0.888679
"1402",247.879728,209,139,0.657350,0.752879,0.657350,0.880896
