Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"1301",174.001633,49,44,0.919333,0.934249,0.919333,0.949656
"1302",158.850612,68,57,0.875431,0.902088,0.875431,0.930420
"1305",289.986667,20,82,0.261866,0.412800,0.974450,0.261866
"1306",154.697143,66,68,0.873693,0.879059,0.873693,0.884491
"1309",258.638367,186,183,0.796036,0.831566,0.796036,0.870417
"1310",132.054807,97,58,0.690960,0.781615,0.690960,0.899652
"1311",323.683265,11,38,0.465688,0.618889,0.922307,0.465688
"1312",147.644082,102,45,0.598090,0.718642,0.598090,0.900061
"1313",167.444898,58,58,0.854068,0.865186,0.854068,0.876598
"1318",228.988390,149,132,0.797943,0.848380,0.797943,0.905624
"1319",223.869388,126,107,0.741368,0.759858,0.741368,0.779294
"1321",168.751020,88,64,0.718997,0.793936,0.718997,0.886313
"1322",208.796735,90,46,0.486008,0.623651,0.486008,0.870065
"1324",237.533605,85,35,0.870885,0.923690,0.870885,0.983312
"1327",171.937959,34,60,0.538622,0.657750,0.844538,0.538622
"1329",216.737959,88,32,0.719465,0.829721,0.719465,0.979886
"1330",198.542154,53,55,0.889636,0.890381,0.889636,0.891127
"1331",128.040249,41,43,0.936615,0.939623,0.942650,0.936615
"1332",256.600816,74,80,0.760265,0.833853,0.923213,0.760265
"1333",142.106122,50,49,0.929273,0.931603,0.929273,0.933945
"1334",260.702041,71,67,0.852065,0.889453,0.852065,0.930272
"1335",224.574694,173,85,0.645032,0.772856,0.645032,0.963863
"1336",182.987755,103,100,0.905923,0.914462,0.905923,0.923163
"1337",186.174694,108,100,0.816715,0.845208,0.816715,0.875760
"1339",243.304626,118,117,0.943301,0.947012,0.943301,0.950753
"1340",261.520136,168,168,0.880060,0.898595,0.880060,0.917928
"1342",188.081633,75,83,0.871451,0.899855,0.930172,0.871451
"1344",177.449796,74,70,0.819386,0.863354,0.819386,0.912308
"1345",150.204082,74,54,0.741085,0.820592,0.741085,0.919209
"1346",261.982041,128,114,0.847381,0.870852,0.847381,0.895660
"1347",121.736372,77,58,0.860774,0.903158,0.860774,0.949933
"1350",240.039184,117,89,0.819305,0.870896,0.819305,0.929419
"1353",163.160816,74,61,0.753224,0.821355,0.753224,0.903037
"1354",200.635578,130,115,0.854565,0.881414,0.854565,0.910005
"1355",241.136327,105,117,0.826299,0.858445,0.893193,0.826299
"1357",147.382857,103,51,0.685640,0.788377,0.685640,0.927328
"1358",154.321610,165,23,0.393055,0.555740,0.393055,0.948197
"1359",166.373878,55,47,0.805198,0.855437,0.805198,0.912362
"1360",209.240816,132,122,0.893404,0.905222,0.893404,0.917357
"1361",179.435102,65,61,0.827562,0.860582,0.827562,0.896346
"1362",190.145306,132,122,0.824065,0.849429,0.824065,0.876403
"1364",342.360816,123,100,0.822261,0.890842,0.822261,0.971905
"1366",255.764898,202,50,0.352817,0.518386,0.352817,0.976751
"1367",266.866939,92,67,0.605193,0.702005,0.605193,0.835689
"1368",246.364354,86,151,0.532026,0.661093,0.872839,0.532026
"1369",129.697959,28,27,0.932208,0.939160,0.932208,0.946216
"1370",224.966531,126,95,0.821590,0.874212,0.821590,0.934037
"1371",246.831020,42,46,0.795437,0.805717,0.816266,0.795437
"1372",207.229388,142,95,0.760290,0.847540,0.760290,0.957412
"1373",206.080000,194,77,0.622037,0.732127,0.622037,0.889566
"1376",231.209796,67,65,0.935843,0.946388,0.935843,0.957173
"1377",141.440612,48,35,0.693193,0.808948,0.693193,0.971110
"1378",126.380408,56,57,0.806669,0.847407,0.892480,0.806669
"1380",245.420408,91,88,0.967842,0.969545,0.967842,0.971254
"1382",221.648980,54,56,0.954337,0.954615,0.954892,0.954337
"1383",220.499592,249,119,0.472253,0.620691,0.472253,0.905220
"1384",175.438367,76,73,0.932768,0.938701,0.932768,0.944711
"1385",164.989388,41,37,0.947302,0.953282,0.947302,0.959339
"1386",196.675918,114,101,0.832841,0.877318,0.832841,0.926814
"1390",235.075918,104,29,0.564051,0.702800,0.564051,0.932079
"1391",295.706122,79,80,0.894238,0.898559,0.902922,0.894238
"1392",239.777959,67,96,0.815048,0.873931,0.941984,0.815048
"1394",141.852177,38,39,0.919426,0.924047,0.928715,0.919426
"1396",301.426939,72,65,0.694815,0.744586,0.694815,0.802037
"1397",236.173061,105,90,0.857148,0.900519,0.857148,0.948512
"1398",152.534308,97,73,0.835684,0.897075,0.835684,0.968202
"1399",169.038367,115,29,0.430563,0.595732,0.430563,0.966486
"1400",190.275918,81,83,0.897896,0.904877,0.911966,0.897896
"1401",306.580839,250,169,0.617225,0.708098,0.617225,0.830349
"1402",247.879728,209,111,0.601473,0.726930,0.601473,0.918517
"1403",137.247347,45,25,0.584474,0.681780,0.584474,0.817959
"1404",346.827755,320,206,0.628698,0.756996,0.628698,0.951083
"1406",184.398367,88,65,0.806825,0.880009,0.806825,0.967794
"1407",152.476735,91,30,0.586251,0.731261,0.586251,0.971586
"1408",209.240816,132,122,0.893404,0.905222,0.893404,0.917357
"1411",231.314286,108,84,0.916465,0.938803,0.916465,0.962258
"1414",119.405578,64,57,0.854487,0.886280,0.854487,0.920529
"1415",250.253061,64,53,0.917475,0.950098,0.917475,0.985126
"1416",570.801633,352,258,0.821212,0.862483,0.821212,0.908123
"1417",210.496916,132,91,0.709835,0.813878,0.709835,0.953660
"1420",123.872653,95,81,0.829986,0.852341,0.829986,0.875932
"1423",245.733878,201,178,0.851315,0.876751,0.851315,0.903755
"1425",191.033469,142,78,0.615305,0.725898,0.615305,0.884957
"1426",236.408163,127,116,0.856179,0.892591,0.856179,0.932238
"1428",392.594286,210,187,0.815598,0.859363,0.815598,0.908091
"1429",194.168163,103,69,0.753253,0.840977,0.753253,0.951826
"1431",155.689705,54,45,0.799112,0.869225,0.799112,0.952826
"1433",174.654694,95,16,0.168937,0.287391,0.168937,0.961749
"1434",234.031020,13,27,0.796344,0.872042,0.963643,0.796344
"1435",180.741224,106,93,0.774908,0.814337,0.774908,0.857993
"1437",228.780408,3,24,0.348891,0.516826,0.996462,0.348891
"1438",171.363265,106,37,0.302013,0.456682,0.302013,0.936062
"1439",170.762449,35,44,0.744665,0.842017,0.968651,0.744665
"1440",249.391020,134,63,0.542423,0.674583,0.542423,0.891892
"1441",153.208163,58,56,0.945064,0.953326,0.945064,0.961733
"1443",240.457143,146,117,0.775282,0.853877,0.775282,0.950205
"1445",248.568730,81,51,0.855373,0.916403,0.855373,0.986810
"1447",184.502857,38,3,0.231714,0.375175,0.231714,0.985039
"1448",196.503288,223,117,0.651432,0.753034,0.651432,0.892184
"1449",210.834286,98,106,0.863631,0.885441,0.908381,0.863631
"1450",219.102608,82,71,0.792518,0.818925,0.792518,0.847153
"1452",255.895510,87,61,0.785666,0.819321,0.855988,0.785666
"1453",227.552653,112,54,0.605202,0.731553,0.605202,0.924583
"1455",272.998685,183,123,0.749474,0.816349,0.749474,0.896328
"1456",143.203265,58,49,0.837096,0.898117,0.837096,0.968734
"1457",271.621224,179,91,0.602195,0.719171,0.602195,0.892548
"1459",203.781224,112,108,0.836077,0.865745,0.836077,0.897597
"1460",158.380408,94,31,0.402377,0.572827,0.402377,0.993814
"1461",196.503288,223,117,0.651432,0.753034,0.651432,0.892184
"1462",211.173878,71,69,0.951775,0.961043,0.951775,0.970493
"1464",148.845714,37,34,0.884740,0.910822,0.884740,0.938489
"1465",221.100408,111,104,0.880862,0.890758,0.880862,0.900878
"1466",215.693061,137,152,0.882562,0.900374,0.918920,0.882562
"1467",406.413061,124,92,0.640090,0.759140,0.640090,0.932592
"1468",240.640000,131,121,0.770266,0.813114,0.770266,0.861009
"1469",231.575510,112,92,0.860411,0.903420,0.860411,0.950956
"1470",178.782041,124,45,0.443000,0.591324,0.443000,0.888965
"1471",221.701224,140,133,0.869395,0.892306,0.869395,0.916456
"1472",130.533878,25,29,0.901216,0.930040,0.960769,0.901216
"1473",388.466939,169,108,0.659052,0.761572,0.659052,0.901865
"1475",174.132245,78,74,0.862260,0.886994,0.862260,0.913189
"1476",257.384490,93,112,0.817476,0.854750,0.895585,0.817476
"1477",263.888980,106,100,0.953785,0.958633,0.953785,0.963532
"1478",173.871020,85,82,0.925804,0.933182,0.925804,0.940678
"1480",170.277710,113,112,0.943858,0.946618,0.943858,0.949395
"1482",254.667755,118,131,0.882228,0.908400,0.936173,0.882228
"1483",168.150204,75,63,0.898146,0.929101,0.898146,0.962265
"1484",174.106122,35,61,0.571759,0.690377,0.871095,0.571759
"1488",155.324082,54,51,0.900922,0.926853,0.900922,0.954322
"1489",192.976395,81,84,0.875702,0.878447,0.875702,0.881209
"1490",105.038367,35,34,0.833022,0.859271,0.833022,0.887229
"1491",160.862041,78,56,0.742101,0.811308,0.742101,0.894751
"1493",187.420907,151,94,0.652312,0.760981,0.652312,0.913095
"1494",213.211429,69,100,0.806888,0.859542,0.919547,0.806888
"1496",192.470204,53,70,0.877514,0.918907,0.964399,0.877514
"1497",215.745306,116,102,0.881118,0.905981,0.881118,0.932288
"1498",193.645714,139,116,0.787749,0.843942,0.787749,0.908769
"1499",379.663673,68,62,0.742306,0.757616,0.742306,0.773570
"1500",225.378277,113,117,0.857805,0.907866,0.964132,0.857805
"1501",187.794286,132,13,0.465524,0.589290,0.465524,0.802699
"1502",206.414853,144,134,0.949314,0.963985,0.949314,0.979117
"1503",235.493878,151,92,0.764365,0.851333,0.764365,0.960631
"1504",145.162449,52,52,0.958473,0.958473,0.958473,0.958473
"1505",163.213061,106,72,0.812611,0.874160,0.812611,0.945796
"1506",180.610612,110,61,0.568095,0.707804,0.568095,0.938638
"1507",241.371429,90,85,0.788328,0.825179,0.788328,0.865645
"1508",156.604082,42,43,0.909228,0.918300,0.909228,0.927554
"1509",207.229388,72,42,0.644523,0.736747,0.644523,0.859772
"1510",172.120816,87,84,0.892684,0.903201,0.892684,0.913968
"1511",430.088707,419,267,0.763074,0.843499,0.763074,0.942875
"1512",107.546122,27,30,0.890577,0.899987,0.909599,0.890577
"1514",244.297143,120,101,0.764509,0.825466,0.764509,0.896986
"1515",176.404898,79,24,0.244018,0.386237,0.244018,0.925836
"1516",267.232676,243,183,0.817643,0.875923,0.817643,0.943150
"1517",313.626122,273,81,0.329085,0.490532,0.329085,0.962943
"1518",250.331429,212,121,0.646632,0.763210,0.646632,0.931067
"1519",146.050612,35,37,0.738759,0.793945,0.738759,0.858043
"1522",179.069388,80,78,0.961393,0.964839,0.961393,0.968310
"1523",142.239864,67,3,0.064265,0.120751,0.064265,0.997649
"1524",236.773878,117,88,0.786040,0.860548,0.786040,0.950659
"1525",236.878367,259,109,0.517667,0.669568,0.517667,0.947636
