MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",84.740254,175.804082,83.244464,12.927880,0.000000,2.331866,1.495790,88.819649,92.771320,24.854369,3.401023,83.244464,4.305750,5.802227,0.997219,83.244464,2.000953,6.224892,4.702035,4,14
"Beatles/01_-_Please_Please_Me/02_-_Misery",88.963352,110.184490,88.641978,7.331127,0.000000,3.705521,0.321374,92.490101,75.368789,91.890015,20.604316,88.641978,2.873862,2.360490,2.096776,88.641978,0.790304,4.067640,2.473183,4,6
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",71.653302,177.580408,71.081238,26.802316,0.000000,1.544383,0.572064,86.307371,69.493225,39.110018,28.390328,71.081238,11.832510,4.635981,2.514532,71.081238,5.367471,2.901321,18.533523,7,18
"Beatles/01_-_Please_Please_Me/04_-_Chains",74.656129,146.494694,74.133067,20.964921,0.000000,4.378950,0.523062,78.382788,94.578247,0.000000,0.519740,74.133067,6.335737,11.991187,1.369967,74.133067,1.675001,4.119297,15.170623,4,10
"Beatles/01_-_Please_Please_Me/05_-_Boys",74.672621,147.513469,73.714394,22.832676,0.000000,2.494703,0.958227,76.350731,96.547070,-nan,0.000000,73.714394,3.888500,9.268000,8.952095,73.714394,3.440974,13.702951,5.688751,3,12
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",83.688405,140.576508,83.422058,13.287850,0.000000,3.023745,0.266347,79.924167,60.457631,96.826470,36.252276,83.422058,6.690339,4.401042,2.174477,83.422058,3.149304,4.394611,5.743934,9,12
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",85.979250,123.376327,85.426400,10.989133,0.000000,3.031617,0.552850,89.540141,88.106312,78.658210,8.309221,85.426400,2.604841,7.171052,1.213240,85.426400,2.029200,8.267963,0.691970,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.257885,142.759184,73.995610,22.806451,0.000000,2.935663,0.262275,76.440118,96.802061,-nan,0.000000,73.995610,1.179221,20.160355,1.466876,73.995610,1.179221,20.464274,1.162956,3,6
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",90.755405,125.753469,90.464587,5.989684,0.000000,3.254911,0.290818,94.214545,85.200057,90.577104,11.254214,90.464587,1.866606,1.908949,1.992552,90.464587,0.480081,3.228358,2.281245,8,10
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",81.480766,158.066939,81.019868,14.986355,0.000000,3.532880,0.460897,86.175729,62.214002,81.102981,33.792221,81.019868,8.759732,4.087245,2.139378,81.019868,6.604435,5.866030,2.515889,5,11
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",73.739087,119.353469,73.425379,22.731474,0.000000,3.529439,0.313708,76.633871,45.786020,76.111068,50.370833,73.425379,9.435052,9.167059,3.623539,73.425379,2.266923,9.918385,10.546167,13,19
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",75.680684,125.152653,75.386150,20.391530,0.000000,3.927786,0.294534,84.577075,39.992892,74.502984,55.784789,75.386150,10.806279,6.625417,2.180595,75.386150,9.420317,4.224022,6.747191,6,13
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",74.817650,112.875102,74.111611,20.744596,0.057673,4.380080,0.706039,84.638796,74.661011,53.915472,20.252870,74.111611,5.882138,7.014236,4.474517,74.111611,2.888836,8.506627,9.349134,8,10
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",85.204995,153.155918,84.752061,12.252741,1.485777,1.056487,0.452934,86.050932,98.490579,-nan,0.000000,84.752061,3.988476,4.149561,4.114704,84.752061,3.988476,7.674122,0.590143,3,7
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",69.694375,125.498415,68.580938,27.150884,0.477752,2.676990,1.113437,81.670064,73.363138,37.928090,22.846436,68.580938,15.719029,7.515364,1.369308,68.580938,15.250647,6.790791,5.109445,11,15
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",72.258874,121.392510,71.608522,24.482477,0.000000,3.258649,0.650352,85.403579,47.438695,63.911009,48.652304,71.608522,12.489353,8.100632,1.138061,71.608522,9.315371,4.743670,10.423437,5,11
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",86.517664,123.367620,85.866140,10.428184,0.327208,2.726945,0.651524,88.808908,66.142463,88.997932,30.479068,85.866140,2.718257,3.542314,1.671644,85.866140,2.375374,3.275318,4.777493,6,13
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",69.827312,149.394286,69.580571,26.571285,0.000000,3.601403,0.246741,67.221070,50.735422,78.111983,45.416434,69.580571,10.789100,9.783699,5.314606,69.580571,8.792111,9.670784,8.108390,8,11
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",86.325498,108.016327,85.984237,10.222700,0.000000,3.451802,0.341261,89.374259,96.206937,-nan,0.000000,85.984237,2.003454,4.218663,1.979892,85.984237,3.854743,6.138326,0.229632,5,10
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",70.093076,124.908843,69.807262,25.984941,0.000000,3.921983,0.285814,76.188594,62.851572,66.548612,32.940631,69.807262,8.177146,10.583523,2.021131,69.807262,7.535807,5.916914,12.532220,12,21
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",81.782700,156.734694,81.159928,15.025361,0.117970,3.073969,0.622771,86.146161,68.950351,79.559540,27.352909,81.159928,8.866798,0.624320,4.882392,81.159928,2.169255,4.968068,7.888038,5,10
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",59.731406,167.627755,59.286876,37.540946,0.402179,2.325469,0.444531,60.975908,97.230000,-nan,0.000000,59.286876,10.312130,24.300563,0.296356,59.286876,8.874243,14.297132,14.369571,3,9
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",77.779350,152.581224,77.290983,19.655514,0.441839,2.123297,0.488367,80.433628,85.746493,71.483251,11.641843,77.290983,3.779057,9.743256,1.902571,77.290983,2.683354,8.237283,8.734877,7,20
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",79.770198,182.143129,79.575788,17.232693,0.000000,2.997109,0.194410,82.809679,68.099336,80.751086,28.709145,79.575788,5.993671,6.899902,2.090343,79.575788,3.404488,7.870566,5.957639,5,14
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",73.190145,118.987755,72.324186,22.561049,0.000000,4.248806,0.865959,76.222803,94.885235,-nan,0.000000,72.324186,12.688905,3.302343,4.306111,72.324186,11.908321,4.607640,6.045088,5,12
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",86.022102,147.670204,85.053099,11.611927,0.000000,2.365970,0.969004,87.275847,71.864560,90.049497,24.800466,85.053099,1.933148,6.906237,0.917087,85.053099,0.958248,6.299465,4.354214,6,10
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",54.208930,126.481996,52.468362,40.054061,0.336216,5.400793,1.740568,83.114143,42.552384,33.994406,50.306255,52.468362,28.834196,7.865622,2.617984,52.468362,20.921532,3.590520,15.542009,5,12
"Beatles/02_-_With_the_Beatles/14_-_Money",49.807736,167.444898,49.596261,49.298407,0.000000,0.893857,0.211475,52.093957,93.939100,13.311622,4.955567,49.596261,23.104191,12.909709,3.854796,49.596261,20.099107,10.075982,19.123317,5,12
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",84.543890,148.511640,83.668324,13.055628,0.000000,2.400483,0.875566,85.570475,85.044525,93.286432,11.679426,83.668324,3.317862,8.261298,1.476468,83.668324,1.821200,8.891988,2.342440,6,9
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",84.399422,164.101224,84.183638,13.190019,0.000000,2.410559,0.215784,84.472400,82.863937,97.772262,14.509720,84.183638,1.787785,10.068109,1.334125,84.183638,0.881268,10.498025,1.810727,5,8
