MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",74.926166,175.804082,71.369950,24.802394,0.000000,0.271440,3.556216,76.931049,92.771320,0.000000,3.401023,71.369950,18.402352,6.023605,0.376437,71.369950,14.671170,5.274575,4.856649,4,8
"Beatles/01_-_Please_Please_Me/02_-_Misery",95.603632,110.184490,91.678674,3.598978,0.695453,0.101938,3.924958,94.525456,75.368789,99.183022,20.604316,91.678674,1.059217,1.875997,0.663764,91.678674,0.000000,2.455744,1.143234,4,5
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",84.765551,177.580408,82.681937,15.039473,0.162144,0.032832,2.083614,91.439260,69.493225,67.409737,28.390328,82.681937,10.247365,4.576666,0.215443,82.681937,3.249014,1.636260,10.154199,7,12
"Beatles/01_-_Please_Please_Me/04_-_Chains",82.700020,146.494694,78.832529,16.265458,0.000000,1.034521,3.867491,82.802115,94.578247,100.000000,0.519740,78.832529,1.911838,14.092090,0.261531,78.832529,0.215848,3.335795,12.713816,4,8
"Beatles/01_-_Please_Please_Me/05_-_Boys",80.392173,147.513469,76.942633,17.877187,1.727250,0.003390,3.449540,79.694426,96.547070,-nan,0.000000,76.942633,6.947309,7.345431,3.584446,76.942633,6.947309,6.795590,4.134288,3,9
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",87.310140,140.576508,84.348586,11.670408,0.690914,0.328538,2.961555,82.804560,60.457631,94.578640,36.252276,84.348586,3.678650,6.111817,1.879941,84.348586,2.472176,5.695229,3.503004,9,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",93.908999,123.376327,90.421214,5.710959,0.283359,0.096683,3.487784,93.636232,88.106312,95.337261,8.309221,90.421214,0.368616,4.135768,1.206576,90.421214,0.000000,5.342343,0.368616,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.782155,142.759184,71.585305,24.410354,0.806402,0.001088,3.196851,73.950186,96.802061,-nan,0.000000,71.585305,3.461912,20.650097,0.298346,71.585305,3.461912,20.181423,0.767019,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.697777,125.753469,89.244903,7.066248,0.143119,0.092856,3.452874,92.264829,85.200057,94.499866,11.254214,89.244903,0.677738,3.996863,2.391646,89.244903,0.000000,5.516032,1.550216,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",90.259313,158.066939,86.348955,7.539238,2.118030,0.083419,3.910358,91.079516,62.214002,87.844901,33.792221,86.348955,4.243948,3.065605,0.229684,86.348955,3.197055,3.182437,1.159746,5,6
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",78.231725,119.353469,74.474959,20.825445,0.856449,0.086381,3.756766,72.288329,45.786020,82.144781,50.370833,74.474959,5.472413,9.334797,6.018235,74.474959,1.876507,10.503965,8.444973,13,16
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",80.281163,125.152653,76.350182,19.427499,0.000000,0.291338,3.930982,75.596554,39.992892,82.669371,55.784789,76.350182,12.072419,6.703628,0.651452,76.350182,10.462312,3.665154,5.300033,6,8
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",86.756191,112.875102,81.797541,12.826720,0.289621,0.127469,4.958650,87.910965,74.661011,79.802642,20.252870,81.797541,3.221285,6.740439,2.864995,81.797541,1.460695,8.432877,2.933147,8,8
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",82.560302,153.155918,81.152225,17.338354,0.000000,0.101344,1.408077,82.395927,98.490579,-nan,0.000000,81.152225,5.954097,6.337153,5.047104,81.152225,5.271853,10.394620,1.671881,3,6
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",82.988069,125.498415,79.197642,15.825836,1.186095,0.000000,3.790426,88.563862,73.363138,62.260979,22.846436,79.197642,10.709636,4.792411,0.323789,79.197642,8.239594,4.751638,2.834605,11,13
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",78.404155,121.392510,74.495155,21.192628,0.403217,0.000000,3.909001,84.758202,47.438695,70.473475,48.652304,74.495155,16.506287,3.777816,0.908525,74.495155,8.492867,2.964803,9.734958,5,7
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",94.338919,123.367620,90.960451,4.767010,0.894071,0.000000,3.378468,92.772076,66.142463,97.111612,30.479068,90.960451,2.481240,1.864027,0.421742,90.960451,0.000000,0.806175,3.960835,6,7
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",71.855014,149.394286,68.101515,27.376104,0.674237,0.094645,3.753499,61.003187,50.735422,81.801425,45.416434,68.101515,8.522610,14.425582,4.427912,68.101515,6.441147,9.330211,11.604747,8,8
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",86.061823,108.016327,82.385705,12.577292,1.243941,0.116944,3.676119,85.633850,96.206937,-nan,0.000000,82.385705,5.283613,6.560883,0.732795,82.385705,5.283613,6.794677,0.499001,5,7
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",77.930800,124.908843,74.763611,21.028592,0.000000,1.040607,3.167189,71.969809,62.851572,89.644472,32.940631,74.763611,3.713416,15.247572,2.067604,74.763611,1.984271,6.267874,12.776447,12,18
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",85.696681,156.734694,81.999940,9.066726,5.236593,0.000000,3.696741,91.124533,68.950351,70.081231,27.352909,81.999940,6.757786,1.975812,0.333129,81.999940,4.826418,2.051779,2.188530,5,6
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",62.390267,167.627755,59.620268,37.122759,0.486974,0.000000,2.770000,61.318798,97.230000,-nan,0.000000,59.620268,5.253386,31.834743,0.034630,59.620268,4.754710,25.473147,6.894901,3,6
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",83.964640,152.581224,81.443770,15.769930,0.174635,0.090795,2.520869,84.101510,85.746493,80.139159,11.641843,81.443770,7.825415,7.358619,0.585897,81.443770,3.902460,5.073575,6.793895,7,13
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",91.923551,182.143129,89.536452,7.272029,0.000000,0.804420,2.387099,90.526552,68.099336,97.141419,28.709145,89.536452,3.649135,3.571181,0.051714,89.536452,0.905843,3.189457,3.176730,5,8
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",60.787066,118.987755,55.860083,38.968599,0.056552,0.187783,4.926982,58.871207,94.885235,-nan,0.000000,55.860083,30.656053,3.266497,5.046050,55.860083,27.968816,3.959452,7.040331,5,10
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",91.483016,147.670204,88.234004,8.431022,0.000000,0.085962,3.249012,92.151933,71.864560,88.746002,24.800466,88.234004,1.781302,5.163167,1.486554,88.234004,0.533695,4.500436,3.396892,6,7
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",72.179609,126.481996,68.110949,23.526862,1.220828,3.072700,4.068660,81.785733,42.552384,66.212779,50.306255,68.110949,17.137714,4.934532,1.454617,68.110949,13.074970,2.677374,7.774519,5,10
"Beatles/02_-_With_the_Beatles/14_-_Money",53.873618,167.444898,52.954914,45.939753,0.000000,0.186629,0.918703,52.488492,93.939100,73.608072,4.955567,52.954914,27.636314,16.056766,2.246673,52.954914,25.779422,6.092593,14.067738,5,7
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",81.804319,148.511640,78.528270,17.551934,0.643747,0.000000,3.276049,79.642354,85.044525,92.442968,11.679426,78.528270,4.543294,11.572809,1.435831,78.528270,3.563340,11.225948,2.762646,6,9
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",76.139215,164.101224,73.585625,23.394933,0.393100,0.072752,2.553591,71.666738,82.863937,97.863664,14.509720,73.585625,0.872030,20.665236,1.857666,73.585625,0.000000,21.380352,2.014580,5,5
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",95.561743,137.607256,91.769294,4.066924,0.000000,0.371333,3.792449,95.429544,50.208713,96.116033,45.627505,91.769294,0.430126,2.227326,1.409472,91.769294,0.320499,1.831706,1.914720,9,11
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",74.920086,114.451157,71.389959,24.850598,0.000000,0.229316,3.530128,77.735067,55.698614,69.292693,40.541942,71.389959,13.001078,10.688485,1.161035,71.389959,1.090980,6.325593,17.434025,7,8
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",89.565560,151.092245,87.091302,9.495775,0.000000,0.938664,2.474259,95.859160,39.663762,86.203610,56.923315,87.091302,5.355771,2.804202,1.335803,87.091302,5.113349,1.944339,2.438088,12,13
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",73.520896,129.509298,69.800591,25.235478,0.000000,1.243626,3.720305,87.593501,52.260649,56.162298,42.775420,69.800591,16.455727,6.795271,1.984480,69.800591,2.978539,4.722373,17.534566,6,8
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",94.514484,134.948571,91.235939,4.651851,0.227283,0.606382,3.278545,95.777651,75.914616,91.714276,20.200457,91.235939,1.123144,3.380249,0.148459,91.235939,0.000000,2.441653,2.210198,6,7
"Beatles/03_-_A_Hard_Day's_Night/08_-_Any_Time_At_All",84.831081,133.407347,80.977982,13.881050,0.609186,0.678683,3.853099,89.403841,69.395072,72.626916,26.073145,80.977982,5.877368,5.609603,2.394079,80.977982,4.799088,5.769329,3.312633,7,10
"Beatles/03_-_A_Hard_Day's_Night/09_-_I'll_Cry_Instead",94.679556,107.755102,90.722654,4.930906,0.000000,0.389538,3.956902,94.815675,88.628643,95.215470,7.024917,90.722654,1.206734,3.225395,0.498778,90.722654,1.119487,3.030405,0.781013,6,7
"Beatles/03_-_A_Hard_Day's_Night/10_-_Things_We_Said_Today",81.638837,158.850612,78.406547,17.795213,0.000000,0.565950,3.232290,90.485344,37.030741,75.880311,59.171019,78.406547,1.273147,15.349816,1.172251,78.406547,0.950136,15.179072,1.666005,9,9
