MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",94.243033,175.804082,90.439419,5.728845,0.004080,0.024042,3.803614,96.139680,92.771320,36.735061,3.401023,90.439419,2.773473,2.664398,0.290974,90.439419,0.882776,2.903963,1.942106,4,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",96.061032,110.184490,92.034137,3.623610,0.315358,0.000000,4.026895,94.963306,75.368789,99.306587,20.604316,92.034137,1.072237,2.005138,0.546235,92.034137,0.000000,2.523557,1.100053,4,5
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",87.317453,177.580408,85.201007,11.420012,1.262535,0.000000,2.116446,93.991137,69.493225,70.036297,28.390328,85.201007,4.630981,5.235279,1.553752,85.201007,3.088645,3.061466,5.269902,7,13
"Beatles/01_-_Please_Please_Me/04_-_Chains",94.124182,146.494694,89.916360,5.174490,0.007138,0.694190,4.207823,94.816054,94.578247,46.368888,0.519740,89.916360,0.562571,4.080264,0.531655,89.916360,0.278743,4.574917,0.320831,4,7
"Beatles/01_-_Please_Please_Me/05_-_Boys",88.707706,147.513469,85.277228,10.732229,0.537613,0.022452,3.430479,88.327101,96.547070,-nan,0.000000,85.277228,1.882200,5.226965,3.623064,85.277228,1.882200,8.766307,0.083723,3,6
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",86.946099,140.576508,83.908308,12.129885,0.671715,0.252301,3.037791,85.683235,60.457631,88.563414,36.252276,83.908308,6.458743,3.948909,1.722233,83.908308,3.411512,3.079744,5.638629,9,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",89.709029,123.376327,86.124562,10.028406,0.262565,0.000000,3.584467,89.902734,88.106312,83.215723,8.309221,86.124562,0.868235,6.860673,2.299498,86.124562,0.000000,8.610753,1.417653,7,9
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",89.883963,142.759184,86.686024,9.573982,0.542055,0.000000,3.197939,89.549771,96.802061,-nan,0.000000,86.686024,0.765930,8.404509,0.403543,86.686024,0.560384,8.726401,0.287197,3,5
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",97.888735,125.753469,94.343005,1.630490,0.480775,0.000000,3.545730,97.639141,85.200057,99.113115,11.254214,94.343005,0.000000,0.751235,0.879255,94.343005,0.000000,1.250008,0.380483,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",94.918085,158.066939,90.942632,5.061653,0.001938,0.018325,3.975452,94.621254,62.214002,94.918186,33.792221,90.942632,2.250273,1.897695,0.913685,90.942632,0.676928,1.700371,2.684354,5,7
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",83.553220,119.353469,79.716641,16.025999,0.414213,0.006567,3.836580,91.105872,45.786020,75.446216,50.370833,79.716641,6.995799,2.801825,6.228375,79.716641,2.333892,6.063305,7.628802,13,16
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",84.480922,125.152653,80.803291,14.151395,0.822995,0.544688,3.677631,78.004242,39.992892,88.925924,55.784789,80.803291,3.640136,5.619475,4.891784,80.803291,2.603009,7.181042,4.367343,6,8
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",91.344409,112.875102,86.332425,8.547950,0.033506,0.074135,5.011984,94.194895,74.661011,79.028622,20.252870,86.332425,2.977103,3.290107,2.280739,86.332425,2.216387,3.234241,3.097322,8,8
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",96.077336,153.155918,94.591808,3.898285,0.000486,0.023893,1.485528,96.041479,98.490579,-nan,0.000000,94.591808,0.000000,1.634344,2.263941,94.591808,0.000000,3.898285,-0.000000,3,3
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",88.195756,125.498415,84.405330,10.043254,1.760990,0.000000,3.790426,92.020303,73.363138,73.956166,22.846436,84.405330,6.457725,3.226939,0.358590,84.405330,4.287725,3.507222,2.248307,11,12
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",89.785333,121.392510,85.876332,8.851782,1.362886,0.000000,3.909001,91.192886,47.438695,87.592187,48.652304,85.876332,5.685420,2.307151,0.859210,85.876332,4.122643,3.112189,1.616950,5,8
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",93.129622,123.367620,89.751154,4.884921,1.985457,0.000000,3.378468,93.975499,66.142463,90.532437,30.479068,89.751154,1.818158,2.537832,0.528931,89.751154,0.000000,1.106561,3.778360,6,7
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",84.714964,149.394286,81.053231,15.042487,0.056138,0.186411,3.661732,85.159717,50.735422,83.333467,45.416434,81.053231,8.585542,3.597000,2.859945,81.053231,7.939988,4.639073,2.463426,8,9
