MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",92.719857,175.804082,88.898837,7.247754,0.025752,0.006636,3.821020,95.825776,92.771320,0.000000,3.401023,88.898837,3.308538,3.760879,0.178338,88.898837,0.264135,3.846731,3.136888,4,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",90.306985,110.184490,86.655986,7.546947,1.770172,0.375896,3.650999,89.115777,75.368789,94.594278,20.604316,86.655986,2.475526,3.925111,1.146309,86.655986,0.000000,4.902659,2.644288,4,8
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",59.952754,177.580408,57.973745,38.230864,1.678944,0.137437,1.979009,64.352842,69.493225,46.680967,28.390328,57.973745,24.098396,12.026547,2.105922,57.973745,17.005543,5.108506,16.116816,7,12
"Beatles/01_-_Please_Please_Me/04_-_Chains",74.571424,146.494694,69.800471,25.297517,0.000000,0.131059,4.770954,73.801823,94.578247,0.000000,0.519740,69.800471,2.865627,18.929709,3.502181,69.800471,1.090341,21.480865,2.726310,4,6
"Beatles/01_-_Please_Please_Me/05_-_Boys",75.771621,147.513469,72.605390,22.245936,1.695744,0.286699,3.166232,75.202064,96.547070,-nan,0.000000,72.605390,9.225237,11.059723,1.960976,72.605390,9.225237,10.723531,2.297169,3,5
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",82.892907,140.576508,79.865281,15.839862,1.004765,0.262466,3.027626,80.762138,60.457631,85.617810,36.252276,79.865281,5.553425,6.983005,3.303432,79.865281,4.195478,7.100542,4.543842,9,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",87.186763,123.376327,83.602296,12.231324,0.581913,0.000000,3.584467,86.603763,88.106312,87.841141,8.309221,83.602296,0.705737,8.855889,2.669698,83.602296,0.000000,11.525587,0.705737,7,6
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.582966,142.759184,71.386114,22.950477,2.465470,0.001087,3.196851,73.744415,96.802061,-nan,0.000000,71.386114,0.000000,21.646263,1.304215,71.386114,0.000000,22.950477,0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.921042,125.753469,89.449719,6.713696,0.290855,0.074407,3.471323,92.433870,85.200057,95.040044,11.254214,89.449719,0.000000,2.149450,4.564246,89.449719,0.000000,5.846636,0.867060,8,7
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",92.191020,158.066939,88.251295,6.944300,0.810628,0.054051,3.939726,90.057724,62.214002,95.355615,33.792221,88.251295,2.728153,3.608543,0.607605,88.251295,0.000000,3.906963,3.037337,5,5
