MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",74.807333,175.804082,71.251117,24.921227,0.000000,0.271440,3.556216,-nan,0.000000,-nan,0.000000,84.895820,2.535909,76.575521,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,71.369950,18.402352,6.023605,0.376437,71.251117,14.790003,5.010380,5.120844,5,9
"Beatles/01_-_Please_Please_Me/02_-_Misery",95.603632,110.184490,91.678674,3.598978,0.695453,0.101938,3.924958,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.525456,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.183022,20.604316,91.678674,1.059217,1.875997,0.663764,91.678674,0.000000,2.455744,1.143234,4,5
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",83.600974,177.580408,81.517360,16.204050,0.162144,0.032832,2.083614,-nan,0.000000,-nan,0.000000,0.000000,1.196858,91.336504,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.409737,28.390328,82.681937,10.247365,4.576666,0.215443,81.517360,4.413591,1.603979,10.186480,8,12
"Beatles/01_-_Please_Please_Me/04_-_Chains",82.700020,146.494694,78.832529,16.265458,0.000000,1.034521,3.867491,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.802115,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,0.519740,78.832529,1.911838,14.092090,0.261531,78.832529,0.215848,3.335795,12.713816,4,8
"Beatles/01_-_Please_Please_Me/05_-_Boys",80.392173,147.513469,76.942633,17.877187,1.727250,0.003390,3.449540,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.694426,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.942633,6.947309,7.345431,3.584446,76.942633,6.947309,6.795590,4.134288,3,9
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",86.258484,140.576508,83.296929,12.722065,0.690914,0.328538,2.961555,-nan,0.000000,0.000000,2.560239,-nan,0.000000,84.649786,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.578640,36.252276,84.348586,3.678650,6.111817,1.879941,83.296929,3.523832,4.423368,4.774864,10,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",89.948106,123.376327,86.460322,9.671852,0.283359,0.096683,3.487784,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.636232,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,95.445343,4.149906,90.421214,0.368616,4.135768,1.206576,86.460322,3.960892,5.143920,0.567039,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.782155,142.759184,71.585305,24.410354,0.806402,0.001088,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.950186,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.585305,3.461912,20.650097,0.298346,71.585305,3.461912,20.181423,0.767019,3,4
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.697777,125.753469,89.244903,7.066248,0.143119,0.092856,3.452874,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.264829,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.499866,11.254214,89.244903,0.677738,3.996863,2.391646,89.244903,0.000000,5.516032,1.550216,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",90.259313,158.066939,86.348955,7.539238,2.118030,0.083419,3.910358,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.079516,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.844901,33.792221,86.348955,4.243948,3.065605,0.229684,86.348955,3.197055,3.182437,1.159746,5,6
