MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",91.973948,175.804082,88.371027,7.801317,0.000000,0.224735,3.602921,-nan,0.000000,-nan,0.000000,0.000000,2.535909,97.933867,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,91.735511,2.545363,1.816646,0.074824,88.371027,3.403089,1.854930,2.543298,5,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",89.490934,110.184490,85.464039,7.734197,2.774870,0.000000,4.026895,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.722128,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.617621,20.604316,85.464039,3.513144,4.057971,0.163081,85.464039,3.225962,3.406040,1.102194,4,7
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",62.524228,177.580408,60.407782,25.998146,11.477625,0.000000,2.116446,-nan,0.000000,-nan,0.000000,0.000000,1.196858,77.194959,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,27.074113,28.390328,60.961674,16.441138,7.753451,1.249665,60.407782,10.682343,4.166514,11.149289,8,13
"Beatles/01_-_Please_Please_Me/04_-_Chains",89.612320,146.494694,85.404497,7.474668,2.218822,0.694190,4.207823,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.300359,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,85.404497,1.154576,5.258302,1.061791,85.404497,1.154576,6.320092,-0.000000,4,5
"Beatles/01_-_Please_Please_Me/05_-_Boys",77.413955,147.513469,73.983476,7.715424,14.848170,0.022452,3.430479,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.629437,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.983476,0.000000,6.721281,0.994142,73.983476,0.000000,7.715424,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",79.798622,140.576508,76.760830,18.928798,1.020279,0.252301,3.037791,-nan,0.000000,0.000000,2.560239,-nan,0.000000,84.915057,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.125499,36.252276,76.760830,8.144318,8.053843,2.730637,76.760830,3.137378,3.412475,12.378945,10,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",83.431360,123.376327,79.846893,15.284809,1.283831,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.132001,88.106312,-nan,0.000000,0.000000,4.159316,-nan,0.000000,95.403712,4.149906,81.823982,1.631668,10.671088,1.004964,79.846893,1.977089,10.804467,2.503253,7,6
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",89.155044,142.759184,85.957105,9.448315,1.396641,0.000000,3.197939,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.796771,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.957105,0.000000,8.900339,0.547976,85.957105,0.000000,9.448315,0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",96.878857,125.753469,93.587864,2.846582,0.019825,0.254737,3.290993,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.081143,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.627586,11.254214,93.587864,0.000000,0.780348,2.066233,93.587864,0.000000,1.906646,0.939936,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",91.205134,158.066939,87.211357,8.134325,0.660542,0.000000,3.993777,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.088636,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.015883,33.792221,87.211357,5.598510,2.249656,0.286159,87.211357,3.705076,2.394303,2.034945,5,8
