MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",90.197196,175.804082,86.376176,9.770416,0.025752,0.006636,3.821020,-nan,0.000000,-nan,0.000000,0.000000,2.535909,95.723148,90.235411,-nan,0.000000,-nan,0.000000,0.000000,3.401023,-nan,0.000000,88.898837,3.308538,3.760879,0.178338,86.376176,2.786796,3.833483,3.150136,5,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",78.720545,110.184490,75.069546,19.133387,1.770172,0.375896,3.650999,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.944573,75.368789,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.908667,20.604316,86.655986,2.475526,3.925111,1.146309,75.069546,11.586440,4.902659,2.644288,4,11
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",52.739027,177.580408,50.760019,45.444591,1.678944,0.137437,1.979009,-nan,0.000000,-nan,0.000000,0.000000,1.196858,54.918204,68.296367,-nan,0.000000,-nan,0.000000,-nan,0.000000,46.680967,28.390328,57.973745,24.098396,12.026547,2.105922,50.760019,24.219269,3.458277,17.767045,8,19
"Beatles/01_-_Please_Please_Me/04_-_Chains",71.076774,146.494694,66.305820,28.792168,0.000000,0.131059,4.770954,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.106839,94.578247,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.519740,69.800471,2.865627,18.929709,3.502181,66.305820,4.584992,19.459548,4.747627,4,8
"Beatles/01_-_Please_Please_Me/05_-_Boys",75.771621,147.513469,72.605390,22.245936,1.695744,0.286699,3.166232,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.202064,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.605390,9.225237,11.059723,1.960976,72.605390,9.225237,10.723531,2.297169,3,5
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",72.646471,140.576508,69.618845,26.086298,1.004765,0.262466,3.027626,-nan,0.000000,0.000000,2.560239,-nan,0.000000,71.000852,57.897393,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.646655,36.252276,79.865281,5.553425,6.983005,3.303432,69.618845,14.441914,4.485142,7.159242,10,12
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",87.186763,123.376327,83.602296,12.231324,0.581913,0.000000,3.584467,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.603763,88.106312,-nan,0.000000,86.734575,4.159316,-nan,0.000000,88.950217,4.149906,83.602296,0.705737,8.855889,2.669698,83.602296,0.000000,11.221017,1.010306,7,6
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",52.252182,142.759184,49.055331,45.281261,2.465470,0.001087,3.196851,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.675915,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.386114,0.000000,21.646263,1.304215,49.055331,22.330783,18.801563,4.148914,3,6
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",90.821491,125.753469,87.350168,8.813248,0.290855,0.074407,3.471323,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.969609,85.200057,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.040044,11.254214,89.449719,0.000000,2.149450,4.564246,87.350168,2.099552,5.730424,0.983272,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",83.440082,158.066939,79.500356,15.695239,0.810628,0.054051,3.939726,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.200215,62.214002,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.289863,33.792221,88.251295,2.728153,3.608543,0.607605,79.500356,8.750939,3.821523,3.122778,5,8
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",65.010901,119.353469,61.195771,33.326461,1.634622,0.028016,3.815131,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.701511,45.786020,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.587163,50.370833,63.057165,11.917640,10.969533,8.577893,61.195771,8.328796,12.402215,12.595450,13,15
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",55.131053,125.152653,50.920151,44.506599,0.350930,0.011418,4.210902,-nan,0.000000,-nan,0.000000,-nan,0.000000,54.041403,39.992892,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.536600,55.784789,53.812944,25.196765,11.072998,5.344043,50.920151,27.123755,7.900811,9.482033,6,15
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",91.120502,112.875102,86.034383,8.593925,0.285572,0.000000,5.086119,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.749556,74.661011,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.571619,20.252870,86.034383,1.461754,5.754076,1.378096,86.034383,0.641684,6.019710,1.932531,8,8
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",75.952257,153.155918,74.896527,22.771683,0.822368,0.453692,1.055729,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.044357,98.490579,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.100670,0.311936,15.491868,5.763736,74.896527,1.516079,20.952360,0.303243,3,5
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",88.506941,125.498415,84.914222,10.743604,0.551747,0.197708,3.592719,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.710576,73.363138,-nan,0.000000,-nan,0.000000,42.765763,2.941848,89.635741,19.904588,84.914222,3.654202,5.766412,1.322990,84.914222,1.110134,5.818203,3.815268,11,13
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",47.389046,121.392510,43.480045,51.901651,0.709303,0.000000,3.909001,-nan,0.000000,0.000000,2.955727,-nan,0.000000,69.073636,44.482969,-nan,0.000000,-nan,0.000000,-nan,0.000000,26.214671,48.652304,89.434971,1.977886,3.968839,0.000000,43.480045,45.954926,2.390893,3.555832,6,8
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",85.774279,123.367620,82.395810,13.388135,0.837587,0.000000,3.378468,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.615949,66.142463,-nan,0.000000,0.000000,0.433971,-nan,0.000000,81.359241,30.045097,88.579721,2.074862,4.419631,0.709731,82.395810,6.183911,2.810552,4.393672,7,9
