MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",89.425785,175.804082,85.909192,10.263151,0.000000,0.311064,3.516593,89.328376,96.172344,96.172344,85.909192,0.000000,10.263151,0.000000,3,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",95.608120,110.184490,91.581225,3.566554,0.825326,0.000000,4.026895,95.423843,95.973105,95.147779,91.581225,0.000000,3.566554,0.000000,4,4
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",88.620150,177.580408,86.628066,11.093344,0.162144,0.124362,1.992084,88.501145,97.883554,97.721409,86.628066,0.000000,11.093344,-0.000000,5,6
"Beatles/01_-_Please_Please_Me/04_-_Chains",81.218336,146.494694,77.053003,18.025819,0.019165,0.736679,4.165333,81.024851,95.097988,95.078822,77.053003,0.000000,18.025819,0.000000,3,5
"Beatles/01_-_Please_Please_Me/05_-_Boys",86.284898,147.513469,82.835358,12.015943,1.695768,0.003390,3.449540,85.797900,96.547070,94.851302,82.835358,0.000000,12.015943,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",89.318677,147.774694,86.428858,9.762297,0.679014,0.240011,2.889819,89.221334,96.870170,96.191155,86.428858,0.000000,9.762297,-0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",91.505145,123.376327,87.920678,8.195256,0.299599,0.000000,3.584467,91.189329,96.415533,96.115933,87.920678,0.000000,8.195256,0.000000,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",75.190960,142.759184,71.993021,24.019991,0.789050,0.000000,3.197939,74.371372,96.802061,96.013012,71.993021,0.000000,24.019991,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",94.380065,125.753469,90.834335,5.458884,0.161051,0.000000,3.545730,94.173472,96.454270,96.293219,90.834335,0.000000,5.458884,0.000000,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",92.687198,158.066939,88.693421,5.454470,1.858332,0.000000,3.993777,92.382992,96.006223,94.147891,88.693421,0.000000,5.454470,-0.000000,5,5
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",81.964600,119.353469,78.121453,17.226423,0.808977,0.000000,3.843147,81.243770,96.156853,95.347876,78.121453,0.000000,17.226423,-0.000000,9,11
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",90.580219,125.152653,86.537918,9.239763,0.000000,0.180018,4.042301,90.352906,95.777680,95.777680,86.537918,0.000000,9.239763,-0.000000,4,4
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",86.795815,112.875102,81.837165,12.787095,0.289621,0.127469,4.958650,86.222547,94.913881,94.624260,81.837165,0.000000,12.787095,0.000000,6,6
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",86.089401,153.155918,85.332489,13.126630,0.031459,0.752509,0.756912,86.640256,98.490579,98.459120,85.332489,0.000000,13.126630,-0.000000,3,5
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",85.849390,133.746939,82.292729,12.568381,1.582228,0.000000,3.556661,85.327541,96.443339,94.861111,82.292729,0.000000,12.568381,-0.000000,8,10
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",85.849006,124.551837,82.039159,13.654353,0.496641,0.000000,3.809847,85.288521,96.190153,95.693512,82.039159,0.000000,13.654353,-0.000000,4,6
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",88.529589,129.567347,85.312779,10.619121,0.851290,0.000000,3.216810,88.148344,96.783190,95.931900,85.312779,0.000000,10.619121,-0.000000,7,8
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",78.209756,149.394286,74.471799,21.192333,0.487724,0.110187,3.737956,77.452274,96.151856,95.664132,74.471799,0.000000,21.192333,-0.000000,6,5
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",90.249610,108.016327,86.487504,8.389505,1.329928,0.030957,3.762105,89.897368,96.206937,94.877010,86.487504,0.000000,8.389505,-0.000000,5,5
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",79.695251,136.751020,76.707622,19.441792,0.007171,0.855787,2.987629,79.773655,96.156584,96.149414,76.707622,0.000000,19.441792,-0.000000,10,11
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",89.627487,156.734694,86.064629,5.490378,4.748253,0.133882,3.562858,89.368345,96.303259,91.555007,86.064629,0.000000,5.490378,-0.000000,5,4
