MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",95.377037,175.804082,91.774116,4.398228,0.000000,0.224735,3.602921,95.426723,96.172344,96.172344,91.774116,0.000000,4.398228,0.000000,3,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",92.716896,110.184490,88.690001,4.508234,2.774870,0.000000,4.026895,92.411307,95.973105,93.198235,88.690001,0.000000,4.508234,0.000000,4,6
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",73.206572,177.580408,71.090126,15.315803,11.477625,0.000000,2.116446,72.627242,97.883554,86.405928,71.090126,0.000000,15.315803,-0.000000,5,9
"Beatles/01_-_Please_Please_Me/04_-_Chains",90.766896,146.494694,86.559073,6.320092,2.218822,0.694190,4.207823,91.020930,95.097988,92.879165,86.559073,0.000000,6.320092,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/05_-_Boys",77.413955,147.513469,73.983476,7.715424,14.848170,0.022452,3.430479,76.629437,96.547070,81.698900,73.983476,0.000000,7.715424,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",83.762664,147.774694,80.872845,15.026744,0.970581,0.240011,2.889819,83.485809,96.870170,95.899589,80.872845,0.000000,15.026744,0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",85.408450,123.376327,81.823982,13.307720,1.283831,0.000000,3.584467,84.865975,96.415533,95.131702,81.823982,0.000000,13.307720,0.000000,7,6
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",89.155044,142.759184,85.957105,9.448315,1.396641,0.000000,3.197939,88.796771,96.802061,95.405421,85.957105,0.000000,9.448315,0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",96.878857,125.753469,93.587864,2.846582,0.019825,0.254737,3.290993,97.028222,96.454270,96.434445,93.587864,0.000000,2.846582,0.000000,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",94.910210,158.066939,90.916433,4.429249,0.660542,0.000000,3.993777,94.698479,96.006223,95.345681,90.916433,0.000000,4.429249,-0.000000,5,6
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",62.824153,119.353469,58.987573,22.277063,14.892217,0.006567,3.836580,61.345158,96.156853,81.264636,58.987573,0.000000,22.277063,0.000000,9,10
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",86.538597,125.152653,82.860966,11.686217,1.230497,0.544688,3.677631,86.513857,95.777680,94.547183,82.860966,0.000000,11.686217,-0.000000,4,6
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",87.587422,112.875102,82.501303,9.006920,3.405658,0.000000,5.086119,86.922273,94.913881,91.508223,82.501303,0.000000,9.006920,0.000000,6,6
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",93.488417,153.155918,92.302751,4.947262,1.240566,0.323755,1.185666,93.717341,98.490579,97.250013,92.302751,0.000000,4.947262,-0.000000,3,3
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",87.658938,133.746939,84.102277,11.727954,0.613109,0.000000,3.556661,87.203821,96.443339,95.830231,84.102277,0.000000,11.727954,-0.000000,8,9
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",88.230945,124.551837,84.421099,11.273998,0.495057,0.000000,3.809847,87.764803,96.190153,95.695096,84.421099,0.000000,11.273998,-0.000000,4,5
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",88.217672,129.567347,85.000861,11.080445,0.701883,0.000000,3.216810,87.826059,96.783190,96.081307,85.000861,0.000000,11.080445,0.000000,7,6
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",91.923443,149.394286,88.075299,7.490605,0.585952,0.000000,3.848144,91.600207,96.151856,95.565904,88.075299,0.000000,7.490605,-0.000000,6,6
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",89.912522,108.016327,86.119460,8.347741,1.739737,0.000000,3.793063,89.514812,96.206937,94.467200,86.119460,0.000000,8.347741,0.000000,5,5
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",83.760935,136.751020,80.661263,9.395047,6.100274,0.743744,3.099672,83.885325,96.156584,90.056310,80.661263,0.000000,9.395047,-0.000000,10,10
