MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",92.983992,175.804082,89.162972,6.983619,0.025752,0.006636,3.821020,92.711656,96.172344,96.146592,89.162972,0.000000,6.983619,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/02_-_Misery",90.306985,110.184490,86.655986,7.546947,1.770172,0.375896,3.650999,90.291948,95.973105,94.202933,86.655986,0.000000,7.546947,-0.000000,4,6
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",76.958297,177.580408,74.979288,21.225322,1.678944,0.137437,1.979009,76.600496,97.883554,96.204609,74.979288,0.000000,21.225322,0.000000,5,7
"Beatles/01_-_Please_Please_Me/04_-_Chains",75.661766,146.494694,70.890812,24.207176,0.000000,0.131059,4.770954,74.545018,95.097988,95.097988,70.890812,0.000000,24.207176,-0.000000,3,5
"Beatles/01_-_Please_Please_Me/05_-_Boys",84.996858,147.513469,81.830627,13.020699,1.695744,0.286699,3.166232,84.757235,96.547070,94.851326,81.830627,0.000000,13.020699,-0.000000,3,4
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",87.644028,147.774694,84.763879,11.150469,0.955822,0.249681,2.880149,87.502561,96.870170,95.914348,84.763879,0.000000,11.150469,-0.000000,6,6
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",87.186763,123.376327,83.602296,12.231324,0.581913,0.000000,3.584467,86.710402,96.415533,95.833620,83.602296,0.000000,12.231324,-0.000000,7,6
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.582966,142.759184,71.386114,22.950477,2.465470,0.001087,3.196851,73.744415,96.802061,94.336591,71.386114,0.000000,22.950477,0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",92.921042,125.753469,89.449719,6.713696,0.290855,0.074407,3.471323,92.737956,96.454270,96.163416,89.449719,0.000000,6.713696,0.000000,8,7
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",92.191020,158.066939,88.251295,6.944300,0.810628,0.054051,3.939726,91.922473,96.006223,95.195595,88.251295,0.000000,6.944300,-0.000000,5,5
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",73.339697,119.353469,69.524567,24.997665,1.634622,0.028016,3.815131,72.303288,96.156853,94.522231,69.524567,0.000000,24.997665,-0.000000,9,10
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",82.254808,125.152653,78.043906,17.382844,0.350930,0.011418,4.210902,81.484440,95.777680,95.426751,78.043906,0.000000,17.382844,-0.000000,4,8
