MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",91.708661,175.804082,88.105740,8.066603,0.000000,0.224735,3.602921,97.908156,89.126356,-nan,0.000000,0.000000,3.644964,24.809245,3.401023,-nan,0.000000,88.105740,6.175134,1.801452,0.090018,0.000000,88.105740,3.668376,1.854930,2.543298,5,5
"Beatles/01_-_Please_Please_Me/02_-_Misery",89.490934,110.184490,85.464039,7.734197,2.774870,0.000000,4.026895,92.722128,75.368789,-nan,0.000000,-nan,0.000000,75.617621,20.604316,-nan,0.000000,85.464039,3.513144,4.057971,0.163081,0.000000,85.464039,3.225962,3.406040,1.102194,4,7
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",60.684406,177.580408,58.567959,27.837969,11.477625,0.000000,2.116446,78.635198,64.705795,-nan,0.000000,0.000000,4.787431,27.074113,28.390328,-nan,0.000000,58.567959,16.445230,10.143074,1.249665,0.000000,58.567959,12.522166,4.805387,10.510416,7,13
"Beatles/01_-_Please_Please_Me/04_-_Chains",67.142346,146.494694,62.934523,29.944642,2.218822,0.694190,4.207823,87.641324,71.809188,-nan,0.000000,0.000000,22.769059,0.000000,0.519740,-nan,0.000000,62.934523,23.624550,5.057818,1.163673,0.098602,62.934523,23.624550,6.021007,0.299085,7,5
"Beatles/01_-_Please_Please_Me/05_-_Boys",77.413955,147.513469,73.983476,7.715424,14.848170,0.022452,3.430479,76.629437,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.983476,0.000000,6.721281,0.994142,0.000000,73.983476,0.000000,7.715424,-0.000000,3,3
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",53.117254,138.919232,50.043222,45.594984,1.032451,0.255311,3.074032,90.456990,47.810678,0.000000,7.906845,0.000000,4.268376,55.002279,12.354255,0.000000,24.330503,50.043222,34.090859,8.666542,2.621154,0.216430,50.043222,30.808154,2.515472,12.271358,13,9
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",85.408450,123.376327,81.823982,13.307720,1.283831,0.000000,3.584467,86.132001,88.106312,-nan,0.000000,-nan,0.000000,71.441750,8.309221,-nan,0.000000,81.823982,1.631668,10.671088,1.004964,0.000000,81.823982,0.000000,11.676052,1.631668,7,6
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",89.155044,142.759184,85.957105,9.448315,1.396641,0.000000,3.197939,88.796771,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.957105,0.000000,8.900339,0.547976,0.000000,85.957105,0.000000,9.448315,0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",95.134405,125.753469,91.843412,4.591033,0.019825,0.254737,3.290993,97.462724,83.076620,-nan,0.000000,0.000000,2.123436,96.627586,11.254214,-nan,0.000000,91.843412,1.744451,0.780348,2.035731,0.030503,91.843412,1.744451,1.527660,1.318921,8,8
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",91.205134,158.066939,87.211357,8.134325,0.660542,0.000000,3.993777,95.088636,62.214002,-nan,0.000000,-nan,0.000000,83.015883,33.792221,-nan,0.000000,87.211357,5.598510,2.249656,0.286159,0.000000,87.211357,3.705076,2.394303,2.034945,5,8
