MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",86.787753,175.804082,82.966733,13.179859,0.025752,0.006636,3.821020,91.873418,89.126356,-nan,0.000000,29.720540,3.644964,0.000000,3.401023,-nan,0.000000,82.966733,9.240643,3.485482,0.453735,0.000000,82.966733,6.196240,3.571334,3.412285,5,6
"Beatles/01_-_Please_Please_Me/02_-_Misery",82.467579,110.184490,78.816579,15.386353,1.770172,0.375896,3.650999,78.714381,75.368789,-nan,0.000000,-nan,0.000000,94.594278,20.604316,-nan,0.000000,78.816579,10.304393,3.935651,1.146309,0.000000,78.816579,7.839406,4.575955,2.970992,4,10
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",57.378267,177.580408,55.399258,40.805351,1.678944,0.137437,1.979009,69.114158,64.705795,-nan,0.000000,0.000000,4.787431,37.612785,28.390328,-nan,0.000000,55.399258,21.885452,15.371610,3.548290,0.000000,55.399258,19.580029,4.237446,16.987876,7,16
"Beatles/01_-_Please_Please_Me/04_-_Chains",62.527257,146.494694,57.756303,37.341684,0.000000,0.131059,4.770954,78.675446,71.809188,-nan,0.000000,5.534284,22.769059,0.000000,0.519740,-nan,0.000000,57.756303,14.878424,12.783791,8.301223,1.378246,57.756303,13.134508,13.417786,10.789390,7,8
"Beatles/01_-_Please_Please_Me/05_-_Boys",74.008664,147.513469,70.842432,24.008894,1.695744,0.286699,3.166232,73.376056,96.547070,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.842432,10.988195,11.059723,1.960976,0.000000,70.842432,10.988195,10.723531,2.297169,3,6
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",63.530024,138.919232,60.466279,35.187627,1.016751,0.265597,3.063745,84.700789,47.810678,26.213276,7.906845,13.576492,4.268376,60.381545,12.354255,40.518805,24.330503,60.466279,21.087218,7.214111,3.175960,0.969106,60.466279,24.597306,2.603765,7.986556,13,15
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",85.048879,123.376327,81.464412,14.369208,0.581913,0.000000,3.584467,84.177280,88.106312,-nan,0.000000,-nan,0.000000,87.841141,8.309221,-nan,0.000000,81.464412,2.843621,7.982499,3.543088,0.000000,81.464412,2.137884,10.652197,1.579127,7,7
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",74.582966,142.759184,71.386114,22.950477,2.465470,0.001087,3.196851,73.744415,96.802061,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.386114,0.000000,21.646263,1.304215,0.000000,71.386114,0.000000,22.950477,0.000000,3,3
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",91.248337,125.753469,87.777014,8.386402,0.290855,0.074407,3.471323,94.445412,83.076620,-nan,0.000000,0.000000,2.123436,82.768621,11.254214,-nan,0.000000,87.777014,1.672705,2.149450,4.473597,0.090649,87.777014,1.672705,3.645559,3.068137,8,9
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",90.261972,158.066939,86.322247,8.873348,0.810628,0.054051,3.939726,90.057724,62.214002,-nan,0.000000,-nan,0.000000,89.647059,33.792221,-nan,0.000000,86.322247,4.657201,3.608543,0.607605,0.000000,86.322247,1.929048,3.906963,3.037337,5,6
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",62.263121,116.532244,58.355626,36.033989,1.674196,0.028694,3.907494,67.102713,45.220725,-nan,0.000000,0.000000,1.673766,56.969046,49.169320,-nan,0.000000,58.355626,15.524740,9.583051,9.462138,0.587307,58.355626,10.720134,11.154631,14.159224,13,18
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",53.184698,117.977687,48.717705,46.430918,0.372272,0.012112,4.466993,54.408633,42.425111,-nan,0.000000,-nan,0.000000,54.582792,46.964950,0.000000,6.130833,48.717705,25.586036,13.045228,4.493181,2.283059,48.717705,27.990913,9.762228,8.677777,7,13
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",88.487365,112.875102,83.401246,11.227062,0.285572,0.000000,5.086119,91.453907,68.861146,49.859782,5.799865,-nan,0.000000,86.571619,20.252870,-nan,0.000000,83.401246,4.094891,5.408647,1.723524,0.000000,83.401246,3.274821,5.674281,2.277959,9,9
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",73.860003,153.155918,72.804274,24.863936,0.822368,0.453692,1.055729,77.146206,94.371814,-nan,0.000000,0.000000,4.118765,-nan,0.000000,-nan,0.000000,72.804274,3.608333,15.491868,5.763736,0.000000,72.804274,3.608333,21.203663,0.051941,5,4
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",80.702369,125.498415,77.109650,18.548176,0.551747,0.197708,3.592719,87.164470,65.681959,0.000000,2.667084,15.129146,5.014094,89.961023,19.997100,38.961126,2.849336,77.109650,10.348641,6.250483,1.575969,0.373084,77.109650,8.914705,5.574573,4.058897,13,15
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",93.343972,121.392510,89.434971,5.946725,0.709303,0.000000,3.909001,94.769058,47.438695,-nan,0.000000,-nan,0.000000,91.419651,48.652304,-nan,0.000000,89.434971,1.977886,3.968839,0.000000,0.000000,89.434971,0.000000,3.681922,2.264803,5,5
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",89.648674,123.367620,86.270205,9.513740,0.837587,0.000000,3.378468,88.593341,63.676814,-nan,0.000000,100.000000,2.465649,89.868688,30.479068,-nan,0.000000,86.270205,4.384378,3.661187,1.468175,0.000000,86.270205,2.309516,2.052108,5.152115,7,8
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",80.926303,149.394286,77.126175,18.444728,0.580954,0.048016,3.800128,75.160396,50.735422,-nan,0.000000,-nan,0.000000,85.857094,45.416434,-nan,0.000000,77.126175,4.810617,9.275529,4.358581,0.000000,77.126175,4.138168,6.858804,7.447755,8,8
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",65.554938,108.016327,61.878837,31.299912,3.028189,0.116962,3.676101,65.433629,90.306409,-nan,0.000000,47.251305,5.900528,-nan,0.000000,-nan,0.000000,61.878837,19.212762,8.870884,3.216266,0.000000,61.878837,19.212762,9.392781,2.694369,7,9
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",67.431939,123.016417,64.612380,31.115093,0.000000,1.452969,2.819559,94.143772,34.038206,0.000000,3.467810,35.035122,26.312436,74.401082,30.342355,49.397563,1.566667,64.612380,22.895528,4.158887,3.638308,0.422370,64.612380,20.996313,2.861710,7.257070,15,14
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",92.086337,156.734694,88.559860,7.269873,0.473527,0.170264,3.526477,93.385375,68.950351,-nan,0.000000,-nan,0.000000,88.364701,27.352909,-nan,0.000000,88.559860,2.513322,2.756524,2.000027,0.000000,88.559860,0.000000,3.275067,3.994806,5,5
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",74.225196,167.627755,71.455196,25.287793,0.487012,0.000000,2.770000,73.490893,97.230000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,71.455196,3.430597,21.508977,0.348218,0.000000,71.455196,3.430597,20.744333,1.112863,3,6
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",79.454082,152.581224,76.926498,20.446105,0.015733,0.084080,2.527584,86.034712,81.112583,-nan,0.000000,0.000000,4.633910,61.343556,11.641843,-nan,0.000000,76.926498,11.618030,8.506830,0.321245,0.000000,76.926498,10.648365,5.852891,3.944849,8,10
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",88.065265,182.143129,85.665843,11.129459,0.013179,0.792096,2.399422,89.435510,63.784149,-nan,0.000000,18.455226,4.315187,96.916109,28.709145,-nan,0.000000,85.665843,6.683454,4.088602,0.357403,0.000000,85.665843,3.314445,4.011383,3.803631,6,6
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",28.808802,118.987755,23.961871,70.923364,0.000000,0.267833,4.846932,25.253529,94.885235,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,23.961871,52.035944,13.041598,5.845822,0.000000,23.961871,60.238015,5.387956,5.297393,5,9
"Beatles/02_-_With_the_Beatles/12_-_Devil_In_Her_Heart",90.866920,144.771973,87.465182,9.119094,0.013986,0.000000,3.401738,94.416614,71.301309,-nan,0.000000,-nan,0.000000,79.633703,25.296953,-nan,0.000000,87.465182,1.501743,5.094114,2.523237,0.000000,87.465182,1.501743,3.532025,4.085326,6,6
"Beatles/02_-_With_the_Beatles/13_-_Not_A_Second_Time",73.888795,126.481996,70.827930,20.261091,1.769619,4.080495,3.060865,83.735059,37.999523,-nan,0.000000,31.292999,4.552861,74.710948,50.306255,-nan,0.000000,70.827930,14.043430,5.288209,0.830439,0.099013,70.827930,9.597635,1.293380,9.370076,6,9
"Beatles/02_-_With_the_Beatles/14_-_Money",25.857441,167.444898,24.927797,73.963970,0.002901,0.175689,0.929644,33.437002,52.539565,-nan,0.000000,6.989803,41.399536,90.128846,4.955567,-nan,0.000000,24.927797,45.329066,15.652994,12.981909,0.000000,24.927797,52.519521,4.016017,17.428432,7,6
"Beatles/03_-_A_Hard_Day's_Night/01_-_A_Hard_Day's_Night",82.129198,148.511640,78.853149,16.429695,1.441107,0.000000,3.276049,83.567645,82.675806,-nan,0.000000,44.835314,2.368719,74.497690,11.679426,-nan,0.000000,78.853149,6.303250,7.065161,3.061285,0.000000,78.853149,3.692204,9.383799,3.353692,7,8
"Beatles/03_-_A_Hard_Day's_Night/02_-_I_Should_Have_Known_Better",82.281286,164.101224,79.685258,16.842512,0.845886,0.030315,2.596028,80.775679,79.472355,-nan,0.000000,33.167614,3.391582,99.009610,14.509720,-nan,0.000000,79.685258,2.929094,13.066108,0.807926,0.039384,79.685258,2.266675,13.363757,1.212080,7,6
"Beatles/03_-_A_Hard_Day's_Night/03_-_If_I_Fell",87.462291,137.607256,83.770942,12.014832,0.050444,0.472434,3.691348,94.189667,40.514555,-nan,0.000000,96.345143,9.694157,75.396867,31.242355,88.388447,14.385150,83.770942,7.829661,2.598487,1.586684,0.000000,83.770942,8.648042,0.886145,2.480645,12,13
"Beatles/03_-_A_Hard_Day's_Night/04_-_I'm_Happy_Just_To_Dance_With_You",70.033613,108.312164,66.414000,29.613475,0.000000,0.352911,3.619613,80.137840,53.187669,-nan,0.000000,-nan,0.000000,55.533750,42.839807,-nan,0.000000,66.414000,15.080024,11.183028,2.859394,0.491030,66.414000,5.105433,8.056492,16.451550,7,10
"Beatles/03_-_A_Hard_Day's_Night/05_-_And_I_Love_Her",95.275570,151.092245,92.666003,3.779775,0.141299,0.803356,2.609567,95.979412,39.663762,-nan,0.000000,-nan,0.000000,95.913173,56.923315,-nan,0.000000,92.666003,0.187923,2.623824,0.968029,0.000000,92.666003,0.000000,2.669054,1.110721,12,12
"Beatles/03_-_A_Hard_Day's_Night/06_-_Tell_Me_Why",42.776023,129.509298,39.001934,56.034135,0.000000,1.189842,3.774089,70.646978,49.739017,-nan,0.000000,37.133484,2.521632,6.841433,42.775420,-nan,0.000000,39.001934,46.731079,6.614918,2.675095,0.013042,39.001934,34.845419,2.648638,18.540078,9,12
"Beatles/03_-_A_Hard_Day's_Night/07_-_Can't_Buy_Me_Love",32.799980,134.948571,29.504195,65.987858,0.623020,0.589142,3.295784,83.587913,14.462849,-nan,0.000000,3.339629,61.451767,76.051451,20.200457,-nan,0.000000,29.504195,59.812052,4.989724,0.602761,0.583321,29.504195,59.060477,3.784353,3.143028,7,8
