Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",175.804082,62,62,0.890096,0.895607,0.901186,0.890096
"Beatles/01_-_Please_Please_Me/02_-_Misery",110.184490,46,48,0.956036,0.963046,0.970158,0.956036
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",177.580408,74,66,0.842741,0.873571,0.842741,0.906741
"Beatles/01_-_Please_Please_Me/04_-_Chains",146.494694,41,50,0.901364,0.919928,0.939272,0.901364
"Beatles/01_-_Please_Please_Me/05_-_Boys",147.513469,52,55,0.883211,0.886037,0.883211,0.888880
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",147.774694,96,74,0.828668,0.884341,0.828668,0.948032
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",123.376327,77,77,0.939090,0.939090,0.939090,0.939090
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",142.759184,63,48,0.714245,0.785863,0.714245,0.873445
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",125.753469,67,59,0.848827,0.899360,0.848827,0.956291
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",158.066939,54,57,0.929229,0.939615,0.950235,0.929229
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",119.353469,114,104,0.849016,0.887996,0.849016,0.930726
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",125.152653,56,46,0.805270,0.856310,0.805270,0.914258
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",112.875102,62,61,0.910119,0.919039,0.910119,0.928135
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",153.155918,113,108,0.863907,0.883996,0.863907,0.905041
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",133.746939,59,63,0.908241,0.922948,0.938139,0.908241
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",124.551837,45,45,0.875826,0.882580,0.889439,0.875826
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",129.567347,71,67,0.924873,0.941082,0.924873,0.957869
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",149.394286,77,76,0.857650,0.874621,0.857650,0.892279
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",108.016327,63,54,0.857948,0.905757,0.857948,0.959209
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",136.751020,91,82,0.834457,0.869265,0.834457,0.907104
"Beatles/02_-_With_the_Beatles/07_-_Please_Mister_Postman",156.734694,41,44,0.953462,0.956312,0.959178,0.953462
"Beatles/02_-_With_the_Beatles/08_-_Roll_Over_Beethoven",167.627755,65,25,0.432117,0.594472,0.432117,0.952251
"Beatles/02_-_With_the_Beatles/09_-_Hold_Me_Tight",152.581224,85,85,0.861560,0.883447,0.861560,0.906475
"Beatles/02_-_With_the_Beatles/10_-_You_Really_Got_A_Hold_On_Me",182.909388,55,52,0.924398,0.930876,0.924398,0.937445
"Beatles/02_-_With_the_Beatles/11_-_I_Wanna_Be_Your_Man",118.987755,30,29,0.811252,0.862313,0.920233,0.811252
