Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"Beatles/01_-_Please_Please_Me/01_-_I_Saw_Her_Standing_There",175.804082,62,60,0.955180,0.961484,0.955180,0.967872
"Beatles/01_-_Please_Please_Me/02_-_Misery",110.184490,46,51,0.912084,0.933467,0.955877,0.912084
"Beatles/01_-_Please_Please_Me/03_-_Anna_(Go_To_Him)",177.580408,74,78,0.824213,0.849548,0.876490,0.824213
"Beatles/01_-_Please_Please_Me/04_-_Chains",146.494694,41,48,0.847463,0.881607,0.918618,0.847463
"Beatles/01_-_Please_Please_Me/05_-_Boys",147.513469,52,49,0.835843,0.867065,0.835843,0.900710
"Beatles/01_-_Please_Please_Me/06_-_Ask_Me_Why",147.774694,96,66,0.785416,0.860901,0.785416,0.952437
"Beatles/01_-_Please_Please_Me/07_-_Please_Please_Me",123.376327,77,59,0.841062,0.887961,0.841062,0.940398
"Beatles/01_-_Please_Please_Me/08_-_Love_Me_Do",142.759184,63,60,0.901726,0.914044,0.901726,0.926703
"Beatles/01_-_Please_Please_Me/09_-_P._S._I_Love_You",125.753469,67,64,0.947462,0.961693,0.947462,0.976359
"Beatles/01_-_Please_Please_Me/10_-_Baby_It's_You",158.066939,54,58,0.945629,0.955616,0.965817,0.945629
"Beatles/01_-_Please_Please_Me/11_-_Do_You_Want_To_Know_A_Secret",119.353469,114,78,0.729318,0.817582,0.729318,0.930153
"Beatles/01_-_Please_Please_Me/12_-_A_Taste_Of_Honey",125.152653,56,48,0.807815,0.845384,0.807815,0.886617
"Beatles/01_-_Please_Please_Me/13_-_There's_A_Place",112.875102,62,63,0.910286,0.918605,0.927077,0.910286
"Beatles/01_-_Please_Please_Me/14_-_Twist_And_Shout",153.155918,113,101,0.881624,0.923695,0.881624,0.969982
"Beatles/02_-_With_the_Beatles/01_-_It_Won't_Be_Long",133.746939,59,58,0.933891,0.939628,0.933891,0.945437
"Beatles/02_-_With_the_Beatles/02_-_All_I've_Got_To_Do",124.551837,45,51,0.849686,0.880360,0.913332,0.849686
"Beatles/02_-_With_the_Beatles/03_-_All_My_Loving",129.567347,71,65,0.884653,0.906640,0.884653,0.929747
"Beatles/02_-_With_the_Beatles/04_-_Don't_Bother_Me",149.394286,77,84,0.903035,0.925555,0.949226,0.903035
"Beatles/02_-_With_the_Beatles/05_-_Little_Child",108.016327,63,57,0.872880,0.905633,0.872880,0.940939
"Beatles/02_-_With_the_Beatles/06_-_Till_There_Was_You",136.751020,91,79,0.838880,0.893047,0.838880,0.954691
