MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",66.408203,229.663764,61.459758,31.767588,0.000000,1.824209,4.948445,53.157937,54.409019,83.818773,38.818328,61.459758,5.854117,18.627231,3.282517,61.459758,1.761641,14.291167,15.714781,9,15
"JayChou-02",74.023263,321.917800,73.914110,23.479057,0.000000,2.497680,0.109153,68.790952,58.878406,86.748801,38.514761,73.914110,4.647572,13.033869,4.268459,73.914110,1.338548,14.166649,7.973860,11,15
"JayChou-03",83.498215,195.357143,75.654496,11.593604,0.000000,4.908180,7.843719,83.397827,53.030347,91.848050,34.217753,75.654496,2.368254,5.340774,3.410859,75.654496,0.000000,6.625820,4.967784,8,11
"JayChou-04",78.184516,246.819320,73.478823,19.476235,0.000000,2.339249,4.705692,75.596314,61.991264,85.957531,30.963794,73.478823,2.159667,10.653859,3.858239,73.478823,0.046377,7.362450,12.067408,8,14
"JayChou-05",60.959642,286.002018,59.990292,34.802626,0.000000,4.237732,0.969349,54.763947,62.148904,79.509522,32.644014,59.990292,7.906553,22.917619,1.704189,59.990292,0.445750,22.322948,12.033929,18,24
"JayChou-06",78.646605,210.971882,78.471398,18.531362,0.000000,2.822033,0.175207,75.431783,66.111205,92.590151,30.891555,78.471398,5.105623,11.844149,1.581591,78.471398,0.413441,10.118789,7.999132,7,9
"JayChou-07",71.844785,222.881587,67.966243,25.239000,0.085705,2.830510,3.878543,77.766862,49.252636,67.359561,44.038312,67.966243,5.407527,8.300463,7.655489,67.966243,2.528762,11.716643,10.993595,9,14
"JayChou-08",53.149839,229.551383,52.987025,45.042109,0.000000,1.808052,0.162814,39.508802,53.560598,71.569421,44.468536,52.987025,12.258436,31.543869,0.329421,52.987025,0.925131,27.315746,16.801232,8,12
"JayChou-09",74.930987,306.033288,74.804269,21.436014,0.015175,3.617824,0.126718,78.095416,63.963608,76.959430,32.291850,74.804269,9.208727,7.495064,3.533414,74.804269,2.306909,7.733438,11.395667,15,20
"JayChou-10",70.833312,292.740385,70.701010,25.771630,0.015864,3.379195,0.132302,71.696642,55.941296,75.450275,40.547207,70.701010,5.163127,13.873104,3.975088,70.701010,1.286614,13.649592,10.835423,9,14
"JayChou-11",84.491954,226.495692,84.342031,14.159871,0.020504,1.327672,0.149923,85.403860,70.173690,86.109691,28.348714,84.342031,3.821720,7.106110,1.612251,84.342031,2.064773,5.786057,6.309041,16,20
"JayChou-12",72.732382,289.258073,68.139437,24.755107,0.000000,2.512511,4.592945,69.755200,67.219411,82.766476,25.675132,68.139437,5.509192,16.085080,2.765916,68.139437,0.000000,13.784582,10.970525,6,9
"JayChou-13",62.839499,217.481610,62.684373,34.634388,0.000000,2.526113,0.155126,66.627748,55.242391,61.501532,42.076370,62.684373,13.277240,10.615905,6.874416,62.684373,0.981718,11.930677,21.721992,9,17
"JayChou-14",62.319054,236.171678,62.096532,36.425662,0.000000,1.255284,0.222522,61.963609,70.233883,65.670528,28.288311,62.096532,10.867647,23.951417,1.606599,62.096532,1.537123,23.912089,10.976450,5,8
"JayChou-15",67.123924,256.435601,66.999331,30.586127,0.018110,2.271839,0.124593,71.527112,74.587644,59.302174,23.015923,66.999331,8.994527,15.488694,5.287966,66.999331,1.053621,15.123139,14.409368,13,17
"JayChou-16",73.854344,248.726689,73.730958,25.453842,0.018671,0.673143,0.123386,70.268676,53.879428,79.142537,45.324044,73.730958,4.426947,16.296161,3.940888,73.730958,2.527221,11.765403,11.161219,8,12
"JayChou-17",72.319594,292.381973,72.125078,27.066689,0.000000,0.613717,0.194516,74.247209,64.034304,69.917999,35.157462,72.125078,8.302243,11.317302,2.396253,72.125078,4.067420,10.896503,12.102765,13,17
"JayChou-18",82.017652,248.416961,81.878567,15.993984,0.000000,1.988364,0.139085,83.978813,65.274380,83.016674,32.598172,81.878567,3.732058,5.681126,2.931287,81.878567,2.594150,5.354659,8.045175,9,14
"JayChou-19",75.371103,225.834490,75.225681,22.913516,0.000000,1.715381,0.145422,71.543529,62.902848,85.771554,35.236348,75.225681,5.825509,10.054712,1.463416,75.225681,0.699166,7.403753,14.810598,9,16
"JayChou-20",76.218917,230.537664,75.955331,20.800483,0.000000,2.980600,0.263586,79.312978,68.445606,76.541588,28.310208,75.955331,3.683974,11.348242,3.048803,75.955331,0.072039,12.017751,8.710693,9,14
"JayChou-21",77.538856,227.925782,77.385307,21.620307,0.000000,0.840837,0.153549,82.384116,70.053555,67.947861,28.952059,77.385307,8.527252,4.872911,4.776767,77.385307,0.730784,7.645276,13.244246,9,15
"JayChou-22",71.795884,222.908798,71.527540,24.702984,0.000000,3.501132,0.268344,75.645473,45.006977,73.172986,51.223546,71.527540,9.941713,10.358588,2.331389,71.527540,2.426310,8.977640,13.299034,15,20
"JayChou-23",78.875934,252.586349,78.730517,16.011489,0.000000,5.112578,0.145416,79.148166,46.252636,86.869358,48.489370,78.730517,4.117673,4.855240,4.850671,78.730517,0.912824,6.944779,8.153885,15,23
"JayChou-24",81.712148,278.120023,81.560197,16.689021,0.000000,1.598830,0.151952,81.085129,52.897968,85.262944,45.351250,81.560197,3.712120,7.190993,2.740640,81.560197,1.535202,8.370544,6.783275,16,21
"JayChou-25",65.193067,255.530317,65.018080,31.914722,0.000000,2.892211,0.174986,46.636823,43.258629,83.547872,53.674174,65.018080,16.292230,8.418941,3.857613,65.018080,6.385644,5.675033,19.854046,9,17
"JayChou-26",71.763700,251.105986,71.591067,24.118336,0.000000,4.117964,0.172633,67.064622,55.079921,85.287640,40.629482,71.591067,5.372504,14.067020,4.364411,71.591067,2.056589,12.804840,9.256907,8,12
"JayChou-27",70.111887,292.466961,68.765338,29.636070,0.000000,0.252043,1.346548,63.464231,59.390750,79.653758,39.010659,68.765338,7.256148,13.889058,6.474270,68.765338,1.511220,14.648212,13.476639,10,13
"JayChou-28",72.502868,243.380816,72.327485,25.983570,0.000000,1.513562,0.175383,71.916196,65.821738,76.920653,32.489318,72.327485,6.996035,12.686659,2.782832,72.327485,0.480365,13.785224,11.717982,9,14
"JayChou-29",61.551098,213.463333,61.340374,33.172706,0.000000,5.276196,0.210724,57.513944,60.223643,77.876407,34.289437,61.340374,10.145391,19.661584,1.211942,61.340374,1.322472,17.819838,14.030396,10,14
