MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",87.305293,229.663764,81.031296,12.187037,0.009014,0.498656,6.273997,80.669323,54.409019,95.676220,38.818328,81.031296,2.591043,6.359561,3.236433,81.031296,0.000000,7.624282,4.562755,9,8
"JayChou-02",77.282735,321.917800,76.870620,20.522547,0.000000,2.194718,0.412115,80.876042,58.878406,75.950350,38.514761,76.870620,9.738913,9.487874,1.295759,76.870620,1.757768,9.407119,9.357660,11,11
"JayChou-03",89.503046,195.357143,77.735747,9.489779,0.022575,0.984600,11.767299,88.122005,53.030347,90.608934,34.217753,77.735747,3.544573,3.949096,1.996110,77.735747,0.000000,3.583433,5.906346,8,8
"JayChou-04",81.934761,246.819320,76.991184,15.938343,0.025532,2.101364,4.943577,80.440590,61.991264,87.602458,30.963794,76.991184,4.296595,8.682523,2.959225,76.991184,0.089854,8.501650,7.346838,8,12
"JayChou-05",77.158834,286.002018,74.218711,20.499042,0.075165,2.266959,2.940123,80.741679,62.148904,73.638745,32.644014,74.218711,9.461331,9.140336,1.897376,74.218711,2.392426,9.184097,8.922519,18,20
"JayChou-06",88.027393,210.971882,87.213841,9.788919,0.000000,2.183688,0.813552,88.399512,66.111205,93.138265,30.891555,87.213841,3.120473,4.975509,1.692937,87.213841,0.440248,4.452164,4.896507,7,8
"JayChou-07",79.116416,222.881587,73.426424,19.778838,0.085685,1.019061,5.689992,80.959518,49.252636,76.187588,44.038312,73.426424,6.229331,5.464383,8.085124,73.426424,0.583404,10.675039,8.520395,9,11
"JayChou-08",54.234906,229.551383,52.642339,45.359897,0.026899,0.378298,1.592567,36.855206,53.560598,73.990449,44.468536,52.642339,10.307863,34.729564,0.322470,52.642339,0.626398,25.433702,19.299796,8,10
"JayChou-09",83.026813,306.033288,81.458486,14.796971,0.000000,2.176215,1.568327,88.321584,63.963608,77.309955,32.291850,81.458486,6.219551,7.326542,1.250878,81.458486,2.669810,6.229771,5.897390,15,15
"JayChou-10",81.097210,292.740385,79.130109,17.358394,0.000000,1.538991,1.972506,84.607868,55.941296,78.425552,40.547207,79.130109,4.086848,6.514597,6.756949,79.130109,0.437056,4.362281,12.559057,9,10
"JayChou-11",88.558591,226.495692,87.752534,10.769871,0.000000,0.671538,0.806057,86.570053,70.173690,95.253465,28.348714,87.752534,3.475197,5.075240,2.219434,87.752534,0.857800,4.935318,4.976753,16,18
