MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",70.266984,229.663764,64.206394,27.999801,1.021152,0.712063,6.060590,-nan,0.000000,48.902293,4.720822,47.062128,12.127262,54.228549,37.560934,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.280395,38.818328,65.296186,7.783823,13.862511,5.263674,64.206394,3.117512,10.261210,14.621079,13,16
"JayChou-02",71.559471,321.917800,70.599183,26.793984,0.000000,1.646545,0.960288,-nan,0.000000,22.801839,7.257095,76.406307,7.827923,68.852455,43.793387,-nan,0.000000,81.428311,6.179378,-nan,0.000000,85.908428,32.335384,71.553167,5.248146,13.806964,6.784890,70.599183,1.717562,10.981127,14.095294,18,18
"JayChou-03",80.586924,195.357143,68.234178,19.006309,0.007614,0.399153,12.352747,-nan,0.000000,98.084489,1.752451,55.561636,8.017341,73.562633,43.260555,-nan,0.000000,-nan,0.000000,0.000000,0.454079,89.555198,33.763675,72.018688,2.656081,3.548034,9.017684,68.234178,3.784510,11.643667,3.578132,12,14
"JayChou-04",69.274926,246.819320,64.597456,28.357602,0.000000,2.367472,4.677469,-nan,0.000000,41.712291,8.514403,43.728594,11.990465,70.459751,41.486396,-nan,0.000000,0.000000,0.728718,-nan,0.000000,87.882797,30.235076,69.166324,4.191927,12.810329,6.786479,64.597456,5.160844,10.468627,12.728131,16,15
"JayChou-05",68.129263,286.002018,66.323676,28.469242,0.000000,3.401495,1.805586,-nan,0.000000,42.610736,8.518968,49.574752,17.317901,79.991131,36.312035,-nan,0.000000,-nan,0.000000,15.506784,5.130936,88.199234,27.513078,67.833727,9.124747,15.048036,2.786408,66.323676,3.480305,6.032179,18.956759,31,30
"JayChou-06",68.302511,210.971882,66.410931,30.437152,0.154678,1.105659,1.891580,-nan,0.000000,43.842441,8.079378,70.792930,18.528439,55.246236,39.503389,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.405855,30.891555,75.021045,8.136290,11.458513,2.232235,66.410931,11.667620,11.082379,7.687153,12,13
"JayChou-07",72.463490,222.881587,67.699412,25.505831,0.085705,1.944974,4.764079,-nan,0.000000,24.621871,5.422207,84.541202,10.171066,77.334093,33.659363,-nan,0.000000,64.714950,5.484726,-nan,0.000000,73.108689,38.553586,70.377659,9.098239,7.539914,6.189431,67.699412,6.063173,7.691729,11.750929,12,17
"JayChou-08",54.000280,229.551383,52.927084,45.102051,0.000000,0.897669,1.073197,-nan,0.000000,14.545116,11.295926,61.846707,4.095833,23.927008,38.168839,-nan,0.000000,0.000000,0.369300,68.720181,10.321414,96.292129,33.777823,52.927084,6.465929,38.426524,0.209597,52.927084,0.242769,15.522794,29.336488,14,18
"JayChou-09",77.557019,306.033288,75.490869,20.721443,0.043146,1.665485,2.079057,-nan,0.000000,99.331509,1.557305,49.436463,6.405206,81.568431,56.001096,-nan,0.000000,0.000000,2.640525,-nan,0.000000,84.644618,29.651325,78.988917,7.434425,4.186345,5.602624,75.490869,5.758825,4.790069,10.172548,22,23
"JayChou-10",73.071765,292.740385,70.012566,26.211658,0.264279,0.431043,3.080454,-nan,0.000000,48.657710,3.373006,39.000907,13.556059,85.294438,39.012232,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.516998,40.547207,70.240330,6.777034,11.367637,7.839223,70.012566,1.921471,3.206683,21.083504,13,15
"JayChou-11",82.126534,226.495692,81.146213,17.365940,0.010252,0.497274,0.980321,-nan,0.000000,53.268484,3.960380,64.403522,7.801993,82.196188,58.411317,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.714720,28.348714,85.121090,4.659097,5.307525,3.424442,81.146213,4.829934,4.259315,8.276691,22,25
"JayChou-12",72.350821,289.258073,66.842750,26.051794,0.000000,1.597386,5.508071,-nan,0.000000,60.751891,9.275878,71.260240,19.232298,66.532344,38.711236,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.700653,25.675132,69.791650,4.563203,14.536572,4.003118,66.842750,2.948900,10.711821,12.391072,9,9
"JayChou-13",64.419876,217.481610,62.225492,35.093269,0.000000,0.486855,2.194384,-nan,0.000000,69.942567,5.159411,98.079869,2.627626,65.654036,47.455353,-nan,0.000000,8.560111,6.485788,0.000000,7.048090,85.234848,28.542492,65.172274,15.067211,9.769752,7.309524,62.225492,3.641958,8.672154,22.779156,14,18
