MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",67.622943,229.663764,61.795337,31.432010,0.000000,0.945047,5.827606,-nan,0.000000,0.000000,4.720822,0.000000,12.127262,74.511203,37.560934,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.093482,38.818328,71.718845,2.983549,16.776305,1.748647,61.795337,10.515678,8.348723,12.567608,13,9
"JayChou-02",67.260054,321.917800,66.553968,30.818152,0.021047,1.900747,0.706086,-nan,0.000000,0.000000,7.257095,0.000000,7.827923,87.529469,43.793387,-nan,0.000000,0.000000,6.179378,-nan,0.000000,87.278535,32.335384,80.653432,4.574075,9.652934,2.491678,66.553968,15.932512,5.252140,9.633500,18,10
"JayChou-03",78.330786,195.357143,66.331853,20.810447,0.105801,0.752967,11.998932,-nan,0.000000,0.000000,1.752451,0.000000,8.017341,88.009407,43.260555,-nan,0.000000,-nan,0.000000,0.000000,0.454079,83.694963,33.763675,75.977412,4.624985,5.424114,1.115789,66.331853,9.648878,3.771150,7.390418,12,10
"JayChou-04",60.102380,246.819320,55.135790,37.773195,0.046074,2.078352,4.966590,-nan,0.000000,0.000000,8.514403,0.000000,11.990465,81.716077,41.486396,-nan,0.000000,0.000000,0.728718,-nan,0.000000,70.232120,30.235076,66.741698,9.354194,13.251369,3.561723,55.135790,11.736715,7.464235,18.572244,16,11
"JayChou-05",52.972225,286.002018,50.879412,43.913506,0.000000,3.114268,2.092813,-nan,0.000000,0.000000,8.518968,0.000000,17.317901,77.872624,36.312035,-nan,0.000000,-nan,0.000000,0.000000,5.130936,82.151032,27.513078,66.417582,9.890801,16.155476,2.329059,50.879412,16.843799,4.311555,22.758153,31,20
"JayChou-06",64.247237,210.971882,62.053900,34.948860,0.000000,0.803903,2.193337,-nan,0.000000,0.000000,8.079378,0.000000,18.528439,88.288240,39.503389,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.975674,30.891555,87.373810,4.029037,4.913176,0.686736,62.053900,25.319910,3.932594,5.696356,12,8
"JayChou-07",55.243259,222.881587,49.664628,43.527084,0.099236,1.130421,5.578631,-nan,0.000000,0.000000,5.422207,0.000000,10.171066,78.863622,33.659363,-nan,0.000000,0.000000,5.484726,-nan,0.000000,59.967536,38.553586,65.195098,9.713790,10.439911,7.842913,49.664628,19.324254,10.360483,13.842346,12,10
"JayChou-08",40.994700,229.551383,39.819599,58.175841,0.033695,0.795765,1.175101,-nan,0.000000,0.000000,11.295926,0.000000,4.095833,24.581422,38.168839,-nan,0.000000,0.000000,0.369300,0.000000,10.321414,90.109879,33.777823,48.897109,13.556690,34.667056,0.874584,39.819599,10.073982,25.942961,22.158897,14,10
"JayChou-09",78.121531,306.033288,76.543272,19.712186,0.000000,2.164060,1.580483,-nan,0.000000,0.000000,1.557305,0.000000,6.405206,89.346629,56.001096,-nan,0.000000,0.000000,2.640525,-nan,0.000000,89.399647,29.651325,83.008629,6.540779,5.215534,1.490516,76.543272,8.302426,3.315032,8.094728,22,15
"JayChou-10",61.298345,292.740385,58.613372,37.875131,0.000000,0.825594,2.685902,-nan,0.000000,0.000000,3.373006,0.000000,13.556059,73.268458,39.012232,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.061110,40.547207,66.308875,6.765888,21.681466,1.732274,58.613372,7.743614,13.443029,16.688488,13,9
"JayChou-11",73.315176,226.495692,72.487440,26.034964,0.000000,0.649860,0.827735,-nan,0.000000,0.000000,3.960380,0.000000,7.801993,87.183341,58.411317,-nan,0.000000,-nan,0.000000,-nan,0.000000,76.061661,28.348714,82.469049,5.801355,8.025682,2.226319,72.487440,10.622188,5.348913,10.063864,22,19
"JayChou-12",61.137498,289.258073,54.056257,38.838287,0.000000,0.024216,7.081241,-nan,0.000000,0.000000,9.275878,0.000000,19.232298,79.249608,38.711236,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.052128,25.675132,75.585627,3.478929,12.731171,1.098816,54.056257,22.060042,5.748792,11.029453,9,7
"JayChou-13",58.221692,217.481610,56.319981,40.982379,0.016401,0.779527,1.901712,-nan,0.000000,0.000000,5.159411,0.000000,2.627626,69.372485,47.455353,-nan,0.000000,0.000000,6.485788,0.000000,7.048090,81.979607,28.542492,67.149629,17.306564,8.468879,4.377288,56.319981,12.527970,6.625681,21.828728,14,12
"JayChou-14",50.152590,236.171678,49.072934,49.439054,0.010206,0.398150,1.079656,-nan,0.000000,0.000000,4.665214,0.000000,7.462124,51.519111,58.106545,-nan,0.000000,-nan,0.000000,-nan,0.000000,67.649704,28.288311,60.058774,11.505745,25.437172,1.510297,49.072934,10.985840,25.437172,13.016042,7,5
"JayChou-15",50.780073,256.435601,49.179047,48.159347,0.265174,0.795406,1.601026,-nan,0.000000,0.000000,5.571179,0.000000,19.112745,74.297216,49.903721,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.580867,23.015923,68.070177,12.404090,12.999131,3.864996,49.179047,20.279181,7.676122,20.204044,20,15
"JayChou-16",82.434854,248.726689,81.682469,17.521003,0.000000,0.044143,0.752385,-nan,0.000000,0.000000,0.744180,0.000000,4.045156,88.755003,49.090091,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.089047,45.324044,83.849952,6.551974,7.447975,1.353570,81.682469,2.572604,2.864449,12.083950,12,8
"JayChou-17",53.908459,292.381973,53.812694,45.379072,0.000000,0.712468,0.095765,-nan,0.000000,0.000000,2.962150,0.000000,19.951753,82.085003,41.120401,-nan,0.000000,-nan,0.000000,0.000000,1.190829,59.055048,33.966633,71.260151,10.904336,12.907672,4.119607,53.812694,22.729050,7.816469,14.833553,18,14
"JayChou-18",83.884019,248.416961,82.477973,15.373365,0.021214,0.721402,1.406046,-nan,0.000000,0.000000,5.944106,0.000000,4.538179,93.583106,54.792095,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.716499,32.598172,92.782944,0.511758,2.875213,1.681423,82.477973,10.335633,3.404040,1.633692,13,10
"JayChou-19",79.472917,225.834490,77.804577,20.333857,0.000763,0.192463,1.668340,-nan,0.000000,0.000000,3.081451,0.000000,6.163465,87.748082,53.657932,-nan,0.000000,0.000000,2.347303,-nan,0.000000,93.407304,32.889045,83.929013,3.779291,9.265429,1.164700,77.804577,6.903768,5.785215,7.644874,15,11
"JayChou-20",75.654113,230.537664,73.447814,23.308000,0.000000,1.037887,2.206299,-nan,0.000000,0.000000,3.118540,0.000000,4.053445,85.968130,61.273621,-nan,0.000000,-nan,0.000000,0.000000,1.336942,77.009686,26.973266,78.337006,7.007448,8.032686,3.378674,73.447814,5.991269,8.468107,8.848624,12,8
"JayChou-21",69.823331,227.925782,69.453388,29.548157,0.004069,0.624442,0.369944,-nan,0.000000,0.000000,2.615891,0.000000,8.616303,91.342736,58.821361,-nan,0.000000,-nan,0.000000,0.000000,9.871197,82.408998,19.080862,81.354614,10.029292,4.127930,3.489709,69.453388,13.722194,4.223667,11.602297,12,12
"JayChou-22",67.545699,222.908798,65.474527,30.755997,0.000000,1.698304,2.071172,-nan,0.000000,0.000000,9.665240,0.000000,1.874759,89.542347,33.466978,-nan,0.000000,0.000000,7.081173,-nan,0.000000,80.438378,44.142373,74.977849,9.627988,9.895793,1.728893,65.474527,12.230895,4.528549,13.996552,23,16
"JayChou-23",75.402705,252.586349,71.326444,23.415562,0.000000,1.181734,4.076260,-nan,0.000000,0.000000,0.393732,0.000000,4.106020,80.551156,41.752884,-nan,0.000000,0.000000,1.649323,0.000000,6.538084,93.528977,40.301963,80.868840,3.378086,5.530504,4.964576,71.326444,9.553761,7.918111,5.943689,21,17
"JayChou-24",74.564245,278.120023,73.407458,24.841760,0.000000,0.593995,1.156787,-nan,0.000000,0.000000,3.853456,0.000000,9.689017,82.098443,39.355494,-nan,0.000000,-nan,0.000000,0.000000,0.693334,92.026706,44.657917,85.481578,3.518449,4.833579,4.415613,73.407458,13.437012,5.771713,5.633035,24,16
"JayChou-25",67.287337,255.530317,65.815888,31.116915,0.000000,1.575950,1.491248,-nan,0.000000,0.000000,4.915490,0.000000,7.977070,63.730311,30.366069,-nan,0.000000,0.000000,0.610344,-nan,0.000000,87.561523,53.063830,69.435464,15.730338,10.465523,1.301477,65.815888,10.453393,2.900881,17.762642,11,11
"JayChou-26",75.699676,251.105986,73.049658,22.637585,0.022160,1.632045,2.658552,-nan,0.000000,0.000000,3.624735,0.000000,3.495963,87.209861,47.959223,-nan,0.000000,-nan,0.000000,0.000000,4.340661,86.044366,36.288821,80.096307,5.321203,9.251029,1.018704,73.049658,9.280097,3.881242,9.476245,11,10
"JayChou-27",70.716145,292.466961,69.329257,29.072152,0.000000,0.190164,1.408427,-nan,0.000000,0.000000,5.234671,0.000000,11.049348,83.031960,43.106732,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.968538,39.010659,77.714187,6.276570,13.936004,0.474647,69.329257,10.447315,5.610658,13.014180,14,12
