MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",74.060134,259.353900,68.647600,24.407023,0.948039,0.584804,5.412534,73.027293,94.002662,93.054623,68.647600,0.000000,24.407023,-0.000000,8,8
"JayChou-02",73.633714,334.300771,72.696407,24.764235,0.029086,1.572965,0.937307,74.568273,97.489728,97.460642,72.696407,0.000000,24.764235,0.000000,8,8
"JayChou-03",81.694462,202.197460,70.516596,17.155543,0.007357,1.142638,11.177866,80.425412,87.679496,87.672139,70.516596,0.000000,17.155543,0.000000,7,7
"JayChou-04",68.098882,265.362222,63.713263,29.734080,0.000000,2.167038,4.385620,68.180925,93.447343,93.447343,63.713263,0.000000,29.734080,0.000000,7,7
"JayChou-05",72.972666,317.449184,71.296636,24.010214,0.001893,3.015227,1.676030,74.805977,95.308743,95.306850,71.296636,0.000000,24.010214,0.000000,12,12
"JayChou-06",79.960951,231.501066,78.170007,18.834116,0.264428,0.940505,1.790944,80.365140,97.268551,97.004123,78.170007,0.000000,18.834116,-0.000000,7,7
"JayChou-07",78.796788,251.205465,74.569868,19.373766,0.103772,1.725675,4.226920,79.289660,94.047406,93.943634,74.569868,0.000000,19.373766,0.000000,7,7
"JayChou-08",53.876542,232.944807,52.825550,45.185852,0.046443,0.891163,1.050992,53.871825,98.057845,98.011402,52.825550,0.000000,45.185852,-0.000000,5,10
"JayChou-09",82.071100,326.906803,80.513332,15.919521,0.061700,1.935596,1.569851,83.438215,96.494552,96.432853,80.513332,0.000000,15.919521,-0.000000,10,10
"JayChou-10",76.719081,297.602721,73.684781,22.555995,0.305099,0.398917,3.055208,76.321004,96.545875,96.240777,73.684781,0.000000,22.555995,-0.000000,7,8
"JayChou-11",86.062146,238.204785,85.130013,13.396789,0.068235,0.472830,0.932133,86.343102,98.595037,98.526802,85.130013,0.000000,13.396789,-0.000000,12,12
"JayChou-12",75.996745,301.863061,70.726368,22.464880,0.000000,1.538375,5.270376,75.893788,93.191248,93.191248,70.726368,0.000000,22.464880,-0.000000,6,6
"JayChou-13",70.558944,239.781542,68.542785,28.993086,0.032248,0.415722,2.016159,70.251211,97.568119,97.535871,68.542785,0.000000,28.993086,0.000000,7,9
"JayChou-14",65.733147,260.263946,64.691034,33.951666,0.016293,0.298894,1.042113,65.570337,98.658993,98.642700,64.691034,0.000000,33.951666,-0.000000,5,6
"JayChou-15",78.619085,256.435601,77.027601,20.295265,0.280702,0.804948,1.591485,78.918837,97.603567,97.322866,77.027601,0.000000,20.295265,0.000000,10,10
"JayChou-16",77.873564,261.531383,77.116034,21.896532,0.229904,0.000000,0.757530,77.704670,99.242470,99.012566,77.116034,0.000000,21.896532,0.000000,7,6
"JayChou-17",79.075237,294.022517,78.964674,20.231602,0.000000,0.693161,0.110563,79.604474,99.196276,99.196276,78.964674,0.000000,20.231602,0.000000,8,8
"JayChou-18",84.967181,263.845556,83.481318,14.480058,0.035580,0.517181,1.485864,85.187664,97.996956,97.961375,83.481318,0.000000,14.480058,0.000000,8,7
"JayChou-19",82.992221,247.249410,81.518776,16.403598,0.377991,0.226189,1.473445,82.928253,98.300366,97.922375,81.518776,0.000000,16.403598,-0.000000,6,7
"JayChou-20",75.396629,243.906349,73.329165,23.604465,0.000000,0.998906,2.067464,75.648838,96.933630,96.933630,73.329165,0.000000,23.604465,0.000000,8,8
"JayChou-21",80.050371,235.893197,79.886637,19.119427,0.033135,0.797067,0.163733,80.661634,99.039200,99.006065,79.886637,0.000000,19.119427,0.000000,7,9
"JayChou-22",72.355678,255.506825,70.222219,26.489221,0.000000,1.155100,2.133459,72.610044,96.711440,96.711440,70.222219,0.000000,26.489221,0.000000,11,11
"JayChou-23",84.211655,258.666077,80.299398,14.566193,0.000000,1.222152,3.912257,84.645441,94.865591,94.865591,80.299398,0.000000,14.566193,-0.000000,11,12
"JayChou-24",86.715721,282.777256,85.640028,12.638025,0.000000,0.628188,1.093759,87.140542,98.278053,98.278053,85.640028,0.000000,12.638025,-0.000000,11,12
"JayChou-25",72.607711,263.250590,71.242423,25.769623,0.010707,1.583232,1.394014,73.428573,97.022753,97.012047,71.242423,0.000000,25.769623,0.000000,7,8
"JayChou-26",73.052553,258.221429,71.379992,24.447641,0.000000,2.475806,1.696561,74.487901,95.827633,95.827633,71.379992,0.000000,24.447641,0.000000,7,7
"JayChou-27",73.470363,299.862993,72.363040,26.077798,0.000000,0.436186,1.122977,73.509167,98.440837,98.440837,72.363040,0.000000,26.077798,0.000000,8,8
"JayChou-28",75.555279,258.075465,74.871094,23.518521,0.017608,0.887153,0.705624,76.082925,98.407223,98.389615,74.871094,0.000000,23.518521,0.000000,7,8
"JayChou-29",67.445733,242.912585,65.431888,28.185181,1.561212,2.785200,2.036519,68.746659,95.178281,93.617069,65.431888,0.000000,28.185181,-0.000000,6,6
