MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",87.360621,259.353900,81.804854,12.189825,0.007982,0.441571,5.555767,87.023976,94.002662,93.994679,81.804854,0.000000,12.189825,-0.000000,8,7
"JayChou-02",79.728337,334.300771,79.331487,18.158240,0.000000,2.113423,0.396850,81.374201,97.489728,97.489728,79.331487,0.000000,18.158240,0.000000,8,8
"JayChou-03",89.755307,202.197460,78.386094,9.271590,0.021811,0.951292,11.369212,89.400713,87.679496,87.657685,78.386094,0.000000,9.271590,0.000000,7,7
"JayChou-04",79.517485,265.362222,74.919354,18.504241,0.023748,1.954526,4.598131,80.172803,93.447343,93.423595,74.919354,0.000000,18.504241,-0.000000,7,9
"JayChou-05",80.869510,317.449184,78.220642,17.020382,0.067719,2.042389,2.648868,82.070794,95.308743,95.241023,78.220642,0.000000,17.020382,0.000000,12,12
"JayChou-06",89.018249,231.501066,88.276842,8.991709,0.000000,1.990042,0.741407,90.755790,97.268551,97.268551,88.276842,0.000000,8.991709,0.000000,7,7
"JayChou-07",81.235874,251.205465,76.187439,17.782810,0.077156,0.904160,5.048435,81.009613,94.047406,93.970249,76.187439,0.000000,17.782810,0.000000,7,8
"JayChou-08",54.901190,232.944807,53.331823,44.699515,0.026507,0.372788,1.569368,54.388124,98.057845,98.031338,53.331823,0.000000,44.699515,0.000000,5,8
"JayChou-09",84.586015,326.906803,83.117828,13.376725,0.000000,2.037261,1.468187,86.137327,96.494552,96.494552,83.117828,0.000000,13.376725,-0.000000,10,10
"JayChou-10",81.835966,297.602721,79.901004,16.644872,0.000000,1.513846,1.940278,82.759624,96.545875,96.545875,79.901004,0.000000,16.644872,0.000000,7,7
"JayChou-11",89.198026,238.204785,88.431591,10.163446,0.000000,0.638528,0.766435,89.691727,98.595037,98.595037,88.431591,0.000000,10.163446,-0.000000,12,12
"JayChou-12",88.577674,301.863061,82.587272,10.593226,0.010750,0.818349,5.990402,88.621275,93.191248,93.180499,82.587272,0.000000,10.593226,0.000000,6,7
"JayChou-13",79.156298,239.781542,77.350012,20.218107,0.000000,0.625594,1.806287,79.277957,97.568119,97.568119,77.350012,0.000000,20.218107,0.000000,7,8
"JayChou-14",82.478853,260.263946,81.249393,17.348699,0.060901,0.111547,1.229460,82.353763,98.658993,98.598091,81.249393,0.000000,17.348699,-0.000000,5,5
"JayChou-15",81.718979,256.435601,80.127507,17.476061,0.000000,0.804960,1.591472,82.094854,97.603567,97.603567,80.127507,0.000000,17.476061,0.000000,10,10
"JayChou-16",93.833364,261.531383,93.201056,6.041414,0.000000,0.125222,0.632308,93.912471,99.242470,99.242470,93.201056,0.000000,6.041414,-0.000000,7,7
"JayChou-17",84.490780,294.022517,84.490780,14.705496,0.000000,0.803724,0.000000,85.175355,99.196276,99.196276,84.490780,0.000000,14.705496,0.000000,8,9
"JayChou-18",87.756945,263.845556,86.684705,11.303079,0.009171,0.930804,1.072240,88.456528,97.996956,97.987784,86.684705,0.000000,11.303079,0.000000,8,8
"JayChou-19",84.804463,247.249410,83.575183,14.525618,0.199565,0.470354,1.229280,85.020216,98.300366,98.100801,83.575183,0.000000,14.525618,0.000000,6,7
"JayChou-20",79.688230,243.906349,77.439888,19.493742,0.000000,0.818028,2.248342,79.889598,96.933630,96.933630,77.439888,0.000000,19.493742,0.000000,8,7
"JayChou-21",85.144737,235.893197,84.987251,14.051949,0.000000,0.803314,0.157487,85.811730,99.039200,99.039200,84.987251,0.000000,14.051949,-0.000000,7,7
"JayChou-22",81.674200,255.506825,80.040574,16.670866,0.000000,1.654934,1.633626,82.762260,96.711440,96.711440,80.040574,0.000000,16.670866,-0.000000,11,11
"JayChou-23",83.985187,258.666077,81.832382,13.033209,0.000000,2.981604,2.152805,86.261395,94.865591,94.865591,81.832382,0.000000,13.033209,0.000000,11,12
"JayChou-24",87.643234,282.777256,86.822093,11.455960,0.000000,0.882751,0.839196,88.343318,98.278053,98.278053,86.822093,0.000000,11.455960,0.000000,11,11
"JayChou-25",79.851359,263.250590,78.369538,18.653215,0.000000,1.484338,1.492908,80.774391,97.022753,97.022753,78.369538,0.000000,18.653215,0.000000,7,8
"JayChou-26",84.276168,258.221429,81.938175,13.889458,0.000000,1.828360,2.344007,85.505790,95.827633,95.827633,81.938175,0.000000,13.889458,-0.000000,7,7
"JayChou-27",89.901376,299.862993,88.433308,9.895875,0.111654,0.075457,1.483705,89.833966,98.440837,98.329183,88.433308,0.000000,9.895875,0.000000,8,8
"JayChou-28",79.331087,258.075465,79.331087,19.076135,0.000000,1.571324,0.021453,80.615106,98.407223,98.407223,79.331087,0.000000,19.076135,0.000000,7,7
"JayChou-29",73.149170,242.912585,71.792697,22.868501,0.517082,3.452121,1.369598,75.429706,95.178281,94.661199,71.792697,0.000000,22.868501,0.000000,6,8
