MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",50.603258,221.561293,44.321033,47.600143,1.058495,0.738103,6.282225,56.360131,42.588892,0.000000,8.909488,39.468848,4.900371,30.499551,19.475137,72.746908,17.105784,44.321033,27.786397,12.965501,6.814686,0.033559,44.321033,23.139474,6.137540,18.323129,14,16
"JayChou-02",60.671052,317.632608,59.697808,37.660190,0.000000,1.668759,0.973243,82.423409,36.344754,24.029384,17.217927,13.639423,6.110055,54.162165,19.308450,77.884078,18.376812,59.697808,16.671759,10.515743,7.492855,0.026464,59.697808,12.245461,4.626839,20.787890,20,19
"JayChou-03",65.906143,195.357143,53.553397,33.687090,0.007614,0.399153,12.352747,59.531047,50.452094,-nan,0.000000,87.585707,2.578254,60.267339,23.033284,65.975487,11.184469,53.553397,20.240248,3.938980,9.502278,0.002078,53.553397,18.465291,10.772224,4.449575,12,17
"JayChou-04",64.505943,246.819320,59.828473,33.126585,0.000000,2.367472,4.677469,70.271278,58.050644,49.768197,1.430775,14.243567,2.509846,57.469546,18.154457,58.806308,12.809337,59.828473,12.888457,9.955146,10.205304,0.045596,59.828473,9.929826,12.815566,10.381193,13,16
"JayChou-05",51.874851,269.364354,49.957740,44.513555,0.000000,3.611593,1.917111,61.427816,52.685157,0.000000,4.236546,5.578635,8.381216,39.193978,12.692188,73.756553,16.476187,49.957740,22.216517,15.047662,3.506811,0.303073,49.957740,18.748051,9.115051,16.650453,26,32
"JayChou-06",56.161776,210.971882,54.270195,42.577887,0.154678,1.105659,1.891580,65.141667,53.326243,22.351142,5.362634,27.895789,7.422328,33.188789,4.022846,55.560285,26.868708,54.270195,27.766723,10.551137,4.137347,0.122680,54.270195,23.808355,7.472468,11.297064,12,15
"JayChou-07",57.021717,222.881587,52.257638,40.947605,0.085705,1.944974,4.764079,67.063516,35.146125,57.206838,4.536428,29.843906,9.570084,69.778998,23.567338,33.174412,20.470974,52.257638,22.389893,9.340235,3.167245,3.591568,52.257638,21.504947,8.423405,11.019253,17,22
"JayChou-08",46.655113,209.766803,45.480696,52.362552,0.000000,0.982335,1.174417,39.009195,18.714638,15.929633,13.607920,4.086344,16.858014,76.605886,36.648979,60.334655,12.013697,45.480696,16.492313,19.617768,11.806891,0.017815,45.480696,12.640957,3.470077,36.251518,12,23
"JayChou-09",60.918124,279.683492,58.657316,37.198146,0.047211,1.822395,2.274931,74.160144,36.253411,63.480037,16.446409,16.435453,11.849806,94.571057,12.015088,41.478950,19.337959,58.657316,25.008201,4.988803,6.441643,0.170042,58.657316,22.364566,1.569461,13.264119,24,28
"JayChou-10",67.135379,268.031134,63.794159,32.081984,0.288642,0.470780,3.364435,73.929759,24.137320,64.183774,18.935053,65.915905,8.807240,98.318547,5.500359,58.226450,38.784813,63.794159,18.206832,4.025652,5.258045,0.008646,63.794159,13.853021,0.818186,17.410777,12,19
