MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",57.328546,221.561293,51.287825,41.691846,0.000000,0.979607,6.040721,77.987782,42.588892,0.000000,8.909488,0.000000,4.900371,92.803934,19.475137,0.000000,17.105784,51.287825,25.762961,12.513902,3.367372,0.047611,51.287825,23.316634,5.634298,12.740914,14,9
"JayChou-02",51.672971,317.632608,50.957359,46.379308,0.021331,1.926390,0.715612,94.285672,36.344754,0.000000,17.217927,0.000000,6.110055,86.436064,19.308450,0.000000,18.376812,50.957359,33.462618,8.546854,4.369836,0.000000,50.957359,31.292845,1.876039,13.210423,20,10
"JayChou-03",76.240330,195.357143,64.241398,22.900902,0.105801,0.752967,11.998932,91.244806,50.452094,-nan,0.000000,0.000000,2.578254,79.044233,23.033284,0.000000,11.184469,64.241398,16.348429,5.436685,1.115789,0.000000,64.241398,11.739334,2.901053,8.260515,12,10
"JayChou-04",61.649171,246.819320,56.682581,36.226404,0.046074,2.078352,4.966590,76.605124,58.050644,0.000000,1.430775,0.000000,2.509846,67.271708,18.154457,0.000000,12.809337,56.682581,19.248990,11.886935,5.090479,0.000000,56.682581,10.189925,12.567126,13.469353,13,11
"JayChou-05",45.421159,269.364354,43.199081,51.272215,0.000000,3.306626,2.222079,66.113463,52.685157,0.000000,4.236546,0.000000,8.381216,65.923217,12.692188,0.000000,16.476187,43.199081,32.859075,14.204289,4.197368,0.011482,43.199081,23.931363,12.912948,14.427903,26,20
"JayChou-06",56.575357,210.971882,54.382020,42.620740,0.000000,0.803903,2.193337,95.147941,53.326243,0.000000,5.362634,0.000000,7.422328,90.562680,4.022846,0.000000,26.868708,54.382020,37.016991,2.584809,2.846496,0.172445,54.382020,32.991791,1.121115,8.507834,12,8
"JayChou-07",48.867442,222.881587,43.288811,49.902900,0.099236,1.130421,5.578631,90.104240,35.146125,0.000000,4.536428,0.000000,9.570084,49.308339,23.567338,0.000000,20.470974,43.288811,30.428174,9.236024,6.369285,3.869417,43.288811,25.700071,3.989428,20.213402,17,10
"JayChou-08",37.460884,209.766803,36.174951,61.631424,0.036873,0.870819,1.285933,74.708041,18.714638,0.000000,13.607920,0.000000,16.858014,60.557244,36.648979,0.000000,12.013697,36.174951,31.441339,15.367556,14.822528,0.000000,36.174951,17.696479,5.713947,38.220998,12,10
"JayChou-09",45.502277,279.683492,43.775325,52.127348,0.000000,2.367942,1.729384,91.347354,36.253411,0.000000,16.446409,0.000000,11.849806,88.711734,12.015088,0.000000,19.337959,43.775325,43.431107,7.149408,0.943762,0.603071,43.775325,41.097541,2.125370,8.904437,24,15
"JayChou-10",27.930175,268.031134,24.997680,71.167106,0.000000,0.901704,2.933510,81.200271,24.137320,0.000000,18.935053,0.000000,8.807240,98.141050,5.500359,0.000000,38.784813,24.997680,50.393949,17.033101,3.679642,0.060414,24.997680,44.938801,2.944331,23.283974,12,9
"JayChou-11",60.035360,222.563356,59.193000,39.303298,0.000000,0.661342,0.842360,90.596482,52.049741,0.000000,3.526464,0.000000,14.070502,70.693175,17.028187,0.000000,11.821404,59.193000,28.287688,8.677862,1.385241,0.952507,59.193000,24.530435,4.204240,10.568623,25,19
"JayChou-12",65.276488,283.100930,58.041238,34.698770,0.000000,0.024742,7.235250,77.080676,63.608405,0.000000,1.474014,0.000000,1.424049,83.231820,10.826928,0.000000,15.406611,58.041238,20.764307,12.767247,1.167216,0.000000,58.041238,17.751928,11.049976,5.896866,10,7
"JayChou-13",40.563675,211.849955,38.611410,58.619238,0.016837,0.800250,1.952265,82.898506,36.753594,0.000000,6.642649,0.000000,10.656346,61.458152,13.250040,0.000000,29.944856,38.611410,45.389257,8.387156,4.800685,0.042140,38.611410,32.066742,1.206219,25.346277,13,12
"JayChou-14",48.365149,236.171678,47.285493,51.226495,0.010206,0.398150,1.079656,86.209926,45.949836,0.000000,21.664666,0.000000,2.619381,89.294734,8.591966,0.000000,19.696345,47.285493,24.260639,22.868122,4.065790,0.031944,47.285493,12.773280,4.822772,33.630442,9,5
"JayChou-15",36.667695,187.378481,34.476621,61.880855,0.362902,1.088548,2.191074,64.896009,52.287142,0.000000,10.810235,0.000000,2.124709,5.553169,9.802562,0.000000,21.695730,34.476621,38.132154,16.646435,7.102266,0.000000,34.476621,27.424903,10.017921,24.438030,16,15
"JayChou-16",52.882286,230.529252,52.070509,47.070086,0.000000,0.047628,0.811777,87.709610,43.926172,0.000000,3.168013,0.000000,11.038358,95.704382,14.150904,0.000000,26.857148,52.070509,37.186500,8.003539,1.880047,0.000000,52.070509,31.037955,4.451297,11.580834,12,8
"JayChou-17",54.273089,259.322132,54.165115,44.923613,0.000000,0.803298,0.107974,87.059591,49.944019,0.000000,2.017645,0.000000,11.503295,62.251338,17.162774,0.000000,18.460995,54.165115,26.479459,11.137742,7.078616,0.227796,54.165115,24.364867,4.917539,15.641207,23,14
