MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",62.909936,221.561293,56.406500,36.563828,0.009344,0.516892,6.503437,72.008089,42.588892,25.878449,8.909488,38.217638,4.900371,24.466418,19.475137,98.187498,17.105784,56.406500,27.648791,4.642754,4.263942,0.008341,56.406500,24.988925,2.310649,9.264254,14,13
"JayChou-02",61.115583,317.632608,60.697908,36.660090,0.000000,2.224327,0.417675,85.995312,36.344754,47.688035,17.217927,21.314762,6.110055,16.536483,19.308450,91.076462,18.376812,60.697908,25.280527,8.975176,2.271667,0.132720,60.697908,17.915755,1.914699,16.829636,20,18
"JayChou-03",56.330104,195.357143,44.562806,42.662720,0.022575,0.984600,11.767299,57.826949,50.452094,-nan,0.000000,44.254265,2.578254,20.793060,23.033284,84.560002,11.184469,44.562806,36.455099,3.115913,3.042077,0.049631,44.562806,33.172941,1.407186,8.082593,12,11
"JayChou-04",67.185602,246.819320,62.242025,30.687501,0.025532,2.101364,4.943577,70.040725,58.050644,0.000000,1.430775,52.474787,2.509846,50.079375,18.154457,87.235259,12.809337,62.242025,18.405706,7.953028,4.328767,0.000000,62.242025,14.839012,5.306170,10.542318,13,17
"JayChou-05",60.810108,269.364354,57.688385,36.703103,0.079808,2.406981,3.121723,72.748401,52.685157,0.000000,4.236546,3.702603,8.381216,33.948385,12.692188,89.472514,16.476187,57.688385,24.577710,9.176038,2.209495,0.739860,57.688385,18.155014,6.285076,12.263013,26,23
"JayChou-06",74.489083,210.971882,73.675531,23.327229,0.000000,2.183688,0.813552,78.885267,53.326243,24.868720,5.362634,55.755707,7.422328,33.375013,4.022846,92.279711,26.868708,73.675531,16.086593,3.910117,3.074020,0.256499,73.675531,13.978558,2.442617,6.906053,12,12
"JayChou-07",61.492717,222.881587,55.802725,37.402537,0.085685,1.019061,5.689992,75.216328,35.146125,18.345703,4.536428,14.704256,9.570084,58.289990,23.567338,65.410922,20.470974,55.802725,19.641303,8.901371,4.355901,4.503962,55.802725,18.207103,6.349127,12.846307,17,18
"JayChou-08",47.678095,209.766803,45.935322,51.878490,0.029436,0.413978,1.742774,44.423319,18.714638,47.830614,13.607920,8.899942,16.858014,48.511358,36.648979,98.501203,12.013697,45.935322,21.607682,15.326160,14.944649,0.000000,45.935322,11.718934,4.024161,36.135395,12,17
"JayChou-09",59.808925,279.683492,58.092842,37.809832,0.000000,2.381243,1.716084,78.082260,36.253411,45.820208,16.446409,33.960776,11.849806,62.862358,12.015088,55.188483,19.337959,58.092842,27.732850,6.471499,3.101230,0.504252,58.092842,24.865125,2.229368,10.715338,24,23
"JayChou-10",63.809385,268.031134,61.660940,34.503845,0.000000,1.680867,2.154347,87.153410,24.137320,52.148530,18.935053,42.921966,8.807240,20.159841,5.500359,66.678127,38.784813,61.660940,21.339991,3.429813,9.617461,0.116580,61.660940,17.490532,1.898780,15.114533,12,16
"JayChou-11",58.447488,222.563356,57.627189,40.869109,0.000000,0.683403,0.820299,61.120022,52.049741,0.000000,3.526464,70.601526,14.070502,27.077103,17.028187,95.332560,11.821404,57.627189,33.394324,2.834331,3.595329,1.045125,57.627189,30.873025,3.016107,6.979977,25,31
"JayChou-12",73.615698,283.100930,67.228289,25.511718,0.000000,0.872584,6.387408,81.967144,63.608405,0.000000,1.474014,42.007723,1.424049,0.000000,10.826928,94.064074,15.406611,67.228289,15.944682,7.454333,2.109589,0.003113,67.228289,14.423294,7.366774,3.721650,10,7
"JayChou-13",69.294440,211.849955,67.250001,29.997484,0.000000,0.708077,2.044438,74.590205,36.753594,40.419275,6.642649,86.414126,10.656346,67.849492,13.250040,63.289122,29.944856,67.250001,22.091650,6.467581,1.286638,0.151615,67.250001,8.076421,2.185995,19.735068,13,14
"JayChou-14",76.234779,236.171678,74.879900,23.575180,0.067114,0.122926,1.354879,88.816638,45.949836,58.003748,21.664666,0.000000,2.619381,41.280574,8.591966,91.162443,19.696345,74.879900,12.158709,7.544781,3.871691,0.000000,74.879900,10.199844,3.405687,9.969650,9,7
"JayChou-15",66.579367,187.378481,64.401369,32.319009,0.000000,1.101623,2.177999,80.463260,52.287142,49.220858,10.810235,0.000000,2.124709,0.000000,9.802562,78.395790,21.695730,64.401369,13.267721,7.644257,11.388290,0.018741,64.401369,9.956776,2.261318,20.100915,16,17
"JayChou-16",73.132810,230.529252,72.415468,26.725127,0.000000,0.142063,0.717342,90.944062,43.926172,98.373508,3.168013,26.535911,11.038358,5.051724,14.150904,95.716581,26.857148,72.415468,21.006677,2.614103,2.942566,0.161781,72.415468,20.686143,1.537244,4.501740,12,12
"JayChou-17",64.840518,259.322132,64.840518,34.248210,0.000000,0.911272,0.000000,85.325010,49.944019,0.000000,2.017645,21.969892,11.503295,57.752771,17.162774,53.011984,18.460995,64.840518,21.056117,9.023084,3.965858,0.203151,64.840518,19.183010,3.242101,11.823099,23,22
"JayChou-18",76.784133,248.416961,75.645299,22.217511,0.009741,0.988615,1.138834,89.011712,61.983227,-nan,0.000000,12.495440,3.291153,64.100002,10.414070,60.341883,22.184101,75.645299,13.762080,4.826470,3.471598,0.157364,75.645299,11.920799,4.030194,6.266519,13,15
"JayChou-19",55.670655,222.302268,54.303423,43.584246,0.221961,0.523138,1.367232,72.624561,33.818676,53.356127,13.462610,32.791946,16.621044,28.213878,19.116788,77.636065,15.090513,54.303423,33.203614,4.500060,5.733482,0.147090,54.303423,30.267243,2.541552,10.775451,16,15
"JayChou-20",76.011593,224.323288,73.566974,23.098967,0.000000,0.889440,2.444619,82.400961,67.079815,0.000000,0.924120,0.000000,0.941506,34.037211,10.244113,84.718607,17.476387,73.566974,8.774530,8.027130,6.192166,0.105141,73.566974,5.732980,8.976203,8.389784,12,13
"JayChou-21",51.266718,224.005488,51.100874,47.887337,0.000000,0.845945,0.165844,79.123122,45.441904,15.348863,5.327210,28.249239,20.510441,18.472351,23.330241,96.483929,4.378416,51.100874,38.307384,6.236343,3.343611,0.000000,51.100874,34.064042,1.842253,11.981042,14,16
"JayChou-22",53.496003,206.578141,51.475448,44.457087,0.000000,2.046910,2.020555,78.950086,25.999616,0.000000,1.921538,23.874344,13.747594,46.400003,7.183459,51.684976,47.080327,51.475448,32.148874,7.531194,3.343187,1.433831,51.475448,25.683366,2.764427,16.009294,25,23
"JayChou-23",58.356803,238.109229,56.018138,38.404180,0.000000,3.239017,2.338665,65.043833,27.037306,77.174416,9.917855,16.186251,12.109650,29.090270,19.283619,89.009495,26.073887,56.018138,26.946246,1.517095,9.017582,0.923258,56.018138,24.977833,2.592540,10.833807,27,22
"JayChou-24",53.403523,256.668549,52.498854,45.604040,0.000000,0.972545,0.924561,62.454328,34.994575,0.000000,6.898262,67.437037,11.601010,9.994630,21.271900,88.673231,23.337147,52.498854,37.956262,2.486534,4.618122,0.543122,52.498854,36.987087,2.094458,6.522495,27,23
"JayChou-25",43.877387,255.530317,42.350797,54.582005,0.000000,1.529184,1.538013,24.732800,19.901362,17.812225,17.212960,9.465263,6.144307,57.622086,31.199470,70.315773,22.474704,42.350797,42.793078,8.801657,2.938482,0.048788,42.350797,35.866753,1.254689,17.460563,16,16
"JayChou-26",64.206441,251.105986,61.802197,33.907206,0.000000,1.880169,2.410428,86.165740,42.236992,0.000000,4.321761,24.199498,8.521169,28.500271,19.990023,85.511399,20.639459,61.802197,23.860269,6.614123,3.421041,0.011773,61.802197,22.457811,2.163358,9.286036,14,15
"JayChou-27",55.926952,277.005465,54.337745,43.974436,0.000000,0.081684,1.606136,69.328162,39.884868,56.965184,13.368974,50.527285,8.341175,0.000000,17.169467,75.999075,19.547696,54.337745,33.581479,8.067918,2.196756,0.128284,54.337745,34.053820,1.962048,7.958567,16,14
"JayChou-28",55.750989,227.923651,55.750989,42.445527,0.000000,1.779193,0.024291,73.756064,45.120522,20.130142,8.821648,58.480726,16.343421,16.887092,18.635204,86.153539,9.275722,55.750989,30.596442,2.953268,8.542039,0.353778,55.750989,26.423499,2.245789,13.776239,16,13
"JayChou-29",54.392522,209.759093,52.821652,40.995722,0.598810,3.997746,1.586070,70.634239,46.684621,0.000000,5.786381,36.664200,8.816161,9.706910,15.310113,84.897522,17.818908,52.821652,26.238285,10.978512,3.657236,0.121689,52.821652,17.281128,5.190127,18.524467,15,16
