MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",49.935016,221.561293,43.652791,48.268386,1.058495,0.738103,6.282225,-nan,0.000000,-nan,0.000000,48.554128,12.184474,57.290515,30.404418,-nan,0.000000,0.000000,4.893462,0.000000,0.386282,-nan,0.000000,0.000000,3.629745,-nan,0.000000,-nan,0.000000,-nan,0.000000,45.702821,2.407763,33.447068,2.492607,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.499551,19.475137,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.746908,17.105784,44.321033,27.786397,12.965501,6.814686,0.033559,43.652791,23.807717,5.439924,19.020745,18,22
"JayChou-02",59.704198,317.632608,58.730954,38.627044,0.000000,1.668759,0.973243,-nan,0.000000,34.797738,2.127453,76.406307,7.933530,84.416001,26.283771,-nan,0.000000,0.000000,5.227549,-nan,0.000000,-nan,0.000000,34.505681,11.990378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.639423,6.110055,-nan,0.000000,81.428311,6.262744,-nan,0.000000,41.072732,13.045706,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.884078,18.376812,59.697808,16.671759,10.515743,7.492855,0.026464,58.730954,13.212315,2.908243,22.506485,26,28
"JayChou-03",62.121633,195.357143,49.768887,37.471600,0.007614,0.399153,12.352747,-nan,0.000000,98.084489,1.752451,45.332221,8.017341,52.472951,40.682302,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.585707,2.578254,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.454079,59.484695,22.579205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.975487,11.184469,53.553397,20.240248,3.938980,9.502278,0.002078,49.768887,22.249801,10.636836,4.584963,15,23
"JayChou-04",59.953640,246.819320,55.276170,37.678888,0.000000,2.367472,4.677469,-nan,0.000000,50.137478,7.083629,43.728594,11.990465,72.243136,38.976550,-nan,0.000000,0.000000,1.430775,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.243567,2.509846,-nan,0.000000,0.000000,0.728718,-nan,0.000000,59.872835,17.425739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.806308,12.809337,59.828473,12.888457,9.955146,10.205304,0.045596,55.276170,14.482130,8.227065,14.969693,21,21
"JayChou-05",51.127977,269.364354,49.210866,45.260430,0.000000,3.611593,1.917111,-nan,0.000000,28.417771,4.808608,50.020854,16.954015,70.399872,30.922535,-nan,0.000000,0.000000,4.236546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.433550,75.202762,0.621729,0.000000,6.325937,-nan,0.000000,-nan,0.000000,15.506784,5.447855,57.007130,7.244333,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.756553,16.476187,49.957740,22.216517,15.047662,3.506811,0.303073,49.210866,19.494926,5.139116,20.626388,35,42
"JayChou-06",48.748745,210.971882,46.857165,49.990918,0.154678,1.105659,1.891580,-nan,0.000000,33.102675,6.733431,63.340080,17.859716,47.970008,28.733096,-nan,0.000000,0.000000,1.345947,-nan,0.000000,-nan,0.000000,29.840758,4.016688,-nan,0.000000,-nan,0.000000,0.000000,0.668722,-nan,0.000000,30.657950,6.753605,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.188789,4.022846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.560285,26.868708,54.270195,27.766723,10.551137,4.137347,0.122680,46.857165,31.221386,7.360214,11.409318,18,20
"JayChou-07",56.537643,222.881587,51.773564,41.431679,0.085705,1.944974,4.764079,-nan,0.000000,-nan,0.000000,85.385333,8.383299,61.324314,26.762826,-nan,0.000000,0.000000,1.830446,-nan,0.000000,-nan,0.000000,95.904096,2.705981,-nan,0.000000,0.000000,3.591761,52.446776,1.787767,63.465969,2.313951,0.000000,1.876605,-nan,0.000000,31.747476,2.750919,-nan,0.000000,74.640700,20.816418,-nan,0.000000,0.000000,2.733807,-nan,0.000000,-nan,0.000000,38.287542,17.737167,52.257638,22.389893,9.340235,3.167245,3.591568,51.773564,21.989021,6.390905,13.051753,20,32
"JayChou-08",46.655113,209.766803,45.480696,52.362552,0.000000,0.982335,1.174417,-nan,0.000000,0.000000,8.273738,27.948416,1.108984,74.909443,9.331915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.929633,13.607920,-nan,0.000000,8.384131,4.087586,10.262433,3.373155,-nan,0.000000,0.000000,9.397273,-nan,0.000000,0.000000,0.404131,68.720181,11.294899,81.416599,24.949950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.334655,12.013697,45.480696,16.492313,19.617768,11.806891,0.017815,45.480696,12.640957,0.739218,38.982377,19,28
"JayChou-09",58.898510,279.683492,56.637702,39.217760,0.047211,1.822395,2.274931,-nan,0.000000,98.372445,0.556930,27.337346,3.864435,74.058334,31.832047,-nan,0.000000,0.000000,1.147094,-nan,0.000000,98.677116,1.144240,65.779117,14.155076,-nan,0.000000,-nan,0.000000,42.099224,3.144225,-nan,0.000000,7.166380,8.705581,-nan,0.000000,0.000000,0.625553,-nan,0.000000,97.020480,11.389535,-nan,0.000000,0.000000,2.263743,-nan,0.000000,-nan,0.000000,46.978334,17.074216,58.657316,25.008201,4.988803,6.441643,0.170042,56.637702,24.384180,0.740844,14.092736,33,38
"JayChou-10",67.135379,268.031134,63.794159,32.081984,0.288642,0.470780,3.364435,-nan,0.000000,96.732957,1.853069,57.451492,5.538278,76.856153,16.745973,-nan,0.000000,0.000000,1.830887,-nan,0.000000,-nan,0.000000,71.054220,17.104166,-nan,0.000000,-nan,0.000000,69.742804,3.717314,-nan,0.000000,63.121013,5.089926,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.318547,5.500359,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.699514,64.366047,35.085299,63.794159,18.206832,4.025652,5.258045,0.008646,63.794159,13.853021,0.734524,17.494439,18,23
