MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"JayChou-01",61.719825,221.561293,55.216389,37.753939,0.009344,0.516892,6.503437,-nan,0.000000,-nan,0.000000,76.665136,12.184474,66.227522,30.404418,-nan,0.000000,0.000000,4.893462,0.000000,0.386282,-nan,0.000000,63.520652,3.629745,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.407763,75.134412,2.492607,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.466418,19.475137,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.187498,17.105784,56.406500,27.648791,4.642754,4.263942,0.008341,55.216389,26.179036,2.150557,9.424345,18,18
"JayChou-02",60.798698,317.632608,60.381023,36.976975,0.000000,2.224327,0.417675,-nan,0.000000,48.798715,2.127453,68.201367,7.933530,93.171387,26.283771,-nan,0.000000,8.156723,5.227549,-nan,0.000000,-nan,0.000000,64.922842,11.990378,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.314762,6.110055,-nan,0.000000,34.156007,6.262744,-nan,0.000000,8.078024,13.045706,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.076462,18.376812,60.697908,25.280527,8.975176,2.271667,0.132720,60.381023,18.232640,0.332858,18.411476,26,25
"JayChou-03",49.599747,195.357143,37.832449,49.393077,0.022575,0.984600,11.767299,-nan,0.000000,0.000000,1.752451,51.219828,8.017341,52.833994,40.682302,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.578254,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.454079,12.287004,22.579205,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.560002,11.184469,44.562806,36.455099,3.115913,3.042077,0.049631,37.832449,39.903298,0.697537,8.792242,15,15
"JayChou-04",64.651741,246.819320,59.708164,33.221363,0.025532,2.101364,4.943577,-nan,0.000000,52.292361,7.083629,42.644424,11.990465,75.193338,38.976550,-nan,0.000000,0.000000,1.430775,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.474787,2.509846,-nan,0.000000,0.000000,0.728718,-nan,0.000000,52.173618,17.425739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.235259,12.809337,62.242025,18.405706,7.953028,4.328767,0.000000,59.708164,17.372874,1.772984,14.075504,21,23
"JayChou-05",58.077197,269.364354,54.955473,39.436014,0.079808,2.406981,3.121723,-nan,0.000000,42.876351,4.808608,75.807140,16.954015,68.758063,30.922535,-nan,0.000000,0.000000,4.236546,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.647175,1.433550,0.000000,0.621729,0.000000,6.325937,-nan,0.000000,-nan,0.000000,0.000000,5.447855,51.456029,7.244333,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.472514,16.476187,57.688385,24.577710,9.176038,2.209495,0.739860,54.955473,20.887925,0.633760,17.914329,35,33
"JayChou-06",70.143338,210.971882,69.329786,27.672974,0.000000,2.183688,0.813552,-nan,0.000000,40.494465,6.733431,71.899512,17.859716,77.099555,28.733096,-nan,0.000000,0.000000,1.345947,-nan,0.000000,-nan,0.000000,33.201947,4.016688,-nan,0.000000,-nan,0.000000,0.000000,0.668722,-nan,0.000000,61.276475,6.753605,-nan,0.000000,-nan,0.000000,-nan,0.000000,33.375013,4.022846,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.279711,26.868708,73.675531,16.086593,3.910117,3.074020,0.256499,69.329786,18.324303,0.093415,9.255256,18,15
"JayChou-07",61.122124,222.881587,55.432132,37.773130,0.085685,1.019061,5.689992,-nan,0.000000,-nan,0.000000,66.687039,8.383299,77.868679,26.762826,-nan,0.000000,0.000000,1.830446,-nan,0.000000,-nan,0.000000,30.755554,2.705981,-nan,0.000000,0.000000,3.591761,58.274310,1.787767,0.000000,2.313951,0.000000,1.876605,-nan,0.000000,0.000000,2.750919,-nan,0.000000,65.993095,20.816418,-nan,0.000000,59.448706,2.733807,-nan,0.000000,-nan,0.000000,66.329870,17.737167,55.802725,19.641303,8.901371,4.355901,4.503962,55.432132,18.577695,5.207348,13.988086,20,25
"JayChou-08",47.182666,209.766803,45.439892,52.373920,0.029436,0.413978,1.742774,-nan,0.000000,14.448976,8.273738,0.000000,1.108984,70.968956,9.331915,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.830614,13.607920,-nan,0.000000,18.326765,4.087586,22.270875,3.373155,-nan,0.000000,0.000000,9.397273,-nan,0.000000,0.000000,0.404131,5.189208,11.294899,68.909163,24.949950,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.501203,12.013697,45.935322,21.607682,15.326160,14.944649,0.000000,45.439892,12.214364,0.876806,39.282750,19,20
"JayChou-09",58.869220,279.683492,57.153136,38.749537,0.000000,2.381243,1.716084,-nan,0.000000,0.000000,0.556930,29.972663,3.864435,84.100496,31.832047,-nan,0.000000,0.000000,1.147094,-nan,0.000000,0.000000,1.144240,53.237290,14.155076,-nan,0.000000,-nan,0.000000,11.961200,3.144225,-nan,0.000000,35.457639,8.705581,-nan,0.000000,0.000000,0.625553,-nan,0.000000,66.314979,11.389535,-nan,0.000000,0.000000,2.263743,-nan,0.000000,-nan,0.000000,62.505512,17.074216,58.092842,27.732850,6.471499,3.101230,0.504252,57.153136,25.804830,1.274902,11.669804,33,30
"JayChou-10",62.709554,268.031134,60.561109,35.603676,0.000000,1.680867,2.154347,-nan,0.000000,99.290719,1.853069,92.321396,5.538278,78.779904,16.745973,-nan,0.000000,0.000000,1.830887,-nan,0.000000,-nan,0.000000,57.730683,17.104166,-nan,0.000000,-nan,0.000000,29.657207,3.717314,-nan,0.000000,52.609589,5.089926,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.159841,5.500359,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.699514,73.113958,35.085299,61.660940,21.339991,3.429813,9.617461,0.116580,60.561109,18.590363,1.241891,15.771423,18,22
