Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"JayChou-01",259.353900,94,92,0.857061,0.867202,0.857061,0.877586
"JayChou-02",334.300771,130,133,0.922344,0.924942,0.927554,0.922344
"JayChou-03",202.197460,77,86,0.881677,0.906334,0.932410,0.881677
"JayChou-04",265.362222,122,107,0.813983,0.856525,0.813983,0.903760
"JayChou-05",317.449184,144,141,0.838370,0.867873,0.838370,0.899529
"JayChou-06",231.501066,83,83,0.875661,0.892803,0.875661,0.910631
"JayChou-07",251.205465,103,119,0.901692,0.927084,0.953948,0.901692
"JayChou-08",232.944807,148,137,0.911884,0.936931,0.911884,0.963393
"JayChou-09",326.906803,133,143,0.902695,0.905433,0.908187,0.902695
"JayChou-10",297.602721,137,133,0.944429,0.956322,0.944429,0.968518
"JayChou-11",238.204785,114,121,0.893132,0.905057,0.917306,0.893132
"JayChou-12",301.863061,128,119,0.836521,0.870985,0.836521,0.908411
"JayChou-13",239.781542,87,87,0.876884,0.890616,0.876884,0.904785
"JayChou-14",260.263946,169,112,0.691666,0.804130,0.691666,0.960268
"JayChou-15",256.435601,106,112,0.884989,0.888597,0.884989,0.892233
"JayChou-16",261.531383,104,109,0.907917,0.908589,0.909263,0.907917
"JayChou-17",294.022517,143,149,0.900215,0.905521,0.910890,0.900215
"JayChou-18",263.845556,146,123,0.824963,0.889354,0.824963,0.964648
"JayChou-19",247.249410,130,130,0.887364,0.900915,0.887364,0.914886
"JayChou-20",243.906349,187,154,0.787509,0.854406,0.787509,0.933722
"JayChou-21",235.893197,115,118,0.904927,0.908561,0.904927,0.912224
"JayChou-22",255.506825,132,142,0.878177,0.889479,0.901076,0.878177
"JayChou-23",258.666077,124,130,0.927202,0.927241,0.927280,0.927202
"JayChou-24",282.777256,136,141,0.921040,0.925602,0.921040,0.930210
"JayChou-25",263.250590,122,99,0.793575,0.857739,0.793575,0.933191
"JayChou-26",258.221429,89,101,0.884684,0.905909,0.928177,0.884684
"JayChou-27",299.862993,104,122,0.915136,0.932957,0.951486,0.915136
"JayChou-28",258.075465,110,101,0.878981,0.915320,0.878981,0.954793
"JayChou-29",242.912585,123,116,0.889565,0.896758,0.889565,0.904067
