MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",85.397962,197.812000,85.209537,12.208213,0.000000,2.393824,0.188425,87.100033,64.887873,88.202542,32.529877,85.209537,4.806066,4.875819,2.003580,85.209537,4.020475,4.044441,4.143297,15,17
"N002-M01-T02",64.058194,209.704000,63.890207,28.816446,0.000210,7.125151,0.167986,79.695635,60.126655,49.023283,32.580208,63.890207,11.151227,10.236159,4.970914,63.890207,0.000000,10.711862,18.104584,6,10
"N003-M01-T03",75.979998,192.289000,75.382825,20.254991,0.000000,3.765010,0.597174,79.489877,54.226711,77.945466,41.411105,75.382825,8.461246,7.859496,2.524496,75.382825,3.372178,8.165307,8.717507,20,24
"N004-M01-T04",60.443445,192.634000,60.251728,36.325783,0.650912,2.579860,0.191717,71.771895,32.206153,57.113911,65.022270,60.251728,14.260574,12.442239,5.240109,60.251728,4.574715,11.895034,19.856035,12,22
"N005-M01-T05",74.422822,206.861000,74.246044,23.023620,0.000000,2.553558,0.176778,84.636976,47.974244,68.245883,49.295421,74.246044,9.761015,5.732016,3.012493,74.246044,7.340983,3.824041,11.858597,10,22
"N006-M01-T06",67.951888,206.573000,65.632324,30.176422,0.000000,1.871690,2.319565,69.141493,90.086797,58.458529,5.721948,65.632324,2.647820,15.085557,8.823587,65.632324,1.101443,14.400079,14.674900,7,19
"N007-M01-T07",88.504294,284.962000,88.381462,9.014331,0.000000,2.481376,0.122831,82.340291,37.838729,96.084224,59.557064,88.381462,2.634401,3.265822,2.136335,88.381462,2.055512,4.059762,2.899056,14,19
"N008-M01-T08",92.355529,178.996000,91.255431,5.653438,0.000000,1.991032,1.100098,93.246815,71.208295,96.713652,25.700574,91.255431,1.382408,2.583541,1.687489,91.255431,0.323482,2.500730,2.829226,8,10
"N009-M01-T09",85.028937,265.877000,80.875295,12.634796,0.414920,1.921347,4.153643,94.640362,47.008579,77.555356,46.916431,80.875295,5.393795,2.806967,3.028515,80.875295,3.983313,2.670075,5.981408,15,21
"N010-M01-T10",85.422055,211.867000,83.595846,8.971925,0.005400,5.600620,1.826209,93.256891,62.916830,84.034530,29.656341,83.595846,3.272318,4.619832,1.079775,83.595846,0.000000,3.079737,5.892189,8,9
