MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",82.001556,197.812000,79.946969,17.470781,0.000000,0.527663,2.054587,76.817348,64.887873,92.535934,32.529877,79.946969,9.699708,5.045528,2.725545,79.946969,8.791578,3.139670,5.539533,15,16
"N002-M01-T02",72.876972,209.704000,70.317060,22.389803,0.000000,4.733225,2.559912,83.405516,60.126655,61.902960,32.580208,70.317060,7.430340,10.967260,3.992203,70.317060,0.282404,9.754339,12.353060,6,9
"N003-M01-T03",83.676593,192.289000,79.505057,16.132759,0.000000,0.190647,4.171537,78.961119,54.226711,88.592272,41.411105,79.505057,6.215812,6.962625,2.954322,79.505057,0.000000,8.409163,7.723596,20,21
"N004-M01-T04",73.398433,192.634000,71.012967,25.914043,0.301413,0.386110,2.385467,70.741340,32.206153,74.174437,65.022270,71.012967,13.215708,6.993118,5.705217,71.012967,0.970211,8.519971,16.423861,12,14
"N005-M01-T05",87.505011,206.861000,85.492926,11.715036,0.061702,0.718250,2.012085,83.975397,47.974244,91.704998,49.295421,85.492926,3.491313,5.408481,2.815242,85.492926,3.227239,2.062024,6.425774,10,14
"N006-M01-T06",67.186976,206.573000,63.299298,30.941446,1.568002,0.303576,3.887678,63.913194,90.086797,100.000000,5.721948,63.299298,2.291956,12.901283,15.748207,63.299298,1.927661,19.903725,9.110060,7,10
"N007-M01-T07",86.446048,284.962000,85.235283,12.066920,0.093590,1.393442,1.210765,75.093145,37.838729,95.405965,59.557064,85.235283,3.100865,5.126903,3.839152,85.235283,1.864263,4.895500,5.307156,14,11
"N008-M01-T08",93.444936,178.996000,90.431497,6.457837,0.019536,0.077691,3.013440,92.081953,71.208295,96.735222,25.700574,90.431497,1.731509,3.844435,0.881893,90.431497,0.322788,3.134603,3.000446,8,9
"N009-M01-T09",95.222692,265.877000,89.195649,4.676972,0.052389,0.047947,6.027042,94.449886,47.008579,95.480621,46.916431,89.195649,1.199933,1.636914,1.840124,89.195649,0.379074,1.878823,2.419075,15,14
"N010-M01-T10",86.650721,211.867000,82.177618,10.275207,0.120346,2.953726,4.473103,87.510277,62.916830,91.443937,29.656341,82.177618,4.050270,4.772599,1.452338,82.177618,0.000000,5.676440,4.598767,8,8
"N011-M01-T11",75.619310,263.971000,73.192621,24.226840,0.074582,0.079268,2.426689,68.092914,66.166359,89.818381,31.327684,73.192621,16.875702,6.094100,1.257038,73.192621,2.720873,4.461039,17.044929,9,10
"N012-M01-T12",85.806620,193.825000,84.094653,14.062049,0.119579,0.011753,1.711967,77.631077,57.574616,96.799134,40.701664,84.094653,3.555143,7.333770,3.173136,84.094653,0.086821,4.130671,9.844557,12,13
"N013-M01-T13",92.228996,215.565000,89.627101,7.668712,0.064612,0.037680,2.601895,92.647315,71.433210,90.430652,25.927215,89.627101,2.028633,2.113784,3.526295,89.627101,0.374328,5.223245,2.071139,8,10
"N014-M01-T14",89.010247,234.947000,87.124196,7.913438,0.123402,2.952913,1.886051,92.498272,63.690109,89.644469,31.470927,87.124196,2.542998,3.675669,1.694771,87.124196,0.582962,3.196827,4.133650,6,7
"N015-M01-T15",82.755870,162.893000,79.859355,14.903607,0.085804,2.254719,2.896515,82.610285,77.067768,91.071675,17.780997,79.859355,7.954466,1.710388,5.238753,79.859355,7.726494,4.821106,2.356006,10,11
"N016-M01-T16",74.071712,262.147000,71.314986,23.099157,1.111650,1.717481,2.756726,68.713650,48.572747,80.801741,46.953045,71.314986,11.958354,7.959670,3.181133,71.314986,4.557875,4.570215,13.971068,11,11
"N017-M02-T01",82.182559,241.440000,80.423048,17.101388,0.000000,0.716052,1.759511,78.706208,48.748757,86.220737,48.775679,80.423048,5.720910,7.989811,3.390668,80.423048,1.201878,8.541485,7.358025,12,11
"N018-M02-T02",86.994026,249.333000,84.717321,12.866188,0.083867,0.055919,2.276705,84.306422,75.124833,94.852927,22.542544,84.717321,3.213539,6.137278,3.515372,84.717321,0.859100,8.046681,3.960407,16,18
"N019-M02-T03",84.301522,287.230000,82.503584,14.719752,0.319400,0.659325,1.797939,86.221777,56.917453,82.284582,40.625283,82.503584,5.613812,6.761130,2.344810,82.503584,0.000000,5.205880,9.513872,13,13
"N020-M02-T04",91.813540,226.580000,89.692779,8.114618,0.000000,0.071842,2.120761,92.870794,64.089505,89.484677,33.717892,89.692779,3.718785,2.995567,1.400266,89.692779,0.015465,2.346243,5.752910,10,11
"N021-M02-T05",86.155066,257.993000,84.632762,10.946576,0.000000,2.898359,1.522304,87.722801,63.625757,90.188534,31.953580,84.632762,5.917002,3.604173,1.425400,84.632762,0.000000,3.819836,7.126740,7,8
"N022-M02-T06",86.224587,209.520000,82.187736,10.471194,2.449414,0.854806,4.036852,86.914700,85.495418,81.969327,9.612925,82.187736,3.296780,3.982980,3.191434,82.187736,2.449094,5.345982,2.676117,16,19
