MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",81.361596,197.812000,79.318747,18.099003,0.000000,0.539401,2.042849,85.434261,64.887873,73.416423,32.529877,79.318747,9.712758,6.604251,1.781995,79.318747,8.937779,6.249368,2.911856,15,14
"N002-M01-T02",69.979590,209.704000,66.175180,26.526437,0.005245,3.488727,3.804410,87.106624,60.126655,42.359708,32.580208,66.175180,9.207264,16.330161,0.989013,66.175180,0.012875,12.475203,14.038359,6,8
"N003-M01-T03",71.874626,192.289000,67.532204,19.145141,8.960471,0.019762,4.342422,81.763081,54.226711,56.011001,41.411105,67.532204,6.284811,8.104468,4.755862,67.532204,1.445741,7.315551,10.383849,20,19
"N004-M01-T04",58.805299,192.634000,56.431886,40.477278,0.319258,0.398164,2.373413,73.766925,32.206153,50.251088,65.022270,56.431886,28.528193,5.237912,6.711172,56.431886,8.300715,3.372717,28.803846,12,10
"N005-M01-T05",86.813851,206.861000,84.237241,11.736383,1.296039,0.153726,2.576609,90.225715,47.974244,83.074932,49.295421,84.237241,4.901359,2.996215,3.838810,84.237241,2.992831,3.660429,5.083123,10,11
"N006-M01-T06",79.109080,206.573000,75.181171,17.539562,3.088012,0.263345,3.927909,82.362234,90.086797,17.191201,5.721948,75.181171,4.712136,8.661345,4.166082,75.181171,0.000000,8.944054,8.595509,6,8
"N007-M01-T07",89.913743,284.962000,88.762712,8.633081,0.000000,1.453176,1.151031,89.544266,37.838729,92.147424,59.557064,88.762712,4.048610,1.882005,2.702466,88.762712,2.669479,2.816867,3.146735,14,11
"N008-M01-T08",91.386400,178.996000,88.529353,8.372254,0.007263,0.234083,2.857047,90.658246,71.208295,93.278699,25.700574,88.529353,0.329058,6.435339,1.607857,88.529353,0.324030,4.237525,3.810700,8,8
"N009-M01-T09",93.467280,265.877000,87.592383,6.332627,0.000000,0.200093,5.874897,96.636396,47.008579,89.872535,46.916431,87.592383,3.302279,1.407042,1.623307,87.592383,1.926455,1.414940,2.991233,15,15
"N010-M01-T10",91.126981,211.867000,84.401063,8.062133,0.109975,0.700911,6.725918,95.303076,62.916830,82.408645,29.656341,84.401063,4.600056,2.365635,1.096443,84.401063,0.000000,2.785238,5.276895,8,8
"N011-M01-T11",74.116854,263.971000,71.617337,25.819124,0.057582,0.006440,2.499517,82.751059,66.166359,53.830899,31.327684,71.617337,19.082778,6.191589,0.544757,71.617337,3.001845,6.637093,16.180186,9,9
"N012-M01-T12",89.929576,193.825000,88.229589,9.777376,0.269315,0.023733,1.699987,84.702583,57.574616,96.955254,40.701664,88.229589,2.111183,7.182252,0.483942,88.229589,0.044370,1.991487,7.741519,12,12
"N013-M01-T13",90.303157,215.565000,87.727136,9.633289,0.000000,0.063554,2.576021,88.825535,71.433210,93.632135,25.927215,87.727136,2.576949,3.136409,3.919931,87.727136,0.263958,6.109062,3.260270,8,9
"N014-M01-T14",91.266967,234.947000,89.340149,5.820887,0.000000,2.912146,1.926818,93.243695,63.690109,95.177171,31.470927,89.340149,1.928946,2.283919,1.608022,89.340149,0.000000,1.882978,3.937909,6,6
"N015-M01-T15",87.429785,162.893000,84.547525,10.050770,0.250471,2.268974,2.882260,91.259220,77.067768,79.950974,17.780997,84.547525,2.504712,2.734924,4.811134,84.547525,1.100109,4.482697,4.467964,10,10
"N016-M01-T16",74.214467,262.147000,71.550313,22.673538,1.301941,1.810053,2.664154,80.628593,48.572747,68.976975,46.953045,71.550313,16.263394,5.243241,1.166903,71.550313,5.306565,1.996590,15.370384,11,11
"N017-M02-T01",86.593357,241.440000,85.069168,12.455268,0.000000,0.951375,1.524188,87.652401,48.748757,86.804966,48.775679,85.069168,5.326375,6.075630,1.053264,85.069168,0.263419,4.685222,7.506627,12,12
"N018-M02-T02",84.479391,249.333000,82.157195,15.182507,0.327674,0.010428,2.322196,80.994175,75.124833,94.534391,22.542544,82.157195,1.996527,8.517926,4.668054,82.157195,0.000000,12.210578,2.971929,16,16
"N019-M02-T03",78.490060,287.230000,76.700205,20.038645,0.803885,0.667409,1.789855,87.127792,56.917453,66.730084,40.625283,76.700205,12.557880,3.445671,4.035094,76.700205,0.000000,3.574835,16.463809,13,13
"N020-M02-T04",85.636420,226.580000,83.525907,14.281490,0.000000,0.082090,2.110513,85.964163,64.089505,84.322888,33.717892,83.525907,3.302145,6.899550,4.079795,83.525907,0.016330,5.530497,8.734663,10,9
"N021-M02-T05",78.199409,257.993000,76.517192,19.058269,0.003876,2.738446,1.682216,85.830643,63.625757,68.558189,31.953580,76.517192,11.742954,4.911374,2.403941,76.517192,0.000000,5.724186,13.334083,7,7
"N022-M02-T06",83.137171,209.520000,79.508400,12.771096,2.828847,1.262887,3.628771,86.952493,85.495418,53.760985,9.612925,79.508400,2.869893,5.653398,4.247805,79.508400,1.675735,6.943013,4.152348,16,16
"N023-M02-T07",91.464160,201.187000,89.168783,7.721175,0.779871,0.034794,2.295377,91.849264,86.789902,86.883823,10.879928,89.168783,0.849956,2.244678,4.626541,89.168783,0.000000,5.922351,1.798824,11,11
"N024-M02-T08",76.757519,207.736000,74.796858,22.193072,1.049409,0.000000,1.960662,77.331988,83.003427,70.555467,15.035911,74.796858,1.645358,10.312608,10.235106,74.796858,0.000000,16.451169,5.741903,8,7
"N025-M02-T09",38.853434,231.439000,36.796305,59.351708,1.769797,0.025061,2.057130,64.047192,23.109329,29.402320,74.808481,36.796305,20.205324,32.108245,7.038140,36.796305,10.839141,5.076068,43.436499,11,13
"N026-M02-T10",77.154814,199.762000,74.484136,21.326879,1.518307,0.000000,2.670678,75.222977,91.261601,96.155433,6.067721,74.484136,6.401117,14.653438,0.272324,74.484136,1.348104,14.666453,5.312322,6,10
"N027-M02-T11",79.096900,291.330000,71.010881,20.330553,0.567398,0.005149,8.086019,79.362837,65.346858,72.094646,26.561974,71.010881,10.174716,5.906704,4.249133,71.010881,1.018089,7.767480,11.544983,10,12
"N028-M02-T12",62.245704,217.660000,59.001654,36.706790,0.770008,0.277497,3.244050,63.619713,58.946522,57.284679,37.531931,59.001654,25.809060,7.533309,3.364422,59.001654,5.827437,8.614812,22.264541,10,12
"N029-M02-T13",88.011829,206.954000,85.551379,10.330315,1.657856,0.000000,2.460450,87.552294,52.206771,87.890384,45.332779,85.551379,2.429525,6.694724,1.206065,85.551379,0.016912,6.040956,4.272447,9,9
"N030-M02-T14",52.982709,151.406000,49.047594,44.791488,2.225803,0.000000,3.935115,75.402851,37.667596,35.352930,58.397289,49.047594,31.054251,8.913121,4.824115,49.047594,0.000000,7.250043,37.541445,6,7
"N031-M02-T15",54.599881,250.213000,54.599881,38.173876,7.203063,0.023180,0.000000,54.876450,98.483692,37.205567,1.493128,54.599881,10.909105,25.509066,1.755704,54.599881,10.337592,24.383225,3.453058,3,8
"N032-M02-T16",78.031577,252.080000,77.076722,21.937083,0.013091,0.018248,0.954856,85.243833,83.925341,36.655459,15.101555,77.076722,13.468740,6.866471,1.601872,77.076722,11.382894,6.655427,3.898762,9,10
"N033-M03-T01",70.193336,287.013000,66.244386,27.577148,2.229516,0.000000,3.948950,57.220059,57.895984,86.793900,38.155066,66.244386,5.903565,1.412480,20.261103,66.244386,1.669611,17.357054,8.550484,8,8
"N034-M03-T02",73.719900,207.640000,71.204489,25.692063,0.427182,0.160855,2.515411,90.536420,41.694279,60.140768,55.629455,71.204489,14.244847,6.838278,4.608939,71.204489,1.261318,6.594587,17.836159,13,15
"N035-M03-T03",82.193965,174.980000,79.327923,17.565436,0.161161,0.079438,2.866042,87.277059,57.805463,73.573779,39.249057,79.327923,12.568865,3.930735,1.065836,79.327923,1.316722,2.924334,13.324380,9,8
"N036-M03-T04",80.135524,316.253000,77.588513,18.816580,1.011216,0.036679,2.547011,79.874260,73.379857,78.950484,24.036452,77.588513,2.906217,3.841228,12.069135,77.588513,0.000000,12.428657,6.387924,10,11
"N037-M03-T05",72.453123,234.179000,70.955978,26.495971,1.021014,0.029892,1.497145,74.404960,53.858800,69.220977,44.614163,70.955978,14.189146,5.614082,6.692744,70.955978,8.795409,7.227804,10.472758,10,11
