MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",82.001556,197.812000,79.946969,17.470781,0.000000,0.527663,2.054587,-nan,0.000000,0.000000,0.181991,87.831953,2.265788,76.641553,62.440095,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.535934,32.529877,79.946969,9.699708,5.045528,2.725545,79.946969,8.791578,3.081390,5.597814,17,17
"N002-M01-T02",71.326987,209.704000,68.767075,23.939788,0.000000,4.733225,2.559912,-nan,0.000000,0.000000,1.001888,26.743414,2.153988,84.293937,56.970778,-nan,0.000000,0.000000,0.575573,0.000000,0.282303,63.577019,31.722332,70.317060,7.430340,10.967260,3.992203,68.767075,1.832390,9.710327,12.397072,10,10
"N003-M01-T03",82.482557,192.289000,78.311021,17.326795,0.000000,0.190647,4.171537,-nan,0.000000,0.000000,1.516987,37.442437,8.675483,87.149611,44.034240,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.592272,41.411105,79.505057,6.215812,6.962625,2.954322,78.311021,1.194036,4.339973,11.792787,25,23
"N004-M01-T04",73.151383,192.634000,70.765916,26.161094,0.301413,0.386110,2.385467,-nan,0.000000,0.000000,1.084959,0.000000,1.446785,76.776809,29.674408,-nan,0.000000,0.000000,0.169752,0.000000,0.189478,74.204449,64.663040,71.012967,13.215708,6.993118,5.705217,70.765916,1.217261,7.107298,17.836534,16,18
"N005-M01-T05",86.634979,206.861000,84.622894,12.585069,0.061702,0.718250,2.012085,-nan,0.000000,-nan,0.000000,0.000000,0.208836,84.342547,47.765408,-nan,0.000000,-nan,0.000000,0.000000,1.072218,91.939833,48.223203,85.492926,3.491313,5.408481,2.815242,84.622894,4.097271,1.807571,6.680227,11,14
"N006-M01-T06",67.186976,206.573000,63.299298,30.941446,1.568002,0.303576,3.887678,-nan,0.000000,-nan,0.000000,-nan,0.000000,63.913194,90.086797,-nan,0.000000,-nan,0.000000,-nan,0.000000,100.000000,5.721948,63.299298,2.291956,12.901283,15.748207,63.299298,1.927661,19.903725,9.110060,7,10
"N007-M01-T07",84.404605,284.962000,83.193840,14.108363,0.093590,1.393442,1.210765,-nan,0.000000,0.000000,0.264948,32.348304,4.143009,80.985560,33.430773,-nan,0.000000,27.843593,4.828363,-nan,0.000000,97.636446,54.728701,85.235283,3.100865,5.126903,3.839152,83.193840,3.905707,3.986667,6.215990,19,13
"N008-M01-T08",91.752151,178.996000,88.738711,8.150622,0.019536,0.077691,3.013440,-nan,0.000000,0.000000,2.389998,70.973519,5.026369,94.541448,63.791928,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.735222,25.700574,90.431497,1.731509,3.844435,0.881893,88.738711,2.015573,1.265963,4.869086,11,10
"N009-M01-T09",94.584996,265.877000,88.557954,5.314667,0.052389,0.047947,6.027042,-nan,0.000000,-nan,0.000000,0.000000,0.323082,95.103516,46.685497,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.121405,46.916431,89.195649,1.199933,1.636914,1.840124,88.557954,1.016769,1.808926,2.488972,15,17
"N010-M01-T10",85.932818,211.867000,81.459715,10.993110,0.120346,2.953726,4.473103,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,90.006645,60.374197,-nan,0.000000,0.000000,1.950752,-nan,0.000000,97.882510,27.705589,82.177618,4.050270,4.772599,1.452338,81.459715,0.717903,5.556301,4.718906,10,9
