MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",80.679130,197.812000,78.636281,18.781469,0.000000,0.539401,2.042849,-nan,0.000000,0.000000,0.181991,0.000000,2.265788,87.690464,62.440095,-nan,0.000000,-nan,0.000000,-nan,0.000000,73.416423,32.529877,79.318747,9.712758,6.604251,1.781995,78.636281,9.620245,4.913251,4.247973,17,14
"N002-M01-T02",68.119349,209.704000,64.314939,28.386678,0.005245,3.488727,3.804410,-nan,0.000000,0.000000,1.001888,0.000000,2.153988,88.666611,56.970778,-nan,0.000000,0.000000,0.575573,0.000000,0.282303,43.505254,31.722332,66.175180,9.207264,16.330161,0.989013,64.314939,1.873116,12.045073,14.468489,10,8
"N003-M01-T03",64.188799,192.289000,59.846377,26.830968,8.960471,0.019762,4.342422,-nan,0.000000,0.000000,1.516987,0.000000,8.675483,83.234325,44.034240,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.011001,41.411105,67.532204,6.284811,8.104468,4.755862,59.846377,9.131568,5.636308,12.063093,25,19
"N004-M01-T04",56.291724,192.634000,53.918311,42.990853,0.319258,0.398164,2.373413,-nan,0.000000,0.000000,1.084959,0.000000,1.446785,72.800588,29.674408,-nan,0.000000,0.000000,0.169752,0.000000,0.189478,49.974712,64.663040,56.431886,28.528193,5.237912,6.711172,53.918311,10.814290,3.010891,29.165672,16,10
"N005-M01-T05",85.952886,206.861000,83.376277,12.597348,1.296039,0.153726,2.576609,-nan,0.000000,-nan,0.000000,0.000000,0.208836,90.609060,47.765408,-nan,0.000000,-nan,0.000000,0.000000,1.072218,83.147712,48.223203,84.237241,4.901359,2.996215,3.838810,83.376277,3.853796,3.456911,5.286642,11,11
"N006-M01-T06",79.109080,206.573000,75.181171,17.539562,3.088012,0.263345,3.927909,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.362234,90.086797,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.191201,5.721948,75.181171,4.712136,8.661345,4.166082,75.181171,0.000000,8.944054,8.595509,6,8
"N007-M01-T07",82.417656,284.962000,81.266625,16.129168,0.000000,1.453176,1.151031,-nan,0.000000,0.000000,0.264948,0.000000,4.143009,88.714638,33.430773,-nan,0.000000,0.000000,4.828363,-nan,0.000000,94.299033,54.728701,88.762712,4.048610,1.882005,2.702466,81.266625,10.165566,2.125547,3.838056,19,11
"N008-M01-T08",86.587968,178.996000,83.730921,13.170685,0.007263,0.234083,2.857047,-nan,0.000000,0.000000,2.389998,0.000000,5.026369,93.676052,63.791928,-nan,0.000000,-nan,0.000000,-nan,0.000000,93.278699,25.700574,88.529353,0.329058,6.435339,1.607857,83.730921,5.122461,2.512347,5.535878,11,8
"N009-M01-T09",93.467280,265.877000,87.592383,6.332627,0.000000,0.200093,5.874897,-nan,0.000000,-nan,0.000000,0.000000,0.323082,97.305158,46.685497,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.872535,46.916431,87.592383,3.302279,1.407042,1.623307,87.592383,1.926455,1.407418,2.998755,15,15
"N010-M01-T10",88.711786,211.867000,81.985868,10.477328,0.109975,0.700911,6.725918,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,95.316348,60.374197,-nan,0.000000,0.000000,1.950752,-nan,0.000000,88.211043,27.705589,84.401063,4.600056,2.365635,1.096443,81.985868,2.415194,2.657799,5.404334,10,8
"N011-M01-T11",72.095420,263.971000,69.595903,27.840558,0.057582,0.006440,2.499517,-nan,0.000000,-nan,0.000000,0.000000,2.022949,82.209426,64.143410,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.830899,31.327684,71.617337,19.082778,6.191589,0.544757,69.595903,5.023279,6.637093,16.180186,10,9
"N012-M01-T12",62.707597,193.825000,61.007610,36.999355,0.269315,0.023733,1.699987,-nan,0.000000,0.000000,4.126403,0.000000,19.647104,76.722888,33.801109,-nan,0.000000,0.000000,1.571005,0.000000,3.097640,97.339672,36.033019,88.229589,2.111183,7.182252,0.483942,61.007610,27.266349,1.221205,8.511802,17,12
"N013-M01-T13",90.047549,215.565000,87.471528,9.888897,0.000000,0.063554,2.576021,-nan,0.000000,-nan,0.000000,0.000000,2.709624,92.327735,68.723587,-nan,0.000000,-nan,0.000000,0.000000,0.262566,93.594100,25.664649,87.727136,2.576949,3.136409,3.919931,87.471528,0.519565,5.705472,3.663860,10,9
"N014-M01-T14",82.352616,234.947000,80.425798,14.735238,0.000000,2.912146,1.926818,-nan,0.000000,-nan,0.000000,0.000000,9.305077,92.806161,54.385032,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.177171,31.470927,89.340149,1.928946,2.283919,1.608022,80.425798,8.914351,1.595679,4.225208,8,6
"N015-M01-T15",87.429785,162.893000,84.547525,10.050770,0.250471,2.268974,2.882260,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.259220,77.067768,-nan,0.000000,-nan,0.000000,-nan,0.000000,79.950974,17.780997,84.547525,2.504712,2.734924,4.811134,84.547525,1.100109,4.482697,4.467964,10,10
