MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",87.839202,209.213000,85.863283,11.528476,0.166711,0.465612,1.975919,88.012126,97.558469,97.391759,85.863283,0.000000,11.528476,0.000000,12,12
"N002-M01-T02",75.247178,222.707000,73.253976,19.690841,0.187864,4.874117,1.993202,78.655500,93.132681,92.944817,73.253976,0.000000,19.690841,0.000000,6,7
"N003-M01-T03",83.843029,195.360000,79.766541,15.922260,0.017587,0.217123,4.076488,83.345054,95.706388,95.688801,79.766541,0.000000,15.922260,-0.000000,12,12
"N004-M01-T04",67.616958,242.507000,65.707735,31.846445,0.244234,0.292363,1.909223,67.186913,97.798414,97.554181,65.707735,0.000000,31.846445,-0.000000,8,8
"N005-M01-T05",87.444896,228.107000,85.579500,11.878335,0.066134,0.610635,1.865396,87.752273,97.523969,97.457835,85.579500,0.000000,11.878335,0.000000,11,10
"N006-M01-T06",70.271828,206.573000,66.569751,27.833849,1.405145,0.489177,3.702077,69.481915,95.808746,94.403600,66.569751,0.000000,27.833849,0.000000,7,8
"N007-M01-T07",84.416635,298.680000,83.261479,14.164630,0.089292,1.329443,1.155156,85.382902,97.515401,97.426110,83.261479,0.000000,14.164630,-0.000000,10,7
"N008-M01-T08",92.949292,192.187000,90.070325,7.020298,0.030410,0.000000,2.878967,92.740287,97.121033,97.090623,90.070325,0.000000,7.020298,0.000000,5,6
"N009-M01-T09",92.741569,277.040000,86.911364,7.161972,0.096459,0.000000,5.830205,92.292188,94.169795,94.073336,86.911364,0.000000,7.161972,0.000000,10,8
"N010-M01-T10",86.265955,215.693000,81.877500,10.693129,0.134280,2.906636,4.388455,88.320565,92.704909,92.570629,81.877500,0.000000,10.693129,-0.000000,6,7
"N011-M01-T11",81.694002,267.920000,79.285747,18.171749,0.073483,0.060766,2.408254,81.292885,97.530979,97.457497,79.285747,0.000000,18.171749,-0.000000,5,7
"N012-M01-T12",85.939652,204.867000,84.308838,13.935666,0.124682,0.000000,1.630814,85.706552,98.369186,98.244503,84.308838,0.000000,13.935666,0.000000,8,8
"N013-M01-T13",91.587303,219.093000,89.069698,8.269659,0.063572,0.079466,2.517605,91.444579,97.402929,97.339358,89.069698,0.000000,8.269659,-0.000000,8,9
"N014-M01-T14",92.530408,234.947000,90.629554,4.403118,0.128365,2.938109,1.900854,95.238090,95.161036,95.032671,90.629554,0.000000,4.403118,-0.000000,6,6
"N015-M01-T15",91.184689,162.893000,88.274190,6.474247,0.100329,2.240735,2.910500,93.068359,94.848766,94.748437,88.274190,0.000000,6.474247,-0.000000,7,7
"N016-M01-T16",78.589318,262.147000,75.735100,18.661386,1.129307,1.619989,2.854218,79.282357,95.525793,94.396486,75.735100,0.000000,18.661386,0.000000,8,7
"N017-M02-T01",83.304877,241.440000,81.516514,16.007923,0.000000,0.687200,1.788363,83.585732,97.524437,97.524437,81.516514,0.000000,16.007923,0.000000,8,8
"N018-M02-T02",87.218301,254.107000,84.938680,12.681091,0.091430,0.009179,2.279621,86.928294,97.711200,97.619771,84.938680,0.000000,12.681091,-0.000000,11,12
"N019-M02-T03",84.235683,289.040000,82.432819,14.808023,0.317282,0.639012,1.802865,84.496109,97.558123,97.240841,82.432819,0.000000,14.808023,-0.000000,9,9
"N020-M02-T04",91.011177,250.147000,89.043806,8.719638,0.250524,0.018661,1.967371,90.848078,98.013968,97.763444,89.043806,0.000000,8.719638,-0.000000,9,9
