MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",85.581202,209.213000,83.649678,13.382056,0.526736,0.510007,1.931524,85.743122,97.558469,97.031733,83.649678,0.000000,13.382056,-0.000000,12,12
"N002-M01-T02",70.172918,222.707000,66.590633,26.057555,0.484493,3.285034,3.582285,71.500822,93.132681,92.648188,66.590633,0.000000,26.057555,-0.000000,6,6
"N003-M01-T03",73.317977,195.360000,69.043817,17.842957,8.819615,0.019451,4.274161,72.141283,95.706388,86.886773,69.043817,0.000000,17.842957,0.000000,12,12
"N004-M01-T04",62.142948,242.507000,60.257642,37.287171,0.253601,0.316280,1.885306,61.614130,97.798414,97.544813,60.257642,0.000000,37.287171,-0.000000,8,7
"N005-M01-T05",85.620783,228.107000,83.284161,12.873345,1.366464,0.139408,2.336623,85.398658,97.523969,96.157505,83.284161,0.000000,12.873345,-0.000000,11,9
"N006-M01-T06",79.109080,206.573000,75.181171,17.539562,3.088012,0.263345,3.927909,78.470050,95.808746,92.720733,75.181171,0.000000,17.539562,0.000000,6,7
"N007-M01-T07",90.288938,298.680000,89.190773,8.324628,0.000000,1.386434,1.098165,91.463268,97.515401,97.515401,89.190773,0.000000,8.324628,0.000000,10,7
"N008-M01-T08",91.804857,192.187000,89.143907,7.970362,0.006764,0.218017,2.660950,91.786407,97.121033,97.114269,89.143907,0.000000,7.970362,0.000000,5,5
"N009-M01-T09",91.852440,277.040000,86.214265,7.955530,0.000000,0.192030,5.638175,91.551930,94.169795,94.169795,86.214265,0.000000,7.955530,-0.000000,10,8
"N010-M01-T10",91.279272,215.693000,84.672660,7.924226,0.108024,0.688479,6.606612,91.335680,92.704909,92.596885,84.672660,0.000000,7.924226,0.000000,6,7
"N011-M01-T11",77.221932,267.920000,74.759256,22.714990,0.056733,0.006345,2.462675,76.651805,97.530979,97.474246,74.759256,0.000000,22.714990,0.000000,5,6
"N012-M01-T12",87.074053,204.867000,85.465692,12.648694,0.254799,0.022454,1.608361,86.882586,98.369186,98.114386,85.465692,0.000000,12.648694,0.000000,8,7
"N013-M01-T13",90.434199,219.093000,87.899659,9.503270,0.000000,0.062531,2.534540,90.243342,97.402929,97.402929,87.899659,0.000000,9.503270,-0.000000,8,8
"N014-M01-T14",91.266967,234.947000,89.340149,5.820887,0.000000,2.912146,1.926818,93.883119,95.161036,95.161036,89.340149,0.000000,5.820887,-0.000000,6,6
"N015-M01-T15",88.529894,162.893000,85.647634,8.950661,0.250471,2.268974,2.882260,90.299155,94.848766,94.598295,85.647634,0.000000,8.950661,-0.000000,7,7
"N016-M01-T16",79.521032,262.147000,76.856878,17.366973,1.301941,1.810053,2.664154,80.456676,95.525793,94.223852,76.856878,0.000000,17.366973,-0.000000,8,8
"N017-M02-T01",86.856776,241.440000,85.332588,12.191849,0.000000,0.951375,1.524188,87.498673,97.524437,97.524437,85.332588,0.000000,12.191849,0.000000,8,8
"N018-M02-T02",83.704109,254.107000,81.425541,15.964141,0.321518,0.010232,2.278568,83.332863,97.711200,97.389682,81.425541,0.000000,15.964141,0.000000,11,11
"N019-M02-T03",78.310614,289.040000,76.531968,20.227304,0.798851,0.663230,1.778647,78.447560,97.558123,96.759272,76.531968,0.000000,20.227304,0.000000,9,9
"N020-M02-T04",80.247614,250.147000,78.335938,19.480146,0.197884,0.074356,1.911676,79.923240,98.013968,97.816084,78.335938,0.000000,19.480146,0.000000,9,7
"N021-M02-T05",77.734607,268.960000,76.120985,19.634890,0.003718,2.626785,1.613623,79.491759,95.759593,95.755874,76.120985,0.000000,19.634890,0.000000,6,6
"N022-M02-T06",84.812906,209.520000,81.184135,11.095361,2.828847,1.262887,3.628771,85.359636,95.108343,92.279496,81.184135,0.000000,11.095361,-0.000000,12,12
"N023-M02-T07",91.464160,201.187000,89.168783,7.721175,0.779871,0.034794,2.295377,91.296139,97.669830,96.889958,89.168783,0.000000,7.721175,-0.000000,10,9
"N024-M02-T08",70.305470,240.253000,68.610173,28.787154,0.907377,0.000000,1.695296,69.793378,98.304704,97.397327,68.610173,0.000000,28.787154,0.000000,7,7
"N025-M02-T09",47.098847,256.467000,45.242468,51.281451,1.597087,0.022615,1.856379,46.108850,98.121006,96.523919,45.242468,0.000000,51.281451,-0.000000,9,8
"N026-M02-T10",78.987023,207.053000,76.410388,19.275258,1.737719,0.000000,2.576635,78.431275,97.423365,95.685646,76.410388,0.000000,19.275258,0.000000,6,7
"N027-M02-T11",80.284198,318.440000,72.886572,19.191998,0.519093,0.004710,7.397626,78.713187,92.597664,92.078571,72.886572,0.000000,19.191998,-0.000000,8,7
"N028-M02-T12",65.879508,250.987000,63.066215,33.212079,0.667764,0.240650,2.813293,65.052893,96.946057,96.278293,63.066215,0.000000,33.212079,0.000000,7,8
"N029-M02-T13",86.311502,215.093000,83.944154,12.093374,1.595124,0.000000,2.367348,85.979591,97.632652,96.037528,83.944154,0.000000,12.093374,0.000000,7,7
"N030-M02-T14",60.008253,196.293000,56.972994,37.299343,2.692404,0.000000,3.035259,58.756403,96.964741,94.272338,56.972994,0.000000,37.299343,0.000000,7,7
"N031-M02-T15",64.937473,250.213000,64.937473,27.836283,7.203063,0.023180,0.000000,64.952529,99.976820,92.773757,64.937473,0.000000,27.836283,0.000000,2,6
"N032-M02-T16",89.414472,252.080000,88.459616,10.554189,0.013091,0.018248,0.954856,89.328879,99.026896,99.013805,88.459616,0.000000,10.554189,0.000000,9,8
"N033-M03-T01",71.862947,287.013000,67.913997,25.907537,2.229516,0.000000,3.948950,70.706147,96.051050,93.821534,67.913997,0.000000,25.907537,0.000000,5,5
"N034-M03-T02",74.981217,207.640000,72.465806,24.430746,0.427182,0.160855,2.515411,74.458515,97.323733,96.896552,72.465806,0.000000,24.430746,0.000000,10,11
"N035-M03-T03",75.702881,193.027000,73.104799,24.079015,0.146094,0.072011,2.598082,75.110314,97.329907,97.183814,73.104799,0.000000,24.079015,0.000000,7,6
"N036-M03-T04",80.135524,316.253000,77.588513,18.816580,1.011216,0.036679,2.547011,79.646328,97.416309,96.405093,77.588513,0.000000,18.816580,-0.000000,10,10
"N037-M03-T05",81.504096,239.107000,80.037807,17.466657,0.999971,0.029276,1.466289,81.252999,98.504435,97.504465,80.037807,0.000000,17.466657,-0.000000,8,8
"N038-M03-T06",86.799258,275.333000,82.410027,9.922530,2.400003,0.878209,4.389230,86.992294,94.732560,92.332557,82.410027,0.000000,9.922530,-0.000000,8,8
"N039-M03-T07",92.261116,288.853000,91.092701,7.646796,0.072009,0.020079,1.168414,92.188354,98.811506,98.739497,91.092701,0.000000,7.646796,0.000000,11,11
"N040-M03-T08",72.157275,226.253000,70.003050,27.756538,0.065855,0.020331,2.154226,71.559144,97.825443,97.759588,70.003050,0.000000,27.756538,-0.000000,9,9
"N041-M03-T09",96.379891,170.133000,94.514880,3.403220,0.000000,0.216889,1.865011,96.524422,97.918099,97.918099,94.514880,0.000000,3.403220,0.000000,5,5
"N042-M03-T10",67.365734,248.760000,65.420084,32.069465,0.000000,0.564801,1.945650,67.104715,97.489548,97.489548,65.420084,0.000000,32.069465,-0.000000,11,9
"N043-M03-T11",86.029358,204.307000,82.362817,13.642215,0.321085,0.007342,3.666541,85.504139,96.326117,96.005032,82.362817,0.000000,13.642215,0.000000,9,7
"N044-M03-T12",84.244148,246.080000,82.387435,14.531453,0.016661,1.207737,1.856713,84.991972,96.935549,96.918888,82.387435,0.000000,14.531453,-0.000000,7,6
"N045-M03-T13",91.467333,222.533000,89.138690,8.284165,0.243110,0.005392,2.328643,91.268939,97.665964,97.422854,89.138690,0.000000,8.284165,-0.000000,8,7
"N046-M03-T14",88.175144,199.013000,86.133569,10.817886,0.000000,1.006969,2.041575,88.841956,96.951455,96.951455,86.133569,0.000000,10.817886,0.000000,7,6
"N047-M03-T15",90.487646,210.747000,87.539087,9.430265,0.082089,0.000000,2.948559,90.198648,97.051441,96.969352,87.539087,0.000000,9.430265,-0.000000,7,6
"N048-M03-T16",82.105591,269.587000,80.954200,17.510859,0.127232,0.256318,1.151391,82.110071,98.592291,98.465060,80.954200,0.000000,17.510859,0.000000,7,8
"N049-M04-T01",68.308290,275.053000,65.041647,31.463027,0.224684,0.003999,3.266643,67.240854,96.729358,96.504674,65.041647,0.000000,31.463027,-0.000000,9,9
