MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",60.897070,186.997000,58.723655,38.544750,0.000000,0.558180,2.173415,69.810782,56.682728,21.629418,4.333759,0.000000,2.334797,88.343717,20.619047,0.000000,13.298074,58.723655,29.299499,6.516812,2.703648,0.012210,58.723655,29.851206,2.737026,5.956518,19,21
"N002-M01-T02",46.798265,200.090000,44.115353,48.241086,0.000000,4.960649,2.682912,49.736424,22.131041,68.627723,33.236544,77.944986,2.843221,76.445933,6.428607,11.430249,27.717027,44.115353,32.226481,10.420804,3.081470,1.119760,44.115353,25.135620,0.446731,22.658736,13,15
"N003-M01-T03",77.919042,190.630000,73.711202,21.888651,0.000000,0.192307,4.207840,75.455805,44.336149,52.977552,6.398783,17.716068,3.093427,89.545395,40.316844,14.929679,1.454650,73.711202,11.915786,6.647414,2.724230,0.576769,73.711202,5.949907,3.561618,12.377126,31,33
"N004-M01-T04",35.551430,189.836000,33.130804,63.750913,0.305855,0.391801,2.420626,24.666589,9.892750,70.278670,19.479972,59.007516,1.834215,65.639061,5.318801,20.485366,60.661834,33.130804,51.740361,4.096381,5.719376,1.718221,33.130804,39.369157,1.574426,22.807330,19,23
"N005-M01-T05",83.766104,201.984000,81.705436,15.435112,0.063192,0.735593,2.060668,81.353014,46.505169,0.000000,1.747663,-nan,0.000000,91.681321,47.852800,0.000000,1.098107,81.705436,6.053232,6.498274,2.860473,0.023132,81.705436,6.794424,2.041961,6.598727,12,15
"N006-M01-T06",36.924706,203.578000,32.979833,61.176182,1.591070,0.308042,3.944873,0.000000,0.193538,-nan,0.000000,36.747389,89.747419,-nan,0.000000,0.000000,5.806128,32.979833,29.853363,11.205719,20.025370,0.091730,32.979833,31.758133,0.792888,28.625161,6,13
"N007-M01-T07",65.782585,269.021000,64.500076,32.642268,0.099136,1.476011,1.282510,64.756174,11.271982,57.806843,14.191457,34.755864,8.691887,83.103771,27.797086,64.823959,35.289067,64.500076,21.970913,3.051913,3.315709,1.330179,64.500076,22.007867,1.723147,8.911253,27,23
"N008-M01-T08",80.670595,178.996000,77.657155,19.232178,0.019536,0.077691,3.013440,86.626835,51.892780,-nan,0.000000,56.491948,19.315515,95.059853,20.158551,47.449871,5.542023,77.657155,14.183062,1.940828,3.108288,0.000000,77.657155,13.097129,0.841465,5.293584,14,13
"N009-M01-T09",87.862984,264.170000,81.796996,12.036032,0.052728,0.048257,6.065988,88.738710,42.824318,88.284841,2.554037,0.000000,1.287807,95.568365,43.466707,0.000000,3.752886,81.796996,9.112396,1.049610,1.536806,0.337219,81.796996,8.356537,1.113301,2.566194,18,17
"N010-M01-T10",79.367864,211.867000,74.894761,17.558064,0.120346,2.953726,4.473103,93.111812,55.612247,43.736333,7.304583,-nan,0.000000,87.110979,17.770582,37.341370,11.885759,74.894761,11.206738,4.838536,1.375793,0.136998,74.894761,7.282857,1.633151,8.642056,11,13
"N011-M01-T11",60.091140,243.912000,57.464883,39.742357,0.080716,0.085787,2.626257,42.569234,24.742530,60.547574,23.489619,68.012705,16.246433,90.900733,14.195694,47.041503,18.613680,57.464883,22.219829,15.455798,1.424271,0.642459,57.464883,18.385052,1.061739,20.295566,17,15
"N012-M01-T12",84.452852,187.845000,82.686385,15.411635,0.123385,0.012127,1.766467,90.226116,42.922622,-nan,0.000000,44.742927,14.364503,93.503524,30.297320,86.517282,10.636961,82.686385,3.517014,6.971888,3.080757,0.111425,82.686385,3.136642,1.348084,10.926909,14,18
"N013-M01-T13",89.650144,215.565000,87.048249,10.247564,0.064612,0.037680,2.601895,92.566662,55.838378,97.794764,7.556421,77.048289,8.038411,91.910214,6.191636,81.510344,19.735579,87.048249,3.034535,2.697524,3.792063,0.723442,87.048249,2.953180,3.089572,4.204812,14,16
"N014-M01-T14",82.464471,227.492000,80.516614,14.358402,0.127446,3.049681,1.947857,91.590571,56.508800,99.832785,5.991419,-nan,0.000000,74.413714,9.038560,68.414463,23.463682,80.516614,8.506012,3.097734,2.280300,0.086510,80.516614,6.960047,2.572332,4.826022,10,11
"N015-M01-T15",72.319588,161.987000,69.406873,25.326798,0.086284,2.267330,2.912715,77.554836,74.144221,95.824297,2.236599,0.000000,0.558687,96.701092,5.573287,35.522481,12.307160,69.406873,16.543136,2.350247,5.203123,0.086414,69.406873,18.116812,2.956067,4.253919,13,18
"N016-M01-T16",53.242306,259.257000,50.454850,43.897026,1.124042,1.736626,2.787456,12.719545,8.484631,56.976036,14.248410,74.456057,25.266434,72.106110,14.301253,36.572500,33.175189,50.454850,29.629462,8.665604,3.089880,0.756637,50.454850,25.551937,1.680569,16.664520,21,20
"N017-M02-T01",70.094338,239.908000,68.323592,29.185037,0.000000,0.720625,1.770747,76.993672,36.422295,24.460362,6.171949,42.103945,5.827234,90.597874,31.542508,44.120085,17.544642,68.323592,17.296036,6.398151,5.476282,0.014568,68.323592,13.183996,4.315683,11.685358,18,18
"N018-M02-T02",78.313762,249.333000,76.037057,21.546452,0.083867,0.055919,2.276705,75.667112,59.952754,82.044681,5.149338,75.580491,10.022741,82.859110,10.261377,84.438717,12.281166,76.037057,11.893803,5.309514,3.890687,0.452449,76.037057,9.539364,5.211138,6.795950,24,27
"N019-M02-T03",67.782713,278.991000,65.931678,31.209658,0.328832,0.678796,1.851035,65.152838,30.475535,92.014697,17.541426,97.754546,7.628203,55.280129,2.969271,53.626526,38.855734,65.931678,21.259268,5.601006,3.540414,0.176264,65.931678,16.505070,2.487506,12.217082,21,25
"N020-M02-T04",83.375822,226.580000,81.255061,16.552336,0.000000,0.071842,2.120761,89.650856,58.475152,13.896375,2.800777,68.110658,2.813576,90.602300,23.661400,50.596788,10.056492,81.255061,9.847238,4.720650,1.564301,0.010195,81.255061,8.453183,1.828427,6.270726,15,17
"N021-M02-T05",78.617402,255.566000,77.080641,18.456715,0.000000,2.925883,1.536761,80.420242,52.523810,97.613109,9.561522,38.015643,1.194995,75.195395,7.328831,78.394509,24.928199,77.080641,12.269235,4.353744,1.479844,0.353892,77.080641,8.355841,3.361257,6.739616,13,12
