MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",63.805302,186.997000,61.644304,35.624101,0.000000,0.570597,2.160997,87.958866,56.682728,0.000000,4.333759,0.000000,2.334797,57.164717,20.619047,0.000000,13.298074,61.644304,26.052824,7.328995,2.241212,0.001070,61.644304,26.897758,5.333775,3.392568,19,14
"N002-M01-T02",27.089310,200.090000,23.102104,69.248838,0.005498,3.656355,3.987206,86.310465,22.131041,0.000000,33.236544,0.000000,2.843221,62.232761,6.428607,0.000000,27.717027,23.102104,50.215903,14.680894,4.149133,0.202909,23.102104,41.483333,1.223949,26.541556,13,7
"N003-M01-T03",65.169176,190.630000,60.788963,25.772439,9.038451,0.019934,4.380213,84.338247,44.336149,0.000000,6.398783,0.000000,3.093427,58.031904,40.316844,0.000000,1.454650,60.788963,13.103394,6.850968,5.727850,0.090227,60.788963,8.222211,5.108325,12.441903,31,19
"N004-M01-T04",9.356497,189.836000,6.948103,89.915506,0.323964,0.404033,2.408395,59.142705,9.892750,0.000000,19.479972,0.000000,1.834215,20.629890,5.318801,0.000000,60.661834,6.948103,71.180914,10.309425,8.351946,0.073221,6.948103,58.003751,0.745380,31.166375,19,10
"N005-M01-T05",84.776517,201.984000,82.137694,13.738712,1.327333,0.157438,2.638823,90.663558,46.505169,0.000000,1.747663,-nan,0.000000,83.536289,47.852800,0.000000,1.098107,82.137694,7.194134,2.627931,3.905260,0.011387,82.137694,5.677677,3.285904,4.775131,12,11
"N006-M01-T06",3.985696,203.578000,0.000000,92.613642,3.133443,0.267219,3.985696,0.000000,0.193538,-nan,0.000000,0.000000,89.747419,-nan,0.000000,0.000000,5.806128,0.000000,79.603886,3.928715,9.081040,0.000000,0.000000,74.822427,0.000000,17.791215,5,8
"N007-M01-T07",35.000985,269.021000,33.781749,63.459730,0.000000,1.539285,1.219236,88.045772,11.271982,0.000000,14.191457,0.000000,8.691887,85.826424,27.797086,0.000000,35.289067,33.781749,57.877638,2.647005,1.446727,1.488360,33.781749,57.355745,1.339672,4.764312,27,11
"N008-M01-T08",67.850120,178.996000,64.993072,31.908534,0.007263,0.234083,2.857047,89.400986,51.892780,-nan,0.000000,0.000000,19.315515,92.270598,20.158551,0.000000,5.542023,64.993072,23.661423,6.547632,1.699479,0.000000,64.993072,23.860310,4.173836,3.874388,14,8
"N009-M01-T09",86.588939,264.170000,80.676080,13.209676,0.000000,0.201385,5.912859,97.026403,42.824318,0.000000,2.554037,0.000000,1.287807,90.011844,43.466707,0.000000,3.752886,80.676080,10.259303,1.316576,1.633796,0.000000,80.676080,9.091873,1.199606,2.918197,18,15
"N010-M01-T10",72.517192,211.867000,65.791275,26.671922,0.109975,0.700911,6.725918,95.176704,55.612247,0.000000,7.304583,-nan,0.000000,72.374502,17.770582,0.000000,11.885759,65.791275,23.192852,2.163622,1.252201,0.063247,65.791275,18.609788,2.504873,5.557260,11,8
"N011-M01-T11",33.484207,243.912000,30.779133,66.446505,0.062318,0.006970,2.705074,72.690969,24.742530,0.000000,23.489619,0.000000,16.246433,90.122744,14.195694,0.000000,18.613680,30.779133,54.265063,10.682541,1.226262,0.272639,30.779133,41.792942,5.964856,18.688707,17,9
"N012-M01-T12",71.084139,187.845000,69.330033,28.613485,0.277889,0.024488,1.754106,93.773875,42.922622,-nan,0.000000,0.000000,14.364503,95.981515,30.297320,0.000000,10.636961,69.330033,20.712289,6.572440,1.316511,0.012244,69.330033,19.636402,1.160531,7.816551,14,12
"N013-M01-T13",58.013128,215.565000,55.437107,41.923318,0.000000,0.063554,2.576021,89.240496,55.838378,0.000000,7.556421,0.000000,8.038411,90.552184,6.191636,0.000000,19.735579,55.437107,34.866977,3.075638,3.259342,0.721360,55.437107,32.553986,3.670819,5.698513,14,9
"N014-M01-T14",64.513917,227.492000,62.523957,32.478505,0.000000,3.007578,1.989960,95.373115,56.508800,0.000000,5.991419,-nan,0.000000,95.477094,9.038560,0.000000,23.463682,62.523957,28.110879,1.949959,2.400964,0.016704,62.523957,26.480931,1.910836,4.086737,10,6
"N015-M01-T15",75.063431,161.987000,72.165050,22.403032,0.251872,2.281665,2.898381,90.912876,74.144221,0.000000,2.236599,0.000000,0.558687,85.378821,5.573287,0.000000,12.307160,72.165050,14.785754,2.780470,4.763963,0.072845,72.165050,13.403545,4.191077,4.808411,13,10
"N016-M01-T16",18.399889,259.257000,15.706037,78.453427,1.316454,1.830230,2.693852,81.138337,8.484631,0.000000,14.248410,0.000000,25.266434,61.685142,14.301253,0.000000,33.175189,15.706037,67.177743,9.026179,1.533228,0.716278,15.706037,60.900188,0.950408,16.602830,21,11
"N017-M02-T01",61.731580,239.908000,60.197659,37.310969,0.000000,0.957450,1.533921,85.624857,36.422295,0.000000,6.171949,0.000000,5.827234,91.974681,31.542508,0.000000,17.544642,60.197659,29.730147,6.197792,1.373443,0.009587,60.197659,25.166314,3.856478,8.288177,18,12
"N018-M02-T02",63.558775,249.333000,61.236579,36.103123,0.327674,0.010428,2.322196,85.469153,59.952754,0.000000,5.149338,0.000000,10.022741,97.408638,10.261377,0.000000,12.281166,61.236579,22.917143,7.784770,5.146531,0.254679,61.236579,20.920616,7.596668,7.585839,24,16
"N019-M02-T03",29.215996,278.991000,27.373284,69.269260,0.827625,0.687119,1.842712,84.431455,30.475535,0.000000,17.541426,0.000000,7.628203,55.311444,2.969271,0.000000,38.855734,27.373284,61.507719,3.204404,3.283260,1.273876,27.373284,49.309834,1.776043,18.183382,21,13
"N020-M02-T04",73.232412,226.580000,71.121900,26.685497,0.000000,0.082090,2.110513,86.717789,58.475152,0.000000,2.800777,0.000000,2.813576,86.273595,23.661400,0.000000,10.056492,71.121900,14.903345,6.284756,5.470915,0.026481,71.121900,12.420337,4.736958,9.528202,15,9
"N021-M02-T05",51.821447,255.566000,50.123256,45.410188,0.003913,2.764452,1.698191,86.559937,52.523810,0.000000,9.561522,0.000000,1.194995,63.566471,7.328831,0.000000,24.928199,50.123256,36.952098,5.346955,2.278472,0.832662,50.123256,27.120587,3.873755,14.415846,13,7
"N022-M02-T06",80.210481,209.520000,76.581711,15.697785,2.828847,1.262887,3.628771,86.625408,83.290378,0.000000,2.205040,-nan,0.000000,65.500212,6.764987,0.000000,2.847938,76.581711,5.364643,6.077224,4.051165,0.204754,76.581711,4.602425,6.943013,4.152348,21,16
"N023-M02-T07",56.169136,201.187000,53.873759,43.016199,0.779871,0.034794,2.295377,92.341472,48.104997,-nan,0.000000,0.000000,38.684905,86.883823,10.879928,-nan,0.000000,53.873759,36.144980,2.233246,2.878914,1.759060,53.873759,35.295024,2.984785,4.736390,15,11
"N024-M02-T08",50.181480,207.736000,48.220819,48.769111,1.049409,0.000000,1.960662,74.194229,59.308449,0.000000,3.512631,0.000000,20.182347,59.124038,7.133092,0.000000,7.902819,48.220819,28.221396,9.187141,10.826241,0.534332,48.220819,26.576039,13.656275,8.536797,14,7
"N025-M02-T09",12.885637,180.837000,10.252880,86.437510,0.644780,0.032073,2.632758,66.820542,8.624894,0.000000,7.727954,0.000000,8.395959,26.673894,16.831732,0.000000,55.754630,10.252880,54.616035,8.436327,23.332614,0.052533,10.252880,49.745351,2.226314,34.465845,16,12
"N026-M02-T10",75.831239,199.762000,73.160561,22.650454,1.518307,0.000000,2.670678,78.989810,85.233928,0.000000,6.027673,-nan,0.000000,96.155433,6.067721,-nan,0.000000,73.160561,7.538471,14.839659,0.259809,0.012515,73.160561,2.671679,14.645428,5.333347,7,10
"N027-M02-T11",40.917447,271.994000,32.256594,58.469304,0.607734,0.005515,8.660853,89.651968,26.504629,0.000000,29.977867,0.000000,6.400876,82.491342,10.297654,0.000000,18.152606,32.256594,47.213909,6.132488,3.480591,1.642316,32.256594,39.570358,2.173210,16.725737,17,12
"N028-M02-T12",17.939394,216.713000,14.681168,81.008523,0.773373,0.278710,3.258226,93.561542,7.467941,0.000000,24.179445,0.000000,27.119739,73.729825,10.435461,0.000000,27.260478,14.681168,62.546778,11.611671,6.458773,0.391301,14.681168,50.431215,1.399547,29.177760,16,12
"N029-M02-T13",28.745852,202.217000,26.227765,69.557456,1.696692,0.000000,2.518087,91.790933,26.397385,0.000000,8.039878,0.000000,16.649935,58.468442,3.416132,0.000000,42.978582,26.227765,62.286059,5.305686,1.945435,0.020275,26.227765,60.479584,1.779277,7.298595,13,9
"N030-M02-T14",3.935115,151.406000,0.000000,93.839082,2.225803,0.000000,3.935115,-nan,0.000000,0.000000,36.180204,0.000000,1.487392,-nan,0.000000,0.000000,58.397289,0.000000,62.436759,23.771845,6.333303,1.297174,0.000000,49.047594,0.000000,44.791488,7,7
"N031-M02-T15",55.010791,248.344000,55.010791,37.708582,7.257272,0.023355,0.000000,55.295850,98.472280,-nan,0.000000,-nan,0.000000,37.205567,1.504365,-nan,0.000000,55.010791,10.415392,25.692588,1.600602,0.000000,55.010791,10.415392,24.398415,2.894775,3,7
"N032-M02-T16",77.854558,244.276000,76.869197,22.113102,0.013509,0.018831,0.985361,85.307845,83.411796,-nan,0.000000,-nan,0.000000,46.096924,12.392130,0.000000,3.191881,76.869197,10.780429,9.608394,1.724279,0.000000,76.869197,11.746549,6.343235,4.023318,9,10
"N033-M03-T01",55.969135,275.911000,51.861289,41.711639,2.319226,0.000000,4.107846,52.192104,52.668071,0.000000,2.411647,0.000000,1.122101,84.746254,28.759636,0.000000,10.930699,51.861289,18.934729,1.661043,20.954946,0.160921,51.861289,15.152350,17.662217,8.897072,11,8
"N034-M03-T02",66.942206,201.786000,64.353820,32.452697,0.439575,0.165522,2.588386,92.872975,35.998038,0.000000,2.894155,0.000000,1.110582,63.604114,48.615365,0.000000,8.627952,64.353820,20.449387,7.531742,3.671216,0.800353,64.353820,8.779598,5.700594,17.972506,20,15
"N035-M03-T03",70.038733,173.494000,67.148143,29.718607,0.162542,0.080118,2.890590,91.617473,46.379126,0.000000,11.064936,-nan,0.000000,72.724491,33.904343,0.000000,5.680888,67.148143,23.464788,4.375944,1.877875,0.000000,67.148143,13.336484,2.128604,14.253519,11,8
"N036-M03-T04",79.284770,307.957000,76.669145,19.639105,1.038457,0.037668,2.615625,80.148183,72.446153,0.000000,0.216589,-nan,0.000000,79.583021,23.377939,0.000000,1.306026,76.669145,3.795335,3.880412,11.963359,0.000000,76.669145,0.883240,12.409525,6.346341,12,11
"N037-M03-T05",72.453123,234.179000,70.955978,26.495971,1.021014,0.029892,1.497145,77.635302,51.617780,-nan,0.000000,0.000000,2.241021,76.920622,40.148348,0.000000,4.465815,70.955978,12.083065,7.446014,5.962533,1.004360,70.955978,8.795409,6.818716,10.881847,12,11
"N038-M03-T06",60.913817,273.534000,56.495719,35.786410,2.415787,0.883985,4.418098,91.915712,49.029371,0.000000,4.508032,0.000000,0.662441,39.575448,28.881602,0.000000,11.616472,56.495719,26.982752,2.845350,5.295137,0.663172,56.495719,26.456309,3.214226,6.115876,11,11
"N039-M03-T07",69.761491,279.822000,68.555367,30.143448,0.074333,0.020727,1.206124,91.214357,57.789237,-nan,0.000000,0.000000,5.873734,89.886661,17.625848,0.000000,17.484329,68.555367,25.198876,2.605942,2.338630,0.000000,68.555367,23.719722,3.923923,2.499803,20,15
"N040-M03-T08",66.004432,224.291000,63.831362,33.908628,0.066432,0.020509,2.173070,68.761456,89.022743,-nan,0.000000,0.000000,0.874756,99.357022,2.634970,0.000000,5.273952,63.831362,6.131320,26.379569,1.397738,0.000000,63.831362,6.131320,27.717563,0.059744,12,11
"N041-M03-T09",96.537165,57.554000,91.024082,2.821698,0.000000,0.641137,5.513083,98.394144,77.144942,-nan,0.000000,-nan,0.000000,90.522264,16.700837,-nan,0.000000,91.024082,0.000000,0.820099,2.001598,0.000000,91.024082,0.000000,1.238837,1.582861,4,5
"N042-M03-T10",39.845575,244.908000,37.869322,59.580741,0.000000,0.573685,1.976252,57.362630,59.930668,0.000000,13.028974,0.000000,7.054486,37.234923,9.376991,0.000000,8.058945,37.869322,32.652261,11.590883,15.337596,0.000000,37.869322,27.414376,20.738808,11.427556,22,12
"N043-M03-T11",79.403312,201.110000,75.678484,20.589230,0.000000,0.007459,3.724827,86.632782,81.297300,0.000000,1.065089,0.000000,5.482572,71.695422,7.320372,0.000000,1.102382,75.678484,11.302770,2.674158,6.424842,0.187460,75.678484,7.264184,8.061757,5.263289,15,11
"N044-M03-T12",64.391173,231.100000,62.414106,34.305063,0.017741,1.286023,1.977066,87.547688,41.286023,0.000000,13.886629,0.000000,3.881004,92.606209,28.366508,0.000000,9.316746,62.414106,24.864994,5.553873,3.786240,0.099957,62.414106,20.985288,3.732151,9.587624,11,6
"N045-M03-T13",75.493281,217.067000,73.106000,24.251959,0.249232,0.005528,2.387281,94.309409,63.493760,0.000000,5.460987,0.000000,3.656014,84.353422,15.678569,0.000000,9.317860,73.106000,13.962970,8.807419,1.118549,0.363022,73.106000,16.455749,2.963601,4.832609,16,9
"N046-M03-T14",66.246629,192.840000,64.139701,32.714167,0.000000,1.039203,2.106928,92.036133,47.475109,0.000000,2.348061,0.000000,14.236673,80.639355,25.354180,0.000000,7.439847,64.139701,25.688135,5.210019,1.806161,0.009853,64.139701,22.852624,3.267476,6.594068,22,11
"N047-M03-T15",87.028413,194.980000,83.841420,12.882860,0.088727,0.000000,3.186994,93.567147,74.696379,0.000000,3.150067,0.000000,1.965330,98.056887,14.226587,0.000000,2.774644,83.841420,7.222279,3.923479,1.385270,0.351831,83.841420,6.566314,3.948610,2.367935,11,7
"N048-M03-T16",71.397780,255.176000,70.181365,28.197009,0.134417,0.270793,1.216415,90.447230,62.117519,0.000000,9.201492,0.000000,1.016945,65.480577,21.377010,0.000000,4.799824,70.181365,19.520253,7.404693,1.267752,0.004311,70.181365,13.991128,4.903674,9.302207,16,9
"N049-M04-T01",58.426889,233.016000,54.570931,41.303172,0.265218,0.004721,3.855958,79.038364,51.580578,0.000000,0.508120,0.000000,2.571068,78.283517,17.631407,0.000000,23.848148,54.570931,22.475281,9.289920,9.534109,0.003862,54.570931,16.820304,7.114104,17.368764,21,13
"N050-M04-T02",70.177962,193.243000,67.339050,28.089504,0.814519,0.918015,2.838913,82.340582,68.962912,0.000000,0.817106,0.000000,3.915278,53.856513,19.597605,0.000000,2.950172,67.339050,9.161005,12.083749,6.710722,0.134028,67.339050,5.309895,11.391357,11.388252,14,11
"N051-M04-T03",84.086917,338.206000,83.039331,15.627458,0.108514,0.177111,1.047586,92.164414,68.719656,0.000000,4.099277,-nan,0.000000,92.742429,21.246223,0.000000,4.710147,83.039331,11.104770,3.169666,1.324045,0.028976,83.039331,9.258558,3.473031,2.895868,9,9
"N052-M04-T04",29.400598,202.802000,27.278824,70.248814,0.000000,0.350588,2.121774,73.422109,29.734421,0.000000,10.595556,0.000000,5.319474,96.632260,5.637025,0.000000,46.241161,27.278824,53.835761,12.443664,3.925997,0.043392,27.278824,50.151379,4.128658,15.968777,13,8
"N053-M04-T05",53.863248,208.348000,52.243842,45.906848,0.229904,0.000000,1.619406,91.216070,35.577015,0.000000,19.611419,0.000000,10.218961,81.606966,24.252693,0.000000,8.720506,52.243842,37.181542,7.551308,1.104882,0.069115,52.243842,32.308925,0.623956,12.973967,22,14
"N054-M04-T06",56.748161,222.920000,55.231922,43.035170,0.000000,0.216670,1.516239,86.722418,56.378073,-nan,0.000000,0.000000,11.189664,97.799308,6.482146,0.000000,24.217208,55.231922,34.140947,4.213619,4.605240,0.075363,55.231922,33.868204,6.957653,2.209313,9,7
"N055-M04-T07",77.883511,234.974000,76.222476,22.073080,0.000000,0.043409,1.661035,98.051885,61.320827,0.000000,4.154928,0.000000,7.605097,81.666055,19.709840,0.000000,5.504864,76.222476,20.658456,1.043520,0.313652,0.057453,76.222476,18.191800,0.820091,3.061190,13,10
"N056-M04-T08",92.228140,322.960000,90.502849,7.435905,0.330691,0.005264,1.725291,94.327179,92.255078,-nan,0.000000,-nan,0.000000,99.627825,3.494241,0.000000,2.520126,90.502849,2.514863,4.435843,0.485199,0.000000,90.502849,2.483589,4.863760,0.088556,6,5
"N057-M04-T09",53.200968,236.819000,51.079939,46.677843,0.000000,0.121190,2.121029,82.369335,42.576820,0.000000,21.435358,0.000000,8.323656,92.769581,17.257484,0.000000,8.164463,51.079939,32.988907,7.701240,4.656299,1.331397,51.079939,33.532782,7.235061,5.909999,16,10
"N058-M04-T10",38.205504,179.393000,31.305569,60.839052,0.842842,0.112602,6.899935,84.989102,7.928403,0.000000,38.036044,0.000000,13.591389,92.299315,26.616981,0.000000,6.814647,31.305569,40.572932,19.559292,0.216285,0.490543,31.305569,40.567915,0.921998,19.349138,14,10
"N059-M04-T11",22.273709,205.013000,20.267007,77.358997,0.316565,0.050728,2.006702,53.051632,21.378644,0.000000,9.565247,0.000000,3.561725,66.922683,13.336715,0.000000,50.100238,20.267007,56.335452,8.078024,12.847478,0.098043,20.267007,54.674094,9.716945,12.967958,13,9
"N060-M04-T12",17.208247,230.529000,14.689258,81.663478,0.086757,1.041518,2.518989,-nan,0.000000,0.000000,38.995094,0.000000,24.509281,91.864250,15.990179,0.000000,16.944940,14.689258,73.991992,5.294345,2.314676,0.062465,14.689258,75.886765,0.557847,5.218866,11,12
"N061-M04-T13",28.817630,283.160000,28.817630,66.271719,4.894759,0.015892,0.000000,76.193584,15.149032,0.000000,2.695649,-nan,0.000000,50.681227,34.085676,0.000000,48.053751,28.817630,50.680534,8.677073,6.739652,0.174460,28.817630,34.787399,4.013985,27.470335,8,7
"N062-M04-T14",6.767923,187.709000,3.975302,92.892190,0.332962,0.006926,2.792620,55.719557,4.331172,0.000000,82.672115,0.000000,0.383040,88.767787,1.759639,0.000000,8.054489,3.975302,87.489678,3.982761,1.394179,0.025571,3.975302,85.907975,0.189655,6.794560,11,8
"N063-M04-T15",60.961236,242.646000,57.194431,38.449841,0.000000,0.588924,3.766804,88.285040,47.660790,0.000000,9.102149,0.000000,3.861180,92.950359,16.263610,0.000000,18.756542,57.194431,29.456080,4.179752,4.384989,0.429020,57.194431,26.841160,5.195635,6.413046,17,10
"N064-M04-T16",41.867689,270.409000,41.000854,57.920409,0.211901,0.000000,0.866835,91.737230,32.318451,0.000000,0.888654,0.000000,18.426532,61.297472,18.520833,0.000000,28.978695,41.000854,50.438040,3.893731,3.585679,0.002958,41.000854,41.308536,3.435906,13.175967,16,9
"N065-M05-T01",17.139203,222.064000,15.187063,82.305101,0.534981,0.020715,1.952140,90.968490,14.748901,0.000000,44.244002,0.000000,9.953887,71.265410,2.483969,0.000000,26.596387,15.187063,68.025884,13.004359,1.152370,0.122487,15.187063,65.210930,1.320340,15.773831,26,17
