MirexSevenths
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","maj7 correct (%)","maj7 proportion (%)","7 correct (%)","7 proportion (%)","min correct (%)","min proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",76.342936,186.997000,74.181939,22.589774,0.496692,0.570597,2.160997,81.508845,56.682728,21.201876,4.333759,0.000000,2.334797,91.746765,20.619047,61.244621,13.298074,74.181939,10.671722,8.066814,2.708814,0.000000,74.181939,12.206773,4.027551,6.355450,19,21
"N002-M01-T02",59.190914,200.090000,56.995402,35.361038,0.000000,5.448048,2.195512,48.633982,22.131041,78.753440,33.236544,44.079803,2.843221,23.016404,6.428607,62.504373,27.717027,56.995402,23.006447,7.404318,3.829527,1.120746,56.995402,15.294767,3.946524,16.119746,13,13
"N003-M01-T03",72.969575,190.630000,69.979751,25.620102,0.000000,1.410324,2.989823,89.566838,44.336149,13.515330,6.398783,6.301509,3.093427,69.008145,40.316844,95.391273,1.454650,69.979751,14.909983,5.541887,4.798510,0.369721,69.979751,11.190211,3.557677,10.872213,31,28
"N004-M01-T04",50.547262,189.836000,48.138867,48.816241,0.232464,0.404033,2.408395,29.279553,9.892750,54.549486,19.479972,59.994256,1.834215,24.254729,5.318801,53.123361,60.661834,48.138867,32.933901,6.873301,8.311859,0.697181,48.138867,25.068006,2.162340,21.585895,19,12
"N005-M01-T05",85.252000,201.984000,83.323580,13.880159,0.000000,0.867841,1.928420,92.325381,46.505169,0.000000,1.747663,-nan,0.000000,84.399462,47.852800,0.000000,1.098107,83.323580,5.910221,3.959076,3.987890,0.022972,83.323580,4.955244,2.655062,6.269853,12,16
"N006-M01-T06",33.524349,203.578000,30.731464,56.124729,8.890892,1.460030,2.792885,0.000000,0.193538,-nan,0.000000,29.227447,89.747419,-nan,0.000000,77.514382,5.806128,30.731464,46.410516,2.172288,7.541925,0.000000,30.731464,46.353535,0.193881,9.577312,5,10
"N007-M01-T07",59.468406,269.021000,58.198951,39.042528,0.000000,1.489066,1.269455,72.281361,11.271982,0.000000,14.191457,59.978189,8.691887,55.843942,27.797086,83.071575,35.289067,58.198951,31.739864,2.339892,3.191312,1.771460,58.198951,32.730159,0.754105,5.558265,27,17
"N008-M01-T08",76.917138,178.996000,73.858354,23.037386,0.013129,0.032347,3.058783,84.967487,51.892780,-nan,0.000000,57.238966,19.315515,68.613197,20.158551,88.035282,5.542023,73.858354,17.092896,3.147780,2.796711,0.000000,73.858354,17.406031,1.368578,4.262777,14,11
"N009-M01-T09",87.259833,264.170000,81.145588,12.428058,0.312110,0.000000,6.114245,93.634877,42.824318,0.000000,2.554037,0.000000,1.287807,94.433404,43.466707,0.000000,3.752886,81.145588,9.851951,1.436424,1.126585,0.013098,81.145588,8.894046,1.318393,2.215619,18,16
"N010-M01-T10",87.017799,211.867000,80.517353,12.055818,0.000000,0.926383,6.500446,94.265430,55.612247,98.945464,7.304583,-nan,0.000000,83.625232,17.770582,50.530935,11.885759,80.517353,8.110560,2.263212,1.331165,0.350881,80.517353,6.181236,1.034470,4.840112,11,10
"N011-M01-T11",45.420193,243.912000,42.808390,54.479566,0.000000,0.100241,2.611803,19.353273,24.742530,37.270569,23.489619,65.260050,16.246433,18.211119,14.195694,86.374970,18.613680,42.808390,42.897028,6.933525,3.648406,1.000607,42.808390,36.641740,1.350610,16.487217,17,17
"N012-M01-T12",82.275600,187.845000,80.521494,17.490005,0.209907,0.024488,1.754106,89.868656,42.922622,-nan,0.000000,77.541044,14.364503,67.642852,30.297320,96.974626,10.636961,80.521494,9.920200,6.210173,0.840320,0.519311,80.521494,7.896351,1.393170,8.200484,14,17
"N013-M01-T13",86.867070,215.565000,84.254401,12.966020,0.140004,0.026906,2.612669,89.253207,55.838378,86.386519,7.556421,72.488458,8.038411,87.739567,6.191636,84.262511,19.735579,84.254401,4.244381,3.445504,4.378494,0.897641,84.254401,3.721337,4.081646,5.163037,14,14
"N014-M01-T14",82.459207,227.492000,80.521557,14.230962,0.249943,3.059888,1.937651,94.953754,56.508800,39.951577,5.991419,-nan,0.000000,61.941445,9.038560,80.430889,23.463682,80.521557,8.849630,2.505319,2.825418,0.050595,80.521557,8.194178,2.386633,3.650150,10,10
"N015-M01-T15",79.325440,161.987000,76.427059,18.034287,0.358609,2.281665,2.898381,83.734430,74.144221,49.044990,2.236599,0.000000,0.558687,60.312362,5.573287,80.315008,12.307160,76.427059,9.732695,4.376215,3.860372,0.065005,76.427059,10.062598,5.825900,2.145789,13,12
"N016-M01-T16",63.405077,259.257000,61.669965,33.805953,0.000000,2.788970,1.735112,50.084557,8.484631,36.929074,14.248410,64.564995,25.266434,43.926154,14.301253,89.113000,33.175189,61.669965,25.526524,3.462086,4.664792,0.152551,61.669965,21.795863,0.553389,11.456701,21,19
"N017-M02-T01",74.201027,239.908000,72.439977,25.068651,0.000000,0.730322,1.761050,77.513390,36.422295,41.562099,6.171949,61.206724,5.827234,71.145058,31.542508,89.115725,17.544642,72.439977,15.891884,5.315954,3.575329,0.014464,72.439977,14.025835,3.336654,7.706162,18,19
"N018-M02-T02",72.652637,249.333000,70.348008,26.909555,0.409813,0.027995,2.304629,78.321336,59.952754,0.000000,5.149338,55.918768,10.022741,56.311902,10.261377,97.785833,12.281166,70.348008,9.025841,11.520938,5.675021,0.687755,70.348008,8.423634,10.792274,7.693647,24,22
