MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",60.897070,186.997000,58.723655,38.544750,0.000000,0.558180,2.173415,-nan,0.000000,0.000000,0.192516,87.831953,2.396830,69.260734,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.629418,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.343717,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,0.000000,12.826409,58.723655,29.299499,6.516812,2.703648,0.012210,58.723655,29.851206,2.730968,5.962576,21,22
"N002-M01-T02",45.748238,200.090000,43.065326,49.291114,0.000000,4.960649,2.682912,-nan,0.000000,0.000000,0.446799,50.000000,1.207457,50.806120,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,69.896310,32.633315,-nan,0.000000,-nan,0.000000,0.000000,1.050027,-nan,0.000000,65.030386,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,84.362048,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,11.553579,27.421160,44.115353,32.226481,10.420804,3.081470,1.119760,43.065326,26.185647,0.371289,22.734178,19,16
"N003-M01-T03",76.714615,190.630000,72.506775,23.093079,0.000000,0.192307,4.207840,-nan,0.000000,0.000000,1.530189,37.442437,8.750984,85.077696,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,52.977552,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,17.716068,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,89.545395,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,14.929679,1.454650,73.711202,11.915786,6.647414,2.724230,0.576769,72.506775,7.154335,3.171665,12.767079,36,36
"N004-M01-T04",35.551430,189.836000,33.130804,63.750913,0.305855,0.391801,2.420626,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,33.319323,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.278670,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.007516,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.639061,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,20.609209,60.297309,33.130804,51.740361,4.096381,5.719376,1.718221,33.130804,39.369157,1.219710,23.162046,23,28
"N005-M01-T05",83.766104,201.984000,81.705436,15.435112,0.063192,0.735593,2.060668,-nan,0.000000,-nan,0.000000,0.000000,0.213878,81.728887,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.681321,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,81.705436,6.053232,6.498274,2.860473,0.023132,81.705436,6.794424,1.828083,6.812605,12,15
"N006-M01-T06",36.924706,203.578000,32.979833,61.176182,1.591070,0.308042,3.944873,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.747389,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.806128,32.979833,29.853363,11.205719,20.025370,0.091730,32.979833,31.758133,0.792888,28.625161,6,13
"N007-M01-T07",63.620175,269.021000,62.337665,34.804678,0.099136,1.476011,1.282510,-nan,0.000000,-nan,0.000000,24.188451,2.925794,78.977371,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,60.958724,13.457685,-nan,0.000000,0.000000,0.280647,0.000000,1.462711,-nan,0.000000,43.475973,6.948528,-nan,0.000000,27.843593,5.114471,-nan,0.000000,86.030485,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,64.823959,35.289067,64.500076,21.970913,3.051913,3.315709,1.330179,62.337665,24.170278,0.255661,10.378739,30,26
"N008-M01-T08",79.509665,178.996000,76.496225,20.393108,0.019536,0.077691,3.013440,-nan,0.000000,0.000000,2.389998,70.973519,5.026369,90.440638,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.491948,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.059853,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.449871,5.542023,77.657155,14.183062,1.940828,3.108288,0.000000,76.496225,14.258059,0.815117,5.319932,17,14
"N009-M01-T09",87.221168,264.170000,81.155180,12.677848,0.052728,0.048257,6.065988,-nan,0.000000,-nan,0.000000,0.000000,0.325169,89.417668,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.284841,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,94.091796,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,0.000000,3.308097,81.796996,9.112396,1.049610,1.536806,0.337219,81.155180,8.998353,1.073781,2.605714,19,21
"N010-M01-T10",78.649961,211.867000,74.176858,18.275967,0.120346,2.953726,4.473103,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,96.220160,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.736333,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,97.852682,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.341370,11.885759,74.894761,11.206738,4.838536,1.375793,0.136998,74.176858,8.000760,1.567466,8.707741,13,13
"N011-M01-T11",60.091140,243.912000,57.464883,39.742357,0.080716,0.085787,2.626257,-nan,0.000000,-nan,0.000000,63.706676,2.189314,40.517354,22.553216,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.547574,23.489619,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.012705,16.246433,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.900733,14.195694,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,47.041503,18.613680,57.464883,22.219829,15.455798,1.424271,0.642459,57.464883,18.385052,1.061739,20.295566,17,17
"N012-M01-T12",77.159772,187.845000,75.393305,22.704716,0.123385,0.012127,1.766467,-nan,0.000000,74.463117,4.257766,73.016856,20.272565,90.261739,18.392292,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.742927,14.364503,-nan,0.000000,96.845131,1.621017,98.439098,3.196252,80.349531,25.480050,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.517282,10.636961,82.686385,3.517014,6.971888,3.080757,0.111425,75.393305,10.429722,0.514966,11.760027,18,23
"N013-M01-T13",87.569267,215.565000,84.967371,12.328442,0.064612,0.037680,2.601895,-nan,0.000000,-nan,0.000000,96.994659,2.709624,92.340829,53.128755,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.794764,7.556421,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.559622,93.687910,6.478788,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.910214,6.191636,-nan,0.000000,-nan,0.000000,0.000000,0.262566,0.000000,1.732656,79.644829,17.740357,87.048249,3.034535,2.697524,3.792063,0.723442,84.967371,5.034058,2.588430,4.705954,18,17
"N014-M01-T14",80.249594,227.492000,78.301736,16.573279,0.127446,3.049681,1.947857,-nan,0.000000,-nan,0.000000,66.321894,9.610008,92.045688,46.898792,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,99.832785,5.991419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.413714,9.038560,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.414463,23.463682,80.516614,8.506012,3.097734,2.280300,0.086510,78.301736,9.174925,2.000276,5.398079,12,13
"N015-M01-T15",72.319588,161.987000,69.406873,25.326798,0.086284,2.267330,2.912715,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.554836,74.144221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,95.824297,2.236599,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.558687,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.701092,5.573287,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,35.522481,12.307160,69.406873,16.543136,2.350247,5.203123,0.086414,69.406873,18.116812,2.956067,4.253919,13,18
"N016-M01-T16",53.242306,259.257000,50.454850,43.897026,1.124042,1.736626,2.787456,-nan,0.000000,-nan,0.000000,-nan,0.000000,12.719545,8.484631,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.976036,14.248410,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.456057,25.266434,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.106110,14.301253,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.572500,33.175189,50.454850,29.629462,8.665604,3.089880,0.756637,50.454850,25.551937,1.680569,16.664520,21,22
"N017-M02-T01",68.815747,239.908000,67.045000,30.463628,0.000000,0.720625,1.770747,-nan,0.000000,0.000000,3.465078,-nan,0.000000,82.533631,32.957217,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.460362,6.171949,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,42.103945,5.827234,-nan,0.000000,0.000000,0.528536,-nan,0.000000,90.734347,31.013972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,44.120085,17.544642,68.323592,17.296036,6.398151,5.476282,0.014568,67.045000,14.462587,1.334202,14.666839,21,20
"N018-M02-T02",78.313762,249.333000,76.037057,21.546452,0.083867,0.055919,2.276705,-nan,0.000000,75.130902,6.028083,0.000000,0.432354,76.339120,53.492318,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.044681,5.149338,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.346471,3.434764,89.258084,6.587977,-nan,0.000000,-nan,0.000000,-nan,0.000000,82.859110,10.261377,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,84.438717,12.281166,76.037057,11.893803,5.309514,3.890687,0.452449,76.037057,9.539364,3.659928,8.347160,29,32
"N019-M02-T03",65.806305,278.991000,63.955271,33.186066,0.328832,0.678796,1.851035,-nan,0.000000,0.000000,1.976408,0.000000,2.658867,69.191517,25.840260,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,92.014697,17.541426,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.422003,2.646680,97.399926,4.981523,-nan,0.000000,-nan,0.000000,-nan,0.000000,55.280129,2.969271,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.626526,38.855734,65.931678,21.259268,5.601006,3.540414,0.176264,63.955271,18.481478,2.487506,12.217082,22,26
"N020-M02-T04",82.628886,226.580000,80.508125,17.299271,0.000000,0.071842,2.120761,-nan,0.000000,85.437804,6.440551,87.409819,9.643393,89.048542,42.391208,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.896375,2.800777,-nan,0.000000,0.000000,0.404714,-nan,0.000000,97.437381,0.804572,70.585171,1.604290,-nan,0.000000,-nan,0.000000,98.941881,2.429605,89.628430,21.231795,-nan,0.000000,-nan,0.000000,0.000000,1.625474,0.000000,0.804572,66.718658,7.626445,81.255061,9.847238,4.720650,1.564301,0.010195,80.508125,9.200118,1.464868,6.634285,21,22
