MirexSeventhsBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","maj7/1 correct (%)","maj7/1 proportion (%)","maj7/5 correct (%)","maj7/5 proportion (%)","maj7/3 correct (%)","maj7/3 proportion (%)","maj7/7 correct (%)","maj7/7 proportion (%)","maj7 correct (%)","maj7 proportion (%)","7/1 correct (%)","7/1 proportion (%)","7/5 correct (%)","7/5 proportion (%)","7/3 correct (%)","7/3 proportion (%)","7/b7 correct (%)","7/b7 proportion (%)","7 correct (%)","7 proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)","min7/1 correct (%)","min7/1 proportion (%)","min7/5 correct (%)","min7/5 proportion (%)","min7/b3 correct (%)","min7/b3 proportion (%)","min7/b7 correct (%)","min7/b7 proportion (%)","min7 correct (%)","min7 proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),4 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"N001-M01-T01",76.342936,186.997000,74.181939,22.589774,0.496692,0.570597,2.160997,-nan,0.000000,0.000000,0.192516,0.000000,2.396830,85.410517,54.093381,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,21.201876,4.333759,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.334797,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.746765,20.619047,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.471665,63.496769,12.826409,74.181939,10.671722,8.066814,2.708814,0.000000,74.181939,12.206773,2.419130,7.963871,21,22
"N002-M01-T02",54.474087,200.090000,52.278575,40.077865,0.000000,5.448048,2.195512,-nan,0.000000,0.000000,0.446799,48.551325,1.207457,42.447037,20.476785,-nan,0.000000,0.000000,0.603229,-nan,0.000000,-nan,0.000000,80.209201,32.633315,-nan,0.000000,-nan,0.000000,83.993337,1.050027,-nan,0.000000,0.000000,1.793193,-nan,0.000000,0.000000,0.603229,-nan,0.000000,25.399794,5.825379,-nan,0.000000,-nan,0.000000,0.000000,0.295867,-nan,0.000000,52.747735,27.421160,56.995402,23.006447,7.404318,3.829527,1.120746,52.278575,20.011595,3.946524,16.119746,19,19
"N003-M01-T03",71.076588,190.630000,68.086765,27.513088,0.000000,1.410324,2.989823,-nan,0.000000,37.819678,1.530189,95.058746,8.750984,88.996750,34.054976,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.515330,6.398783,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,6.301509,3.093427,-nan,0.000000,-nan,0.000000,-nan,0.000000,69.008145,40.316844,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.454650,69.979751,14.909983,5.541887,4.798510,0.369721,68.086765,13.083198,2.315638,12.114253,36,34
"N004-M01-T04",48.126857,189.836000,45.718462,51.236646,0.232464,0.404033,2.408395,-nan,0.000000,0.000000,1.100950,0.000000,1.468109,39.550457,7.323690,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.097350,19.479972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,59.994256,1.834215,-nan,0.000000,-nan,0.000000,-nan,0.000000,24.254729,5.318801,-nan,0.000000,0.000000,0.172254,0.000000,0.192271,-nan,0.000000,53.130187,60.297309,48.138867,32.933901,6.873301,8.311859,0.697181,45.718462,27.488411,0.689595,23.058640,23,17
"N005-M01-T05",75.779319,201.984000,73.850899,23.352840,0.000000,0.867841,1.928420,-nan,0.000000,-nan,0.000000,0.000000,0.213878,81.501588,46.291290,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.747663,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,75.487248,47.852800,-nan,0.000000,-nan,0.000000,0.000000,1.098107,-nan,0.000000,-nan,0.000000,83.323580,5.910221,3.959076,3.987890,0.022972,73.850899,14.427925,2.333155,6.591760,12,20
"N006-M01-T06",30.780340,203.578000,27.987454,58.868738,8.890892,1.460030,2.792885,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.193538,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,29.227447,89.747419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,30.253807,5.806128,30.731464,46.410516,2.172288,7.541925,0.000000,27.987454,49.097545,0.193881,9.577312,5,12
"N007-M01-T07",59.468406,269.021000,58.198951,39.042528,0.000000,1.489066,1.269455,-nan,0.000000,-nan,0.000000,35.399568,2.925794,85.210440,8.346189,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.733772,0.000000,13.457685,-nan,0.000000,0.000000,0.280647,84.973316,1.462711,-nan,0.000000,57.139036,6.948528,-nan,0.000000,80.077040,5.114471,-nan,0.000000,50.379869,22.682616,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.071575,35.289067,58.198951,31.739864,2.339892,3.191312,1.771460,58.198951,32.730159,0.581516,5.730854,30,20
"N008-M01-T08",75.751078,178.996000,72.692295,24.203446,0.013129,0.032347,3.058783,-nan,0.000000,0.000000,2.389998,95.141714,5.026369,85.761767,44.476413,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.238966,19.315515,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.613197,20.158551,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,88.035282,5.542023,73.858354,17.092896,3.147780,2.796711,0.000000,72.692295,18.572091,0.708172,4.923183,17,12
"N009-M01-T09",85.963319,264.170000,79.849074,13.724571,0.312110,0.000000,6.114245,-nan,0.000000,-nan,0.000000,0.000000,0.325169,94.351296,42.499148,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.554037,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.287807,-nan,0.000000,-nan,0.000000,-nan,0.000000,91.450630,43.466707,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.444789,0.000000,3.308097,81.145588,9.851951,1.436424,1.126585,0.013098,79.849074,10.190559,1.217360,2.316652,19,17
"N010-M01-T10",86.327507,211.867000,79.827061,12.746110,0.000000,0.926383,6.500446,-nan,0.000000,0.000000,0.717903,0.000000,1.824730,97.481078,53.069614,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.945464,7.304583,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.950752,-nan,0.000000,93.937107,15.819830,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.530935,11.885759,80.517353,8.110560,2.263212,1.331165,0.350881,79.827061,6.871528,0.924967,4.949615,13,10
"N011-M01-T11",45.420193,243.912000,42.808390,54.479566,0.000000,0.100241,2.611803,-nan,0.000000,-nan,0.000000,73.921348,2.189314,14.056172,22.553216,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,37.270569,23.489619,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,65.260050,16.246433,-nan,0.000000,-nan,0.000000,-nan,0.000000,18.211119,14.195694,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.374970,18.613680,42.808390,42.897028,6.933525,3.648406,1.000607,42.808390,36.641740,1.350610,16.487217,17,20
"N012-M01-T12",78.295616,187.845000,76.541510,21.469989,0.209907,0.024488,1.754106,-nan,0.000000,99.129782,4.257766,88.349571,20.272565,89.399114,18.392292,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.541044,14.364503,-nan,0.000000,82.357964,1.621017,65.564624,3.196252,51.347387,25.480050,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,96.974626,10.636961,80.521494,9.920200,6.210173,0.840320,0.519311,76.541510,11.876334,0.645319,8.948335,18,24
"N013-M01-T13",84.958504,215.565000,82.345835,14.874585,0.140004,0.026906,2.612669,-nan,0.000000,-nan,0.000000,79.898990,2.709624,89.730282,53.128755,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.386519,7.556421,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.559622,89.938422,6.478788,-nan,0.000000,-nan,0.000000,-nan,0.000000,87.739567,6.191636,-nan,0.000000,-nan,0.000000,0.000000,0.262566,0.000000,1.732656,82.981016,17.740357,84.254401,4.244381,3.445504,4.378494,0.897641,82.345835,5.629903,3.488832,5.755851,18,15
"N014-M01-T14",79.080495,227.492000,77.142845,17.609674,0.249943,3.059888,1.937651,-nan,0.000000,-nan,0.000000,66.697009,9.610008,93.539568,46.898792,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,39.951577,5.991419,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.941445,9.038560,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.430889,23.463682,80.521557,8.849630,2.505319,2.825418,0.050595,77.142845,11.572890,1.666564,4.370220,12,13
"N015-M01-T15",78.801941,161.987000,75.903560,18.557786,0.358609,2.281665,2.898381,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.028375,74.144221,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,49.044990,2.236599,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.558687,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.312362,5.573287,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.315008,12.307160,76.427059,9.732695,4.376215,3.860372,0.065005,75.903560,10.586096,5.814417,2.157272,13,13
"N016-M01-T16",56.909553,259.257000,55.174441,40.301477,0.000000,2.788970,1.735112,-nan,0.000000,-nan,0.000000,-nan,0.000000,50.084557,8.484631,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,36.929074,14.248410,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,60.902527,25.266434,-nan,0.000000,-nan,0.000000,-nan,0.000000,43.926154,14.301253,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,72.322896,33.175189,61.669965,25.526524,3.462086,4.664792,0.152551,55.174441,28.291387,0.553389,11.456701,21,22
"N017-M02-T01",71.808943,239.908000,70.047893,27.460735,0.000000,0.730322,1.761050,-nan,0.000000,0.000000,3.465078,-nan,0.000000,85.663045,32.957217,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,41.562099,6.171949,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.206724,5.827234,-nan,0.000000,0.000000,0.528536,-nan,0.000000,71.293327,31.013972,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.362619,17.544642,72.439977,15.891884,5.315954,3.575329,0.014464,70.047893,16.417919,0.940861,10.101956,21,22
"N018-M02-T02",72.652637,249.333000,70.348008,26.909555,0.409813,0.027995,2.304629,-nan,0.000000,6.797073,6.028083,86.159555,0.432354,86.318098,53.492318,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,5.149338,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,3.434764,85.073055,6.587977,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.311902,10.261377,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,97.785833,12.281166,70.348008,9.025841,11.520938,5.675021,0.687755,70.348008,8.423634,5.114084,13.371836,29,24
"N019-M02-T03",57.661573,278.991000,55.818862,40.496432,1.154876,0.687119,1.842712,-nan,0.000000,0.000000,1.976408,0.000000,2.658867,67.234228,25.840260,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.799730,17.541426,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,2.646680,38.513455,4.981523,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.181072,2.969271,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,61.404376,38.855734,59.347255,23.828403,6.638314,5.369170,1.132151,55.818862,20.866874,5.375872,14.253686,22,22
"N020-M02-T04",73.798349,226.580000,72.354091,25.453306,0.000000,0.748345,1.444258,-nan,0.000000,62.218872,6.440551,88.473227,9.643393,84.874857,42.391208,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,13.164198,2.800777,-nan,0.000000,91.112323,0.404714,-nan,0.000000,0.000000,0.804572,75.072902,1.604290,-nan,0.000000,-nan,0.000000,0.000000,2.429605,68.967718,21.231795,-nan,0.000000,-nan,0.000000,0.000000,1.625474,0.000000,0.804572,95.072338,7.626445,72.718863,17.925148,2.555742,4.484818,0.122826,72.354091,12.780519,1.256377,11.416409,21,22
"N021-M02-T05",70.737618,255.566000,69.255378,26.281978,0.000000,2.980404,1.482239,-nan,0.000000,0.000000,1.562023,0.000000,0.959048,89.705689,50.002739,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,8.790309,9.561522,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.194995,-nan,0.000000,-nan,0.000000,-nan,0.000000,53.369995,7.328831,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,78.819144,24.928199,69.736272,16.577949,4.017318,4.892748,0.313070,69.255378,10.801046,3.221164,12.259769,15,12
"N022-M02-T06",79.902205,209.520000,77.433515,16.206233,1.468595,2.422967,2.468690,-nan,0.000000,0.000000,1.029973,-nan,0.000000,87.234323,82.260405,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,70.121212,2.205040,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.280069,-nan,0.000000,75.261051,5.484918,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,1.268614,0.000000,1.579324,80.298158,4.045485,4.222031,4.791428,0.282646,77.433515,6.006539,4.593261,5.606434,25,22
"N023-M02-T07",59.736762,201.187000,57.441385,39.795414,0.433030,0.034794,2.295377,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.913991,48.104997,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.407252,38.684905,-nan,0.000000,-nan,0.000000,-nan,0.000000,98.598383,10.879928,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.441385,28.682072,5.090985,4.269262,1.753095,57.441385,31.578929,2.845263,5.371222,15,16
"N024-M02-T08",27.543517,207.736000,25.723274,71.511438,0.804627,0.140419,1.820243,-nan,0.000000,-nan,0.000000,-nan,0.000000,28.145773,59.308449,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.684391,3.512631,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,20.182347,-nan,0.000000,-nan,0.000000,-nan,0.000000,10.028344,7.133092,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,83.577998,7.902819,27.980947,54.205915,6.891006,8.120499,0.036344,25.723274,52.092752,5.665604,13.753081,14,16
"N025-M02-T09",43.505920,180.837000,40.873162,52.239309,4.222698,0.032073,2.632758,-nan,0.000000,-nan,0.000000,-nan,0.000000,16.229403,8.624894,-nan,0.000000,-nan,0.000000,-nan,0.000000,-nan,0.000000,56.918068,7.727954,-nan,0.000000,-nan,0.000000,0.000000,1.289559,-nan,0.000000,69.323788,7.106400,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.061896,16.831732,-nan,0.000000,-nan,0.000000,-nan,0.000000,0.000000,0.648097,37.280263,55.106532,49.262927,20.121601,4.750024,18.139264,0.838656,40.873162,23.556905,0.541482,28.140922,18,21
