Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,117,0.811216,0.869084,0.811216,0.935841
"N002-M01-T02",222.707000,123,112,0.866555,0.892665,0.866555,0.920397
"N003-M01-T03",195.360000,159,145,0.905015,0.928652,0.905015,0.953558
"N004-M01-T04",242.507000,114,139,0.802102,0.836830,0.874702,0.802102
"N005-M01-T05",228.107000,125,113,0.832983,0.872366,0.832983,0.915658
"N006-M01-T06",206.573000,47,41,0.797579,0.834415,0.797579,0.874819
"N007-M01-T07",298.680000,142,143,0.946314,0.954255,0.962330,0.946314
"N008-M01-T08",192.187000,99,88,0.883291,0.924395,0.883291,0.969511
"N009-M01-T09",277.040000,111,87,0.822434,0.886613,0.822434,0.961658
"N010-M01-T10",215.693000,71,71,0.946273,0.950384,0.954531,0.946273
"N011-M01-T11",267.920000,105,117,0.844839,0.865932,0.844839,0.888105
"N012-M01-T12",204.867000,104,100,0.915029,0.934954,0.915029,0.955766
"N013-M01-T13",219.093000,151,143,0.933874,0.943404,0.933874,0.953131
"N014-M01-T14",234.947000,154,142,0.902029,0.920459,0.902029,0.939657
"N015-M01-T15",162.893000,126,124,0.937241,0.942734,0.937241,0.948291
"N016-M01-T16",262.147000,180,164,0.857021,0.888613,0.857021,0.922624
"N017-M02-T01",241.440000,125,117,0.877860,0.896707,0.877860,0.916382
"N018-M02-T02",254.107000,138,127,0.862729,0.896191,0.862729,0.932354
"N019-M02-T03",289.040000,202,180,0.862434,0.897928,0.862434,0.936468
"N020-M02-T04",250.147000,156,159,0.957947,0.961633,0.965348,0.957947
"N021-M02-T05",268.960000,152,139,0.924594,0.943363,0.924594,0.962910
"N022-M02-T06",209.520000,126,122,0.922303,0.928768,0.922303,0.935324
"N023-M02-T07",201.187000,73,83,0.883531,0.910075,0.938264,0.883531
"N024-M02-T08",240.253000,112,95,0.779431,0.841332,0.779431,0.913912
"N025-M02-T09",256.467000,147,112,0.642990,0.760522,0.642990,0.930631
"N026-M02-T10",207.053000,149,63,0.577020,0.722059,0.577020,0.964490
"N027-M02-T11",318.440000,127,121,0.917566,0.927099,0.917566,0.936832
"N028-M02-T12",250.987000,176,169,0.866516,0.880458,0.866516,0.894856
"N029-M02-T13",215.093000,87,87,0.960866,0.961001,0.961136,0.960866
"N030-M02-T14",196.293000,154,93,0.669572,0.775165,0.669572,0.920297
"N031-M02-T15",250.213000,118,66,0.543996,0.670735,0.543996,0.874466
"N032-M02-T16",252.080000,79,85,0.872817,0.914357,0.960048,0.872817
"N033-M03-T01",287.013000,146,116,0.773233,0.850846,0.773233,0.945779
"N034-M03-T02",207.640000,128,129,0.902639,0.906418,0.910229,0.902639
"N035-M03-T03",193.027000,108,100,0.888503,0.912518,0.888503,0.937868
"N036-M03-T04",316.253000,164,156,0.897766,0.917715,0.897766,0.938571
"N037-M03-T05",239.107000,108,89,0.873844,0.915842,0.873844,0.962080
"N038-M03-T06",275.333000,116,124,0.888818,0.898642,0.908686,0.888818
"N039-M03-T07",288.853000,96,100,0.958104,0.959541,0.960981,0.958104
"N040-M03-T08",226.253000,167,57,0.446985,0.614819,0.446985,0.984463
"N041-M03-T09",170.133000,83,76,0.894122,0.927289,0.894122,0.963012
"N042-M03-T10",248.760000,153,107,0.712851,0.805714,0.712851,0.926395
"N043-M03-T11",204.307000,122,111,0.862069,0.905415,0.862069,0.953350
"N044-M03-T12",246.080000,129,112,0.876522,0.909529,0.876522,0.945120
"N045-M03-T13",222.533000,144,141,0.923745,0.931678,0.923745,0.939749
"N046-M03-T14",199.013000,166,155,0.908738,0.927609,0.908738,0.947279
"N047-M03-T15",210.747000,144,141,0.951485,0.954698,0.951485,0.957933
"N048-M03-T16",269.587000,178,168,0.886666,0.899595,0.886666,0.912907
"N049-M04-T01",275.053000,178,173,0.830102,0.864091,0.830102,0.900982
"N050-M04-T02",195.400000,127,112,0.879101,0.906462,0.879101,0.935580
"N051-M04-T03",367.360000,168,167,0.958642,0.958978,0.958642,0.959315
"N052-M04-T04",225.453000,98,113,0.843658,0.878134,0.915547,0.843658
"N053-M04-T05",219.773000,164,100,0.676179,0.791676,0.676179,0.954756
"N054-M04-T06",222.920000,111,111,0.953711,0.954352,0.953711,0.954993
