Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,124,0.862217,0.889635,0.862217,0.918853
"N002-M01-T02",222.707000,123,107,0.837190,0.859486,0.837190,0.883003
"N003-M01-T03",195.360000,159,142,0.875092,0.877713,0.875092,0.880349
"N004-M01-T04",242.507000,114,135,0.813577,0.846595,0.882408,0.813577
"N005-M01-T05",228.107000,125,123,0.873222,0.885299,0.873222,0.897715
"N006-M01-T06",206.573000,47,65,0.820959,0.872419,0.930761,0.820959
"N007-M01-T07",298.680000,142,139,0.949665,0.949782,0.949665,0.949900
"N008-M01-T08",192.187000,99,89,0.862249,0.897583,0.862249,0.935937
"N009-M01-T09",277.040000,111,94,0.834984,0.877441,0.834984,0.924448
"N010-M01-T10",215.693000,71,73,0.949572,0.958509,0.967616,0.949572
"N011-M01-T11",267.920000,105,88,0.781849,0.855997,0.781849,0.945682
"N012-M01-T12",204.867000,104,94,0.902659,0.931936,0.902659,0.963176
"N013-M01-T13",219.093000,151,143,0.916446,0.929179,0.916446,0.942271
"N014-M01-T14",234.947000,154,142,0.936679,0.948543,0.936679,0.960710
"N015-M01-T15",162.893000,126,121,0.902120,0.907911,0.902120,0.913778
"N016-M01-T16",262.147000,180,161,0.879716,0.901643,0.879716,0.924691
"N017-M02-T01",241.440000,125,110,0.890772,0.914427,0.890772,0.939372
"N018-M02-T02",254.107000,138,113,0.806759,0.874003,0.806759,0.953476
"N019-M02-T03",289.040000,202,160,0.818250,0.884388,0.818250,0.962157
"N020-M02-T04",250.147000,156,137,0.831663,0.874137,0.831663,0.921182
"N021-M02-T05",268.960000,152,140,0.873859,0.895037,0.873859,0.917267
"N022-M02-T06",209.520000,126,118,0.888369,0.901414,0.888369,0.914848
"N023-M02-T07",201.187000,73,64,0.928932,0.939276,0.928932,0.949853
"N024-M02-T08",240.253000,112,76,0.640471,0.751829,0.640471,0.910061
"N025-M02-T09",256.467000,147,110,0.685862,0.785426,0.685862,0.918804
"N026-M02-T10",207.053000,149,96,0.754981,0.841989,0.754981,0.951665
"N027-M02-T11",318.440000,127,123,0.866367,0.879027,0.866367,0.892061
"N028-M02-T12",250.987000,176,156,0.806863,0.843202,0.806863,0.882970
"N029-M02-T13",215.093000,87,87,0.940705,0.942389,0.940705,0.944080
"N030-M02-T14",196.293000,154,120,0.802846,0.854105,0.802846,0.912356
"N031-M02-T15",250.213000,118,85,0.670061,0.761147,0.670061,0.880893
"N032-M02-T16",252.080000,79,85,0.829435,0.881960,0.941586,0.829435
"N033-M03-T01",287.013000,146,128,0.849557,0.887412,0.849557,0.928798
"N034-M03-T02",207.640000,128,131,0.860903,0.864625,0.868378,0.860903
"N035-M03-T03",193.027000,108,80,0.745010,0.825868,0.745010,0.926414
"N036-M03-T04",316.253000,164,151,0.814079,0.849114,0.814079,0.887299
"N037-M03-T05",239.107000,108,100,0.891592,0.902796,0.891592,0.914285
"N038-M03-T06",275.333000,116,121,0.865443,0.872777,0.880236,0.865443
"N039-M03-T07",288.853000,96,86,0.927032,0.949770,0.927032,0.973651
"N040-M03-T08",226.253000,167,74,0.537995,0.697644,0.537995,0.992027
"N041-M03-T09",170.133000,83,79,0.928479,0.948628,0.928479,0.969671
"N042-M03-T10",248.760000,153,96,0.685158,0.784262,0.685158,0.916884
"N043-M03-T11",204.307000,122,101,0.831151,0.882314,0.831151,0.940188
"N044-M03-T12",246.080000,129,103,0.841340,0.885555,0.841340,0.934676
"N045-M03-T13",222.533000,144,140,0.935165,0.948256,0.935165,0.961718
"N046-M03-T14",199.013000,166,139,0.847583,0.896830,0.847583,0.952154
"N047-M03-T15",210.747000,144,136,0.926538,0.941885,0.926538,0.957750
"N048-M03-T16",269.587000,178,158,0.862434,0.895472,0.862434,0.931143
"N049-M04-T01",275.053000,178,158,0.805070,0.846730,0.805070,0.892937
"N050-M04-T02",195.400000,127,114,0.786341,0.815547,0.786341,0.847006
"N051-M04-T03",367.360000,168,161,0.945370,0.950632,0.945370,0.955953
"N052-M04-T04",225.453000,98,94,0.872235,0.893631,0.872235,0.916102
"N053-M04-T05",219.773000,164,112,0.717691,0.811452,0.717691,0.933395
"N054-M04-T06",222.920000,111,98,0.871595,0.915820,0.871595,0.964772
"N055-M04-T07",249.173000,136,133,0.952282,0.965247,0.952282,0.978569
"N056-M04-T08",322.960000,112,108,0.942377,0.953328,0.942377,0.964537
"N057-M04-T09",267.173000,145,123,0.785903,0.837426,0.785903,0.896180
"N058-M04-T10",225.960000,96,78,0.766313,0.840865,0.766313,0.931488
"N059-M04-T11",205.013000,93,78,0.888236,0.915074,0.888236,0.943584
"N060-M04-T12",243.507000,85,95,0.920828,0.942183,0.964551,0.920828
"N061-M04-T13",283.160000,171,148,0.811629,0.857454,0.811629,0.908762
"N062-M04-T14",191.107000,40,40,0.939102,0.941021,0.942948,0.939102
"N063-M04-T15",251.000000,182,146,0.855163,0.896199,0.855163,0.941371
"N064-M04-T16",292.467000,212,167,0.831687,0.883216,0.831687,0.941552
"N065-M05-T01",232.053000,135,118,0.851301,0.895538,0.851301,0.944625
"N066-M05-T02",320.600000,176,146,0.820028,0.875299,0.820028,0.938559
"N067-M05-T03",250.693000,162,141,0.879071,0.908350,0.879071,0.939647
"N068-M05-T04",294.253000,155,120,0.759601,0.844128,0.759601,0.949822
"N069-M05-T05",360.360000,167,149,0.869494,0.896172,0.869494,0.924539
"N070-M05-T06",246.720000,140,126,0.843134,0.891031,0.843134,0.944698
"N071-M05-T07",286.455000,186,165,0.860701,0.891430,0.860701,0.924435
"N072-M05-T08",201.373000,119,92,0.809741,0.881700,0.809741,0.967697
"N073-M05-T09",136.480000,101,100,0.803627,0.804154,0.804682,0.803627
"N074-M05-T10",194.307000,125,120,0.953476,0.966444,0.953476,0.979769
"N075-M05-T11",201.973000,104,84,0.770138,0.836139,0.770138,0.914513
"N076-M05-T12",230.893000,123,90,0.735510,0.827938,0.735510,0.946936
"N077-M05-T13",236.173000,147,119,0.788295,0.840541,0.788295,0.900205
"N078-M05-T14",261.240000,115,126,0.874188,0.878853,0.883567,0.874188
"N079-M05-T15",268.373000,118,101,0.824278,0.882195,0.824278,0.948866
"N080-M05-T16",219.093000,90,90,0.907441,0.912788,0.918199,0.907441
"N081-M06-T01",230.813000,122,110,0.871922,0.894114,0.871922,0.917466
"N082-M06-T02",337.080000,215,199,0.846995,0.874024,0.846995,0.902836
"N083-M06-T03",217.413000,195,106,0.665549,0.760886,0.665549,0.888102
"N084-M06-T04",280.427000,154,130,0.838560,0.881740,0.838560,0.929607
"N085-M06-T05",210.493000,107,97,0.909546,0.935084,0.909546,0.962099
"N086-M06-T06",257.853000,131,119,0.876274,0.905593,0.876274,0.936941
"N087-M06-T07",291.267000,147,111,0.764460,0.839088,0.764460,0.929862
"N088-M06-T08",249.560000,183,155,0.862266,0.899434,0.862266,0.939950
"N089-M06-T09",223.400000,134,142,0.862422,0.874817,0.887574,0.862422
"N090-M06-T10",277.733000,131,122,0.917313,0.941677,0.917313,0.967372
"N091-M07-T01",222.841000,155,129,0.831840,0.883785,0.831840,0.942650
"N092-M07-T02",220.417000,178,109,0.673088,0.779239,0.673088,0.925142
"N093-M07-T03",258.848000,144,131,0.856163,0.882898,0.856163,0.911357
"N094-M07-T04",223.938000,118,124,0.914615,0.916122,0.917633,0.914615
"N095-M07-T05",232.827000,212,127,0.627423,0.703865,0.801518,0.627423
"N096-M07-T06",280.012000,133,115,0.782649,0.838104,0.782649,0.902018
"N097-M07-T07",243.151000,96,111,0.693536,0.764355,0.851282,0.693536
"N098-M07-T08",211.925000,44,51,0.932655,0.944374,0.956390,0.932655
"N099-M07-T09",317.258000,141,121,0.810293,0.856288,0.810293,0.907820
"N100-M07-T10",293.413000,151,148,0.923841,0.931741,0.923841,0.939778
