Inner
File,Duration (s),NumRefSegments,NumTestSegments,CombinedHammingMeasureWorst,CombinedHammingMeasureHarmonic,UnderSegmentation,OverSegmentation
"N001-M01-T01",209.213000,134,110,0.794663,0.861308,0.794663,0.940154
"N002-M01-T02",222.707000,123,108,0.842447,0.870926,0.842447,0.901398
"N003-M01-T03",195.360000,159,153,0.844473,0.865186,0.886940,0.844473
"N004-M01-T04",242.507000,114,132,0.789542,0.830079,0.875004,0.789542
"N005-M01-T05",228.107000,125,119,0.826114,0.860750,0.826114,0.898417
"N006-M01-T06",206.573000,47,52,0.868855,0.889299,0.910728,0.868855
"N007-M01-T07",298.680000,142,140,0.940651,0.944048,0.940651,0.947471
"N008-M01-T08",192.187000,99,92,0.885862,0.912567,0.885862,0.940932
"N009-M01-T09",277.040000,111,80,0.792238,0.872318,0.792238,0.970408
"N010-M01-T10",215.693000,71,71,0.966539,0.969464,0.972406,0.966539
"N011-M01-T11",267.920000,105,103,0.852275,0.877701,0.852275,0.904691
"N012-M01-T12",204.867000,104,97,0.906907,0.925770,0.906907,0.945435
"N013-M01-T13",219.093000,151,137,0.886932,0.914001,0.886932,0.942775
"N014-M01-T14",234.947000,154,139,0.909266,0.927941,0.909266,0.947400
"N015-M01-T15",162.893000,126,123,0.907820,0.912501,0.907820,0.917230
"N016-M01-T16",262.147000,180,155,0.825454,0.875934,0.825454,0.932990
"N017-M02-T01",241.440000,125,115,0.893386,0.910540,0.893386,0.928366
"N018-M02-T02",254.107000,138,107,0.746707,0.835487,0.746707,0.948227
"N019-M02-T03",289.040000,202,156,0.791891,0.856092,0.791891,0.931621
"N020-M02-T04",250.147000,156,149,0.894931,0.907827,0.894931,0.921099
"N021-M02-T05",268.960000,152,126,0.856255,0.898877,0.856255,0.945965
"N022-M02-T06",209.520000,126,112,0.882139,0.910742,0.882139,0.941262
"N023-M02-T07",201.187000,73,68,0.897940,0.911402,0.925274,0.897940
