MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",92.187807,234.666644,90.109431,6.422254,0.741217,0.648722,2.078376,94.166362,91.388711,68.862601,5.884190,90.109431,3.578599,1.534874,1.308780,90.109431,2.343963,2.744349,1.333942,8,9
"1997-Life Thru a Lens/02-Life Thru A Lens",77.700270,177.604423,76.334142,21.338588,0.938607,0.022535,1.366128,91.804511,80.788599,12.156181,17.822738,76.334142,17.792684,1.804603,1.741302,76.334142,0.000000,3.271632,18.066955,10,10
"1997-Life Thru a Lens/03-Ego A Go Go",74.531703,214.959977,71.930385,22.338252,0.278278,2.851768,2.601317,77.421863,88.748018,55.528078,5.798897,71.930385,1.825157,10.836959,9.676137,71.930385,1.825157,19.005711,1.507385,8,8
"1997-Life Thru a Lens/04-Angels",96.052702,264.999977,95.200941,3.768878,0.178420,0.000000,0.851760,98.322820,76.259811,88.342214,22.888428,95.200941,2.601155,0.835391,0.332332,95.200941,0.000000,0.826808,2.942070,7,7
"1997-Life Thru a Lens/05-South Of The Border",85.599689,233.373311,84.489403,14.024292,0.365166,0.010853,1.110286,91.023810,80.856700,60.428682,18.022160,84.489403,6.481562,5.233252,2.309478,84.489403,4.779968,3.603949,5.640375,8,10
"1997-Life Thru a Lens/06-Old Before I Die",76.808983,221.530951,76.735284,22.385992,0.805025,0.000000,0.073699,96.888249,55.152727,52.036883,44.773574,76.735284,8.815667,13.075225,0.495101,76.735284,3.836669,0.876419,17.672904,14,14
"1997-Life Thru a Lens/07-One Of God's Better People",92.464869,201.779183,92.027591,6.683074,0.842988,0.009069,0.437278,92.411910,44.883375,92.463416,54.670278,92.027591,2.860910,0.623725,3.198439,92.027591,0.034939,2.404314,4.243821,9,9
"1997-Life Thru a Lens/08-Let Me Entertain You",84.694301,261.999977,81.507278,14.276385,0.835869,0.193445,3.187023,85.268921,86.402968,76.663737,10.216564,81.507278,3.114349,10.336743,0.825293,81.507278,2.370143,9.125383,2.780859,4,5
"1997-Life Thru a Lens/09-Killing Me",82.633001,227.067097,81.493377,17.314950,0.039166,0.012883,1.139624,94.386839,46.330547,71.907148,52.516947,81.493377,10.144853,5.977176,1.192921,81.493377,4.389354,1.714499,11.211097,10,9
"1997-Life Thru a Lens/10-Clean",90.628004,224.099635,72.447670,8.939497,0.244496,0.188003,18.180334,90.753706,79.828882,0.000000,1.802780,72.447670,2.378052,5.303309,1.258136,72.447670,0.311005,6.230870,2.397622,8,8
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",97.583981,127.814763,91.816991,0.551217,1.837747,0.027055,5.766990,97.057668,76.809358,99.258602,17.396597,91.816991,0.100486,0.344444,0.106287,91.816991,0.000000,0.344444,0.206773,5,6
"1998-I've Been Expecting You/01-Strong",96.644363,279.313356,95.294811,3.128695,0.222159,0.000000,1.354334,97.146845,81.479080,94.022514,17.166587,95.294811,0.823074,1.484236,0.821386,95.294811,0.716025,2.003001,0.409669,10,10
"1998-I've Been Expecting You/02-No Regrets",91.607804,296.426122,91.045390,7.929504,0.439514,0.023178,0.562414,95.838079,43.872315,88.219590,55.542092,91.045390,3.179548,1.698579,3.051377,91.045390,0.863767,0.789320,6.276417,8,11
"1998-I've Been Expecting You/03-Millennium",81.966073,247.573311,78.715308,16.900814,1.133112,0.000000,3.250765,94.158511,48.708099,68.384077,48.041136,78.715308,6.859041,7.419805,2.621968,78.715308,3.668067,2.182326,11.050421,2,8
"1998-I've Been Expecting You/04-Phoenix From The Flames",80.769368,239.305805,80.769368,18.702138,0.415497,0.004349,0.108648,96.459892,63.265838,53.912017,36.621165,80.769368,6.001183,11.456569,1.244386,80.769368,0.330122,3.989354,14.382663,12,14
"1998-I've Been Expecting You/05-Win Some Lose Some",91.675735,258.733311,89.410075,8.091042,0.232399,0.000824,2.265660,91.849378,89.454791,87.530464,8.278725,89.410075,2.545473,3.265737,2.279832,89.410075,0.403054,4.801135,2.886853,6,9
"1998-I've Been Expecting You/06-Grace",85.350028,193.632744,81.111308,13.877019,0.724283,0.031760,4.255631,87.040737,67.013554,79.383159,28.699056,81.111308,5.816068,5.981377,2.079573,81.111308,2.867118,6.015174,4.994727,10,14
"1998-I've Been Expecting You/07-It's Only Us",86.158665,159.580000,84.870050,13.612929,0.223674,0.004732,1.288615,90.398749,83.208458,62.269477,15.498195,84.870050,6.135394,5.925587,1.551948,84.870050,4.690857,6.944929,1.977143,9,11
"1998-I've Been Expecting You/08-Heaven From Here",81.449567,177.627052,81.449567,17.207101,1.258656,0.084676,0.000000,87.918837,68.197080,67.757495,31.718244,81.449567,5.427419,9.619673,2.160009,81.449567,0.000000,6.637094,10.570007,8,10
"1998-I've Been Expecting You/09-Karma Killer",72.262982,258.009683,61.305933,26.027428,0.169139,1.540451,10.957050,64.232918,63.311549,85.317347,24.190951,61.305933,10.910136,9.811703,5.305588,61.305933,4.306647,10.400010,11.320771,11,12
"1998-I've Been Expecting You/10-She's The One",88.638829,258.035465,88.425680,10.498012,0.564056,0.299103,0.213149,90.815379,77.530871,82.050491,21.956878,88.425680,2.920691,2.180359,5.396962,88.425680,0.000000,6.149008,4.349004,7,6
"1998-I've Been Expecting You/11-Man Machine",72.416640,214.999977,72.249198,26.948113,0.627896,0.007351,0.167442,70.505125,93.172916,98.575319,6.652291,72.249198,5.182083,16.191807,5.574223,72.249198,3.231452,21.479536,2.237125,8,9
"1998-I've Been Expecting You/12-1-These Dreams",83.160897,309.847052,82.509914,16.825938,0.000000,0.013166,0.650983,86.645172,69.813554,74.587147,29.522298,82.509914,6.341071,8.977578,1.507289,82.509914,3.448011,7.183663,6.194264,14,13
"1998-I've Been Expecting You/12-2-Stand Your Ground",92.993446,143.887959,55.111915,6.036285,0.963902,0.000000,37.887897,89.224948,52.943388,85.870320,9.168715,55.111915,0.667186,4.670191,0.698909,55.111915,0.667186,3.355423,2.013677,6,8
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",89.927848,226.577052,74.025983,9.601908,0.470244,0.000000,15.901865,85.212020,55.789173,93.563662,28.308962,74.025983,5.842096,1.446442,2.313370,74.025983,0.215832,2.884856,6.501220,7,8
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",89.507898,299.034989,86.508870,8.857896,1.634206,0.000000,2.999027,91.024280,88.768391,69.335255,8.232582,86.508870,1.742908,4.654732,2.460257,86.508870,0.000000,6.608082,2.249814,9,12
"2000-Sing When You 're Winning/02-Better Man",87.914291,199.550159,86.117472,10.209277,1.876431,0.000000,1.796819,91.087009,62.715878,81.695290,35.487303,86.117472,7.421260,2.676848,0.111169,86.117472,3.446516,2.130551,4.632210,9,10
"2000-Sing When You 're Winning/03-Rock DJ",72.976213,258.566689,71.639347,26.607047,0.000000,0.416740,1.336866,75.570685,87.458614,51.412557,10.787780,71.639347,3.835517,3.417752,19.353778,71.639347,0.000000,21.288507,5.318540,6,6
"2000-Sing When You 're Winning/04-Supreme",95.979374,245.977097,93.424162,3.448019,0.554833,0.007043,2.565943,95.821086,59.110145,95.999961,38.316869,93.424162,1.392687,2.043679,0.011652,93.424162,0.777445,1.325916,1.344658,6,10
