MirexMajMin
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj correct (%)","maj proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",90.705542,234.666644,88.514925,8.630734,0.127243,0.536481,2.190617,91.831278,91.388711,78.031190,5.884190,88.514925,1.998766,4.104572,2.527396,88.514925,0.752003,6.467590,1.411141,8,8
"1997-Life Thru a Lens/02-Life Thru A Lens",76.553075,177.604423,75.245561,23.308566,0.057210,0.081148,1.307515,90.361361,80.788599,12.590003,17.822738,75.245561,18.824384,3.131204,1.352979,75.245561,1.202785,3.707001,18.398781,10,10
"1997-Life Thru a Lens/03-Ego A Go Go",60.716994,214.959977,57.993235,35.933664,0.620016,2.729326,2.723759,60.438338,88.748018,75.107522,5.798897,57.993235,4.279479,19.403636,12.250549,57.993235,4.266386,26.935266,4.732012,8,8
"1997-Life Thru a Lens/04-Angels",93.654878,264.999977,92.922383,6.006813,0.219044,0.119266,0.732495,96.207943,76.259811,85.433508,22.888428,92.922383,3.096872,2.324409,0.585532,92.922383,0.000000,2.106017,3.900796,7,7
"1997-Life Thru a Lens/05-South Of The Border",78.354588,233.373311,77.538158,21.281539,0.059163,0.304710,0.816430,83.305543,80.856700,56.486261,18.022160,77.538158,4.474792,14.695385,2.111362,77.538158,2.591351,11.691618,6.998571,8,8
"1997-Life Thru a Lens/06-Old Before I Die",72.015787,221.530951,72.015787,27.350167,0.560348,0.073699,0.000000,91.698777,55.152727,47.888538,44.773574,72.015787,8.907948,16.015667,2.426552,72.015787,3.487366,3.758913,20.103888,14,12
"1997-Life Thru a Lens/07-One Of God's Better People",84.948934,201.779183,84.948934,14.604719,0.000000,0.446347,0.000000,93.913047,44.883375,78.283102,54.670278,84.948934,9.538886,2.461905,2.603928,84.948934,3.165145,3.622225,7.817348,9,9
"1997-Life Thru a Lens/08-Let Me Entertain You",70.812588,261.999977,70.812588,24.890579,0.916365,3.380468,0.000000,76.581302,86.402968,45.456286,10.216564,70.812588,9.142783,13.104280,2.643515,70.812588,8.533208,11.554559,4.802811,4,5
"1997-Life Thru a Lens/09-Killing Me",65.165613,227.067097,64.388442,34.459052,0.000000,0.375335,0.777171,93.575479,46.330547,40.052615,52.516947,64.388442,14.353037,19.437568,0.668447,64.388442,7.676728,2.475561,24.306763,10,9
"1997-Life Thru a Lens/10-Clean",65.260086,224.099635,62.695077,18.936586,0.000000,15.803328,2.565010,78.536834,79.828882,0.000000,1.802780,62.695077,5.343852,10.819881,2.772853,62.695077,0.548997,12.591502,5.796086,8,9
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",95.884684,127.814763,90.338708,3.867247,0.000000,0.248068,5.545977,95.238567,76.809358,98.792746,17.396597,90.338708,0.692191,2.518480,0.656577,90.338708,0.000000,2.531520,1.335728,5,7
"1998-I've Been Expecting You/01-Strong",91.584000,279.313356,90.347220,7.997077,0.301369,0.117554,1.236780,90.746164,81.479080,95.581499,17.166587,90.347220,0.974016,4.771901,2.251161,90.347220,0.019476,5.904770,2.072831,10,10
"1998-I've Been Expecting You/02-No Regrets",90.374240,296.426122,89.896164,9.084329,0.433914,0.107517,0.478076,84.997747,43.872315,94.713185,55.542092,89.896164,3.982021,3.655360,1.446948,89.896164,2.279917,1.835208,4.969204,8,10
