MirexMajMinBass
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%),"maj/1 correct (%)","maj/1 proportion (%)","maj/5 correct (%)","maj/5 proportion (%)","maj/3 correct (%)","maj/3 proportion (%)","maj correct (%)","maj proportion (%)","min/1 correct (%)","min/1 proportion (%)","min/5 correct (%)","min/5 proportion (%)","min/b3 correct (%)","min/b3 proportion (%)","min correct (%)","min proportion (%)",0 chromas wrong (%),1 chroma wrong (%),2 chromas wrong (%),3 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",84.837968,234.666644,82.607757,14.419173,0.245971,0.496888,2.230210,-nan,0.000000,49.480244,4.719437,-nan,0.000000,87.566878,86.669275,-nan,0.000000,-nan,0.000000,-nan,0.000000,74.419607,5.884190,84.823850,4.236366,2.917799,5.048915,82.607757,4.734308,7.426835,2.258031,9,11
"1997-Life Thru a Lens/02-Life Thru A Lens",72.861878,177.604423,71.606649,26.999772,0.004916,0.133434,1.255229,-nan,0.000000,0.000000,2.395385,-nan,0.000000,87.788100,78.393214,-nan,0.000000,-nan,0.000000,-nan,0.000000,15.635844,17.822738,75.883932,16.630683,5.010064,1.081743,71.606649,4.277283,4.901117,17.821372,11,13
"1997-Life Thru a Lens/03-Ego A Go Go",59.148055,214.959977,56.456703,37.891451,0.198761,2.761733,2.691351,-nan,0.000000,-nan,0.000000,-nan,0.000000,58.354106,88.748018,-nan,0.000000,-nan,0.000000,-nan,0.000000,80.508251,5.798897,56.456703,6.634563,13.601701,17.655187,56.456703,3.644880,24.539748,9.706822,8,13
"1997-Life Thru a Lens/04-Angels",89.889599,264.999977,89.271014,9.877226,0.000000,0.233175,0.618585,-nan,0.000000,-nan,0.000000,91.018554,4.859300,91.164784,71.400511,-nan,0.000000,-nan,0.000000,-nan,0.000000,86.314478,22.888428,92.957199,3.377264,2.171915,0.641861,89.271014,3.686185,1.958892,4.232149,8,10
"1997-Life Thru a Lens/05-South Of The Border",66.692869,233.373311,65.602132,33.257577,0.019151,0.030403,1.090736,-nan,0.000000,-nan,0.000000,-nan,0.000000,68.251402,80.856700,-nan,0.000000,-nan,0.000000,-nan,0.000000,57.797182,18.022160,65.602132,11.562664,19.793217,1.901696,65.602132,8.238550,12.059031,12.959996,8,13
"1997-Life Thru a Lens/06-Old Before I Die",69.000663,221.530951,68.969218,29.453396,1.503688,0.042254,0.031445,-nan,0.000000,-nan,0.000000,-nan,0.000000,85.462333,55.152727,-nan,0.000000,-nan,0.000000,-nan,0.000000,48.766290,44.773574,69.273184,7.882140,18.503755,2.763535,68.969218,2.449538,5.989529,21.014329,14,17
"1997-Life Thru a Lens/07-One Of God's Better People",88.460029,201.779183,88.367968,11.185685,0.000000,0.354286,0.092061,-nan,0.000000,-nan,0.000000,-nan,0.000000,90.597907,44.883375,-nan,0.000000,-nan,0.000000,0.000000,1.996816,90.566613,52.673462,88.367968,4.720872,3.503863,2.960950,88.367968,0.129202,3.352264,7.704219,10,11
"1997-Life Thru a Lens/08-Let Me Entertain You",69.070933,261.999977,69.035483,26.587918,0.996131,3.345018,0.035450,-nan,0.000000,6.757821,10.294924,57.339423,2.198318,87.858817,73.909726,-nan,0.000000,-nan,0.000000,-nan,0.000000,20.976294,10.216564,71.661039,10.456805,10.232003,3.273554,69.035483,11.669594,2.630817,12.287507,7,8
"1997-Life Thru a Lens/09-Killing Me",67.937364,227.067097,67.170411,31.677083,0.000000,0.385554,0.766952,-nan,0.000000,85.869797,5.249439,98.682608,3.973612,92.942306,37.107496,-nan,0.000000,17.861679,6.675472,0.000000,6.765550,59.014728,39.075926,67.170411,13.004638,18.511555,0.160890,67.170411,5.967070,0.504421,25.205592,13,13
"1997-Life Thru a Lens/10-Clean",63.953627,224.099635,62.144998,19.486664,0.000000,16.559710,1.808628,-nan,0.000000,-nan,0.000000,-nan,0.000000,77.847762,79.828882,-nan,0.000000,-nan,0.000000,0.000000,1.802780,-nan,0.000000,64.616213,2.976962,11.508526,2.529961,62.144998,2.520755,11.808946,5.156963,8,13
