MirexRoot
File,Pairwise score (%),Duration (s),Correct chords (%),Substituted chords (%),Deleted chords (%),Inserted chords (%),Correct no-chords (%)," correct (%)"," proportion (%)",0 chromas wrong (%),Both correct (%),Only root correct (%),Only type correct (%),Both wrong (%),Unique ref chords,Unique test chords
"1997-Life Thru a Lens/01-Lazy Days",89.572276,234.666644,87.342065,9.684865,0.245971,0.496888,2.230210,89.790748,97.272901,97.026931,87.342065,0.000000,9.684865,-0.000000,8,7
"1997-Life Thru a Lens/02-Life Thru A Lens",74.270572,187.533311,73.081800,25.598404,0.004655,0.126369,1.188771,74.055738,98.684859,98.680204,73.081800,0.000000,25.598404,0.000000,10,10
"1997-Life Thru a Lens/03-Ego A Go Go",62.792935,214.959977,60.101584,34.246571,0.198761,2.761733,2.691351,63.568001,94.546915,94.348154,60.101584,0.000000,34.246571,0.000000,6,9
"1997-Life Thru a Lens/04-Angels",93.575785,264.999977,92.957199,6.191040,0.000000,0.233175,0.618585,93.755774,99.148240,99.148240,92.957199,0.000000,6.191040,0.000000,6,7
"1997-Life Thru a Lens/05-South Of The Border",74.931419,233.373311,73.840682,25.019027,0.019151,0.030403,1.090736,74.677926,98.878861,98.859709,73.840682,0.000000,25.019027,-0.000000,7,7
"1997-Life Thru a Lens/06-Old Before I Die",72.878914,233.626644,72.849097,25.655184,1.425836,0.040066,0.029817,72.900042,99.930117,98.504281,72.849097,0.000000,25.655184,0.000000,9,9
"1997-Life Thru a Lens/07-One Of God's Better People",87.953465,213.733311,87.866553,11.712065,0.000000,0.334471,0.086912,88.238374,99.578617,99.578617,87.866553,0.000000,11.712065,0.000000,7,7
"1997-Life Thru a Lens/08-Let Me Entertain You",80.740527,261.999977,80.705076,14.918325,0.996131,3.345018,0.035450,83.528739,96.619532,95.623401,80.705076,0.000000,14.918325,0.000000,3,4
"1997-Life Thru a Lens/09-Killing Me",72.305628,236.266644,71.568539,27.323831,0.000000,0.370541,0.737089,72.370132,98.892369,98.892369,71.568539,0.000000,27.323831,-0.000000,8,6
"1997-Life Thru a Lens/10-Clean",67.353400,235.439977,65.631887,16.884515,0.000000,15.762085,1.721513,79.537989,82.516402,82.516402,65.631887,0.000000,16.884515,-0.000000,6,8
"1997-Life Thru a Lens/11-Baby Girl Window (Cut)",80.060123,199.999977,76.655145,19.642032,0.000000,0.297845,3.404978,79.602692,96.297177,96.297177,76.655145,0.000000,19.642032,-0.000000,6,7
"1998-I've Been Expecting You/01-Strong",90.694982,279.313356,89.475016,8.345562,0.825088,0.134181,1.220153,90.703443,98.645666,97.820579,89.475016,0.000000,8.345562,0.000000,7,7
"1998-I've Been Expecting You/02-No Regrets",84.225856,310.599977,83.679886,15.735875,0.025370,0.012900,0.545970,84.150176,99.441130,99.415761,83.679886,0.000000,15.735875,0.000000,6,7
"1998-I've Been Expecting You/03-Millennium",67.457194,247.573311,64.308499,29.632882,2.807854,0.102070,3.148695,66.469258,96.749235,93.941381,64.308499,0.000000,29.632882,0.000000,2,8
"1998-I've Been Expecting You/04-Phoenix From The Flames",72.559481,242.444308,72.559481,27.317443,0.011541,0.054069,0.057465,72.640500,99.888466,99.876925,72.559481,0.000000,27.317443,-0.000000,8,8
"1998-I've Been Expecting You/05-Win Some Lose Some",87.720042,258.733311,86.950805,10.782711,0.000000,1.497247,0.769237,88.967233,97.733516,97.733516,86.950805,0.000000,10.782711,0.000000,6,7
"1998-I've Been Expecting You/06-Grace",82.804499,193.632744,78.628934,16.834285,0.249391,0.099038,4.188353,82.151071,95.712609,95.463218,78.628934,0.000000,16.834285,0.000000,8,9
"1998-I've Been Expecting You/07-It's Only Us",90.290184,170.733311,89.148689,9.330500,0.311953,0.067363,1.141495,90.239557,98.791142,98.479189,89.148689,0.000000,9.330500,0.000000,8,8
"1998-I've Been Expecting You/08-Heaven From Here",78.929732,185.495714,78.879660,21.031322,0.007933,0.031013,0.050071,78.943671,99.918916,99.910982,78.879660,0.000000,21.031322,-0.000000,7,8
"1998-I've Been Expecting You/09-Karma Killer",75.480012,268.266644,67.228847,20.751485,0.000000,3.768503,8.251165,76.413496,87.980332,87.980332,67.228847,0.000000,20.751485,0.000000,7,9
"1998-I've Been Expecting You/10-She's The One",87.373213,258.035465,87.355216,11.658657,0.473875,0.494254,0.017997,87.804998,99.487748,99.013873,87.355216,0.000000,11.658657,0.000000,6,6
"1998-I've Been Expecting You/11-Man Machine",62.681006,214.999977,62.573006,37.252201,0.000000,0.066793,0.108000,62.682571,99.825207,99.825207,62.573006,0.000000,37.252201,-0.000000,7,7
"1998-I've Been Expecting You/12-1-These Dreams",85.207082,309.847052,84.587897,14.745144,0.002810,0.044964,0.619185,85.153443,99.335851,99.333041,84.587897,0.000000,14.745144,-0.000000,10,10
"1998-I've Been Expecting You/12-2-Stand Your Ground",94.408767,211.109161,68.585532,5.536485,0.054319,0.000430,25.823235,92.462821,74.176335,74.122017,68.585532,0.000000,5.536485,0.000000,6,7
"1998-I've Been Expecting You/12-3-Stalker's Day Off (I've Been Hanging Around)",84.297470,229.435442,68.619620,15.283568,0.393058,0.025904,15.677850,81.402937,84.296246,83.903188,68.619620,0.000000,15.283568,0.000000,7,7
"2000-Sing When You 're Winning/01-Let Love Be Your Energy",83.624299,299.034989,81.489124,12.418390,3.093458,0.863852,2.135175,84.008564,97.000973,93.907515,81.489124,0.000000,12.418390,0.000000,7,9
"2000-Sing When You 're Winning/02-Better Man",82.547449,202.639977,80.920590,17.309989,0.000000,0.142563,1.626859,82.378208,98.230579,98.230579,80.920590,0.000000,17.309989,-0.000000,7,8
